"id","question_text","company","date","interview_id"
"q1","Расскажите про себя, про React, про команду","Fatzoom","2025-03-10","interview_Fatzoom_000"
"q2","Что такое CORS","Fatzoom","2025-03-10","interview_Fatzoom_000"
"q3","Почему браузер кэширует одни ресурсы, а другие нет","Fatzoom","2025-03-10","interview_Fatzoom_000"
"q4","Какие существуют стратегии кэширования и какие заголовки используются для кэширования","Fatzoom","2025-03-10","interview_Fatzoom_000"
"q5","Как диагностировать проблему с быстродействием веб-приложения","Fatzoom","2025-03-10","interview_Fatzoom_000"
"q6","Как реализовать запросы к серверу раз в 10 секунд и почему вместо ожидаемых 100 запросов может прийти 700","Fatzoom","2025-03-10","interview_Fatzoom_000"
"q7","Когда нужно отписываться от событий в JavaScript","Fatzoom","2025-03-10","interview_Fatzoom_000"
"q8","Как сделать так, чтобы запросы выполнялись только с активной вкладки браузера","Fatzoom","2025-03-10","interview_Fatzoom_000"
"q9","Как делать запросы к серверу, когда вкладка браузера неактивна","Fatzoom","2025-03-10","interview_Fatzoom_000"
"q10","Как увеличить скорость обработки гигантского массива в JavaScript","Fatzoom","2025-03-10","interview_Fatzoom_000"
"q11","Что такое flex-basis в CSS","Fatzoom","2025-03-10","interview_Fatzoom_000"
"q12","Что такое React Context и как его использовать","Fatzoom","2025-03-10","interview_Fatzoom_000"
"q13","Какие критерии выбора библиотеки для проекта","Fatzoom","2025-03-10","interview_Fatzoom_000"
