"id","question_text","company","date","interview_id"
"q1","Расскажи про свои сложные задачи","Angie","2024-11-22","interview_Angie_000"
"q2","Представь что возникла ошибка на странице в UI например, как бы ты решал эту проблему? Например ошибка в внешней библиотеке, как бы ты решал в этом случае проблему?","Angie","2024-11-22","interview_Angie_000"
"q3","Что такое JavaScript?","Angie","2024-11-22","interview_Angie_000"
"q4","JS интерпретируемый или компилируемый ЯП?","Angie","2024-11-22","interview_Angie_000"
"q5","В чем отличие интерпретируемого ЯП от компилируемого?","Angie","2024-11-22","interview_Angie_000"
"q6","Что из последнего читал из новостей статей о технологиях, что возможно использовал в работе","Angie","2024-11-22","interview_Angie_000"
"q7","Что такое ECMAScript?","Angie","2024-11-22","interview_Angie_000"
"q8","Что такое CORS? Как настроить CORS?","Angie","2024-11-22","interview_Angie_000"
"q9","Как работает JS в браузере? С помощью чего он работает там?","Angie","2024-11-22","interview_Angie_000"
"q10","Как работает EventLoop?","Angie","2024-11-22","interview_Angie_000"
"q11","Что такое стек вызовов и как он работает?","Angie","2024-11-22","interview_Angie_000"
"q12","В чем отличие var, let, const?","Angie","2024-11-22","interview_Angie_000"
"q13","Что такое this и как работает?","Angie","2024-11-22","interview_Angie_000"
"q14","Какие хранилища данных ты знаешь в браузере и в чем их отличие? Назови различия между localStorage и cookies в сценариях использования.","Angie","2024-11-22","interview_Angie_000"
"q15","Из чего состоит HTTP запрос?","Angie","2024-11-22","interview_Angie_000"
"q16","Что такое заголовки в HTTP запросе, их правила, зачем они нужны, и почему мы не можем просто передавать заголовки в body например?","Angie","2024-11-22","interview_Angie_000"
"q17","Как сделать так чтобы при нажатии на ссылку у нас скачивался файл? А теперь как сделать так, чтобы при переходе по урлу у нас сразу скачивался файл?","Angie","2024-11-22","interview_Angie_000"
"q18","Что такое browser object model и что туда входит?","Angie","2024-11-22","interview_Angie_000"
"q1","Определи что выведется в консоль в функции logContext и исправь код так, чтобы выводился контекст 'inner obj'","Angie","2024-11-22","interview_Angie_000"
"q2","Отрефакторь React-компонент Users с использованием useState и useEffect, исправь ошибки в обработке формы и запросах fetch","Angie","2024-11-22","interview_Angie_000"
"q3","Определи порядок вывода в консоль для кода с setTimeout, Promise и console.log","Angie","2024-11-22","interview_Angie_000"
