"id","question_text","company","date","interview_id"
"q1","Что драйвит в своем деле? Чем нравится заниматься?","Компэл","2025-04-10","interview_Компэл_000"
"q2","Расскажи про последнее место работы?","Компэл","2025-04-10","interview_Компэл_000"
"q3","Почему уходишь с работы?","Компэл","2025-04-10","interview_Компэл_000"
"q4","Расскажи про первое место работы?","Компэл","2025-04-10","interview_Компэл_000"
"q5","А что вам не нравится делать в работе?","Компэл","2025-04-10","interview_Компэл_000"
"q6","Сколько человек в команде?","Компэл","2025-04-10","interview_Компэл_000"
"q7","Сложно ли переходить с работы по одной теме на работу в совершенно другое направление? (из магазина в банковское приложение)","Компэл","2025-04-10","interview_Компэл_000"
"q8","Почему ушли с первого места работы на второе?","Компэл","2025-04-10","interview_Компэл_000"
"q9","Как выбираете компанию, в которой хотите работать? Что важно в работодателе?","Компэл","2025-04-10","interview_Компэл_000"
"q10","Какие предпочтения по технологиям? С чем бы не хотели работать?","Компэл","2025-04-10","interview_Компэл_000"
"q11","Если у нас с вами все хорошо сложится, в течении какого времени готовы выйти на работу?","Компэл","2025-04-10","interview_Компэл_000"
"q12","Расскажи про свой стек. Какие либы знаешь? Что нравится, что не нравится?","Компэл","2025-04-10","interview_Компэл_000"
"q13","Используете ли на проекте линтеры? Делал ли сам конфиги? Или использовал базовую настройку? Писали ли свои правила?","Компэл","2025-04-10","interview_Компэл_000"
"q14","Как следите за качеством кода? За его семантикой?","Компэл","2025-04-10","interview_Компэл_000"
"q15","Работал ли с классовыми компонентами в реакте?","Компэл","2025-04-10","interview_Компэл_000"
"q16","Как относишься к легаси коду?","Компэл","2025-04-10","interview_Компэл_000"
"q17","Расскажи про тайпскрипт? Насколько ты погружен в типизацию?","Компэл","2025-04-10","interview_Компэл_000"
"q18","Приходилось ли тебе работать с оптимизацией? Какие инструменты для этого использовал? (React profiler, API React Profiler)","Компэл","2025-04-10","interview_Компэл_000"
"q19","Как отловить ошибки? (console.log, errorBoundary, sentry)","Компэл","2025-04-10","interview_Компэл_000"
"q20","Знаешь ли ты как под капотом работает React? Приходилось анализировать как он устроен? Что такое react-fiber, reconcillation? Как работает обновление состояния? Как биндятся event’ы?","Компэл","2025-04-10","interview_Компэл_000"
"q21","Как принудительно перендерить компонент? (forceUpdate для классовых, для функциональных написать свой)","Компэл","2025-04-10","interview_Компэл_000"
"q22","Как конектить sentry с React?","Компэл","2025-04-10","interview_Компэл_000"
"q23","Ты добавлял ли в uikit компоненты?","Компэл","2025-04-10","interview_Компэл_000"
"q24","Использовал ли ты storybook?","Компэл","2025-04-10","interview_Компэл_000"
"q25","Как в uikit тестировал компоненты?","Компэл","2025-04-10","interview_Компэл_000"
"q26","Делал ли ты на проекте интернационализацию, если да, то как? Пользовались ли ICU форматом?","Компэл","2025-04-10","interview_Компэл_000"
"q27","Насколько ты погружен в moduleFederation? Что такое микрофронтенд?","Компэл","2025-04-10","interview_Компэл_000"
"q28","Каким образом происходит деплой на микрофронтах?","Компэл","2025-04-10","interview_Компэл_000"
