"id","question_text","company","date","interview_id"
"q1","способы шифровки данных в js","Название Компании Appmaster","2024-04-09","interview_Название_Компании_Appmaster_000"
"q2","отличия cjs от ejs","Название Компании Appmaster","2024-04-09","interview_Название_Компании_Appmaster_000"
"q3","как происходит работа в webworkers","Название Компании Appmaster","2024-04-09","interview_Название_Компании_Appmaster_000"
"q4","какие ограничения есть в webworkers","Название Компании Appmaster","2024-04-09","interview_Название_Компании_Appmaster_000"
"q5","как общаться между iframe без shared webworkers","Название Компании Appmaster","2024-04-09","interview_Название_Компании_Appmaster_000"
"q6","какие есть способы организации микросервисной архитектуры","Название Компании Appmaster","2024-04-09","interview_Название_Компании_Appmaster_000"
"q7","для чего нужен rxjs во vue3","Название Компании Appmaster","2024-04-09","interview_Название_Компании_Appmaster_000"
"q8","как определить утечку памяти в браузере","Название Компании Appmaster","2024-04-09","interview_Название_Компании_Appmaster_000"
"q9","что лучше, один чанк или много чанков. Назови правило, определяющее самое оптимальное решение","Название Компании Appmaster","2024-04-09","interview_Название_Компании_Appmaster_000"
"q10","как влияет http1 http2 http3 на загрузку чанков","Название Компании Appmaster","2024-04-09","interview_Название_Компании_Appmaster_000"
