"id","question_text","company","date","interview_id"
"q1","Спрашивали про бэкграунд, достижения и самые интересные задачи","АО ГНИВЦ","2025-03-26","interview_АО_ГНИВЦ_000"
"q2","async и defer, в чем разница","АО ГНИВЦ","2025-03-26","interview_АО_ГНИВЦ_000"
"q3","Знаком ли с Web Workers, рассказать про них","АО ГНИВЦ","2025-03-26","interview_АО_ГНИВЦ_000"
"q4","Что такое замыкание","АО ГНИВЦ","2025-03-26","interview_АО_ГНИВЦ_000"
"q5","Что такое дженерики","АО ГНИВЦ","2025-03-26","interview_АО_ГНИВЦ_000"
"q6","Для чего используются typeof и keyof","АО ГНИВЦ","2025-03-26","interview_АО_ГНИВЦ_000"
"q7","Что такое Virtual Dom","АО ГНИВЦ","2025-03-26","interview_АО_ГНИВЦ_000"
"q8","Для чего нужен key в React","АО ГНИВЦ","2025-03-26","interview_АО_ГНИВЦ_000"
"q9","В чем разница между useCallback и useMemo","АО ГНИВЦ","2025-03-26","interview_АО_ГНИВЦ_000"
"q10","Что такое React.memo","АО ГНИВЦ","2025-03-26","interview_АО_ГНИВЦ_000"
"q11","Какое сравнение осуществляет React.memo","АО ГНИВЦ","2025-03-26","interview_АО_ГНИВЦ_000"
"q12","Что такое HOC (Higher Order Component)","АО ГНИВЦ","2025-03-26","interview_АО_ГНИВЦ_000"
"q13","Как работают обработчики событий в React","АО ГНИВЦ","2025-03-26","interview_АО_ГНИВЦ_000"
"q14","Что такое Error Boundaries в React","АО ГНИВЦ","2025-03-26","interview_АО_ГНИВЦ_000"
"q15","Если надо отправлять много запросов одновременно через axios, какие способы знаешь","АО ГНИВЦ","2025-03-26","interview_АО_ГНИВЦ_000"
"q1","Реализовать функцию cached, которая принимает функцию slowCalc и возвращает новую функцию с кешированием результатов по аргументу","АО ГНИВЦ","2025-03-26","interview_АО_ГНИВЦ_000"
