"id","question_text","company","date","interview_id"
"q1","Кратко рассказать о себе","Digital Sector","2025-05-28","interview_Digital_Sector_000"
"q2","Как работал с формами и что использовал?","Digital Sector","2025-05-28","interview_Digital_Sector_000"
"q3","Писал ли свои хуки?","Digital Sector","2025-05-28","interview_Digital_Sector_000"
"q4","Разница между flex и grid","Digital Sector","2025-05-28","interview_Digital_Sector_000"
"q5","Что такое тег picture и как его использовать?","Digital Sector","2025-05-28","interview_Digital_Sector_000"
"q6","Как центрировать div?","Digital Sector","2025-05-28","interview_Digital_Sector_000"
"q7","Что такое box-sizing в CSS?","Digital Sector","2025-05-28","interview_Digital_Sector_000"
"q8","Как стилизовать чекбоксы?","Digital Sector","2025-05-28","interview_Digital_Sector_000"
"q9","В чем отличия display: none, opacity и visibility: hidden?","Digital Sector","2025-05-28","interview_Digital_Sector_000"
"q10","Что делать, если страница долго загружается?","Digital Sector","2025-05-28","interview_Digital_Sector_000"
"q11","Как применить ленивую загрузку к картинкам?","Digital Sector","2025-05-28","interview_Digital_Sector_000"
"q12","Объяснить глубокое и неглубокое копирование объекта","Digital Sector","2025-05-28","interview_Digital_Sector_000"
"q13","Что такое Virtual DOM?","Digital Sector","2025-05-28","interview_Digital_Sector_000"
"q14","Что такое Portal в React?","Digital Sector","2025-05-28","interview_Digital_Sector_000"
"q15","Объяснить вопрос про cleanup в useEffect","Digital Sector","2025-05-28","interview_Digital_Sector_000"
"q16","Различия между localStorage, sessionStorage и cookie","Digital Sector","2025-05-28","interview_Digital_Sector_000"
"q17","Как избежать props drilling?","Digital Sector","2025-05-28","interview_Digital_Sector_000"
"q18","Разница между context и state manager","Digital Sector","2025-05-28","interview_Digital_Sector_000"
"q1","Что выведет следующий код и как исправить, чтобы изменения в копии объекта не влияли на оригинал: const a = {name: 'Петя'}; const b = a; b.name = 'Вася'; console.log(b.name); console.log(a.name);","Digital Sector","2025-05-28","interview_Digital_Sector_000"
"q2","Что выведет следующий код при вызове test()() дважды: function test() { let num = 1; return function () { console.log(num); num++; }; }","Digital Sector","2025-05-28","interview_Digital_Sector_000"
"q3","В какой последовательности выведутся числа в консоль при выполнении кода с setTimeout, Promise и немедленным вызовом функции: setTimeout(() => { console.log(1); }); const proml = new Promise((resolve) => { console.log(3); resolve(4); }); console.log(2); proml.then(resp => { console.log(resp); }); (function () { console.log(5); })();","Digital Sector","2025-05-28","interview_Digital_Sector_000"
"q1","Кратко о себе","Digital Sector","2025-05-22","interview_Digital_Sector_001"
"q2","Работал с формами, как работал? Что использовал?","Digital Sector","2025-05-22","interview_Digital_Sector_001"
"q3","Писал свои хуки?","Digital Sector","2025-05-22","interview_Digital_Sector_001"
"q4","Flex vs Grid","Digital Sector","2025-05-22","interview_Digital_Sector_001"
"q5","Тег picture","Digital Sector","2025-05-22","interview_Digital_Sector_001"
"q6","Как отцентровать див?","Digital Sector","2025-05-22","interview_Digital_Sector_001"
"q7","Display: none vs opacity?","Digital Sector","2025-05-22","interview_Digital_Sector_001"
"q8","Страница долго загружается, что будешь делать?","Digital Sector","2025-05-22","interview_Digital_Sector_001"
"q10","IntersectionObserver","Digital Sector","2025-05-22","interview_Digital_Sector_001"
"q11","Load vs DOMContentLoaded","Digital Sector","2025-05-22","interview_Digital_Sector_001"
"q12","Глубокое и неглубокое копирование объекта","Digital Sector","2025-05-22","interview_Digital_Sector_001"
"q13","LocalStorage, SessionStorage, Cookie","Digital Sector","2025-05-22","interview_Digital_Sector_001"
"q15","Плюсы и минусы Context и state manager","Digital Sector","2025-05-22","interview_Digital_Sector_001"
"q16","UseRef","Digital Sector","2025-05-22","interview_Digital_Sector_001"
"q1","Определить последовательность вывода в консоль при выполнении кода с setTimeout, Promise и немедленным вызовом функции","Digital Sector","2025-05-22","interview_Digital_Sector_001"
"q2","Объяснить, что выведет console.log при вызове функции с замыканием, которая увеличивает внутреннюю переменную, и почему при повторных вызовах выводится одно и то же значение","Digital Sector","2025-05-22","interview_Digital_Sector_001"
"q3","Объяснить, что выведет console.log при изменении свойства объекта через другую переменную, и как исправить проблему, чтобы избежать изменения исходного объекта (сделать копию объекта)","Digital Sector","2025-05-22","interview_Digital_Sector_001"
