"id","question_text","company","date","interview_id"
"q1","Отличия HTML 4 от HTML 5","Исходный Код","2025-03-10","interview_Исходный_Код_000"
"q2","Какой тег можно использовать для навигации страницы вместо nav","Исходный Код","2025-03-10","interview_Исходный_Код_000"
"q3","Как создать боковую панель","Исходный Код","2025-03-10","interview_Исходный_Код_000"
"q4","Как будут расположены квадраты с заданными стилями и вложенностью элементов в HTML и CSS","Исходный Код","2025-03-10","interview_Исходный_Код_000"
"q5","Отличия var от let","Исходный Код","2025-03-10","interview_Исходный_Код_000"
"q6","Что выведет следующий код: console.log(a); var a; a = 5; console.log(a); var a; console.log(a);","Исходный Код","2025-03-10","interview_Исходный_Код_000"
"q7","Написать рекурсивную функцию counter, которая сохраняет состояние и увеличивает счетчик при каждом вызове","Исходный Код","2025-03-10","interview_Исходный_Код_000"
"q8","Написать функцию debounce с настраиваемой задержкой","Исходный Код","2025-03-10","interview_Исходный_Код_000"
"q9","Объяснить прототипное наследование в JavaScript","Исходный Код","2025-03-10","interview_Исходный_Код_000"
"q10","Что находится вверху цепочки прототипов в JavaScript","Исходный Код","2025-03-10","interview_Исходный_Код_000"
"q11","Тезисно объяснить что такое TypeScript и зачем он нужен","Исходный Код","2025-03-10","interview_Исходный_Код_000"
"q12","Что такое дженерики в TypeScript и зачем они нужны","Исходный Код","2025-03-10","interview_Исходный_Код_000"
"q13","Реализовать тип ObjectKeys в TypeScript, который возвращает ключи объекта","Исходный Код","2025-03-10","interview_Исходный_Код_000"
"q14","Как принудительно вызвать ререндер компонента в React","Исходный Код","2025-03-10","interview_Исходный_Код_000"
"q15","Что будет выведено в консоль и как исправить следующий React код: const [counter, setCounter] = useState(0); const handleClick = () => { setCounter(counter++); setCounter(++counter); console.log(counter); };","Исходный Код","2025-03-10","interview_Исходный_Код_000"
"q16","Сделать так, чтобы React компонент был в фокусе при рендере с использованием useRef и useEffect","Исходный Код","2025-03-10","interview_Исходный_Код_000"
"q17","Сделать так, чтобы фокус на React компоненте устанавливался корректно после загрузки данных с учетом состояния isLoading","Исходный Код","2025-03-10","interview_Исходный_Код_000"
