"id","question_text","company","date","interview_id"
"q1","Что предпочитаешь работать в команде или в одного?","Финуслуги","2025-07-10","interview_Финуслуги_000"
"q2","Как ты будешь доносить тимлиду, что он не прав?","Финуслуги","2025-07-10","interview_Финуслуги_000"
"q3","Как ты относишься к критике?","Финуслуги","2025-07-10","interview_Финуслуги_000"
"q4","Какие задачи ты делаешь в первую очередь?","Финуслуги","2025-07-10","interview_Финуслуги_000"
"q5","Бывало ли такое что переключался между несколькими контекстами?","Финуслуги","2025-07-10","interview_Финуслуги_000"
"q6","Что делаешь если прилетает срочная задача в 17:59?","Финуслуги","2025-07-10","interview_Финуслуги_000"
"q7","Что делаешь чтобы не выгореть?","Финуслуги","2025-07-10","interview_Финуслуги_000"
"q8","Как планируешь свой день?","Финуслуги","2025-07-10","interview_Финуслуги_000"
"q9","Было ли такое что просыпаешься и не хочешь работать?","Финуслуги","2025-07-10","interview_Финуслуги_000"
"q1","Какие семантические теги знаешь?","Финуслуги","2025-07-10","interview_Финуслуги_001"
"q2","Можно ли в section объявить header?","Финуслуги","2025-07-10","interview_Финуслуги_001"
"q3","Напиши свой кастомный чекбокс без использования JS с использованием HTML и CSS","Финуслуги","2025-07-10","interview_Финуслуги_001"
"q4","Как расположить элемент по центру?","Финуслуги","2025-07-10","interview_Финуслуги_001"
"q5","Оптимизировал ли картинки для ретины и как?","Финуслуги","2025-07-10","interview_Финуслуги_001"
"q6","Занимался ли доступностью на странице?","Финуслуги","2025-07-10","interview_Финуслуги_001"
"q7","Какие типы в TypeScript знаешь?","Финуслуги","2025-07-10","interview_Финуслуги_001"
"q8","В чем отличие any от unknown в TypeScript?","Финуслуги","2025-07-10","interview_Финуслуги_001"
"q9","Какие утилитные типы знаешь в TypeScript?","Финуслуги","2025-07-10","interview_Финуслуги_001"
"q10","Реализуй свой тип Partial в TypeScript","Финуслуги","2025-07-10","interview_Финуслуги_001"
"q11","Реализуй свой тип Omit в TypeScript","Финуслуги","2025-07-10","interview_Финуслуги_001"
"q12","Какие минусы классовых компонентов?","Финуслуги","2025-07-10","interview_Финуслуги_001"
"q13","Для чего нужен key в React?","Финуслуги","2025-07-10","interview_Финуслуги_001"
"q14","Какие метрики Lighthouse знаешь и как их оптимизировать?","Финуслуги","2025-07-10","interview_Финуслуги_001"
"q15","В чем разница между SSR, SSG и SPA?","Финуслуги","2025-07-10","interview_Финуслуги_001"
"q16","Для чего используются SCSS модули?","Финуслуги","2025-07-10","interview_Финуслуги_001"
"q1","Пользовался ли zustand?","Финуслуги","2025-07-06","interview_Финуслуги_002"
"q4","Напиши кастомный чекбокс без использования js с использованием CSS селектора :has и стилизацией чекмарка","Финуслуги","2025-07-06","interview_Финуслуги_002"
"q6","Как оптимизировать картинки для ретины?","Финуслуги","2025-07-06","interview_Финуслуги_002"
"q8","Задача на вывод ошибок","Финуслуги","2025-07-06","interview_Финуслуги_002"
"q10","В чем отличия any от unknown в TypeScript?","Финуслуги","2025-07-06","interview_Финуслуги_002"
"q16","Вопрос про метрики Lighthouse: какие знаешь и как оптимизировать?","Финуслуги","2025-07-06","interview_Финуслуги_002"
"q1","Какие семантические теги ты знаешь?","Финуслуги","2025-06-16","interview_Финуслуги_004"
"q2","Как расположить объект в центре с помощью CSS?","Финуслуги","2025-06-16","interview_Финуслуги_004"
"q3","Сверстай кастомный чекбокс с использованием input type checkbox и стилизацией через CSS","Финуслуги","2025-06-16","interview_Финуслуги_004"
"q4","Что такое область видимости переменной (scope)?","Финуслуги","2025-06-16","interview_Финуслуги_004"
"q5","Перечисли типы в TypeScript: enum, object, array, unknown, any, void, never","Финуслуги","2025-06-16","interview_Финуслуги_004"
"q6","Оптимизировать React-инпут, чтобы на каждое нажатие кнопки не отправлялся запрос на сервер, используя useRef и useCallback","Финуслуги","2025-06-16","interview_Финуслуги_004"
"q7","Объясни принципы KISS, DRY и YAGNI","Финуслуги","2025-06-16","interview_Финуслуги_004"
"q8","Объясни 5 принципов SOLID объектно-ориентированного проектирования","Финуслуги","2025-06-16","interview_Финуслуги_004"
"q9","Что выведется в консоли при выполнении кода с setTimeout, Promise и console.log в следующем порядке: setTimeout с 0, создание Promise с console.log, then с console.log, и console.log после?","Финуслуги","2025-06-16","interview_Финуслуги_004"
