"id","question_text","company","date","interview_id"
"q1","var/let/const","ATI.su","2025-02-17","interview_ATI.su_000"
"q2","Что ещё хостится в JavaScript и почему (function declaration)","ATI.su","2025-02-17","interview_ATI.su_000"
"q3","Объясните прототипное наследование в JavaScript","ATI.su","2025-02-17","interview_ATI.su_000"
"q4","Для чего нужны классы в JavaScript","ATI.su","2025-02-17","interview_ATI.su_000"
"q5","Объясните асинхронность в JavaScript, как работает RequestAnimationFrame, и как работают промисы","ATI.su","2025-02-17","interview_ATI.su_000"
"q6","Как браузер парсит страницу","ATI.su","2025-02-17","interview_ATI.su_000"
"q7","Что самое дешёвое для анимации в браузере (transform) и как часто RequestAnimationFrame будет запускаться","ATI.su","2025-02-17","interview_ATI.su_000"
"q8","Зачем нужен TypeScript и React, в чём их преимущества","ATI.su","2025-02-17","interview_ATI.su_000"
"q9","Объясните контекст в React","ATI.su","2025-02-17","interview_ATI.su_000"
"q10","Стоит ли выносить статический список за пределы компонента или в отдельный компонент","ATI.su","2025-02-17","interview_ATI.su_000"
"q11","Как работает Redux, в чём его отличие от других стейт-менеджеров","ATI.su","2025-02-17","interview_ATI.su_000"
"q12","Что такое микрофронты и как они работают","ATI.su","2025-02-17","interview_ATI.su_000"
"q13","Вопросы по работе с webpack","ATI.su","2025-02-17","interview_ATI.su_000"
"q14","Какие виды уязвимостей XSS, CORS, CSRF вы знаете и как бы их исправляли","ATI.su","2025-02-17","interview_ATI.su_000"
"q15","Какие тесты вы писали и как","ATI.su","2025-02-17","interview_ATI.su_000"
"q16","Что для тебя является редфлагом","ATI.su","2025-02-17","interview_ATI.su_000"
"q17","Были ли конфликты на предыдущем месте работы","ATI.su","2025-02-17","interview_ATI.su_000"
"q18","Расскажи про фейлы в работе","ATI.su","2025-02-17","interview_ATI.su_000"
"q19","Что ждёшь от новой компании","ATI.su","2025-02-17","interview_ATI.su_000"
"q1","event-loop","ATI.su","2024-12-04","interview_ATI.su_001"
"q2","Что такое замыкания","ATI.su","2024-12-04","interview_ATI.su_001"
"q1","Про опыт в резюме и прошлись по нему","ATI.su","2024-11-08","interview_ATI.su_002"
"q2","FSD - в чем заключается, что куда положить","ATI.su","2024-11-08","interview_ATI.su_002"
"q3","Что может заставить сотрудника уволиться одним днем","ATI.su","2024-11-08","interview_ATI.su_002"
"q4","Если будет идея по оптимизации процессов, что ты с ней сделаешь","ATI.su","2024-11-08","interview_ATI.su_002"
"q5","Почему запись const {2:errorFun} = useError будет лучше чем const [ , , errorFun] = useError","ATI.su","2024-11-08","interview_ATI.su_002"
"q6","Нужно ли выносить статический список из useMemo за компонент и почему","ATI.su","2024-11-08","interview_ATI.su_002"
"q7","Нужен ли функции useCallback и в каких случаях","ATI.su","2024-11-08","interview_ATI.su_002"
"q8","Оптимизировать редьюс, который создает новый массив на каждой итерации: const arr = [1,2,3].reduce((acc, x) => { return [...acc, {value: x, name: x}] }, [])","ATI.su","2024-11-08","interview_ATI.su_002"
