"id","question_text","company","date","interview_id"
"q1","Что такое семантика в веб-разработке?","Райффайзен","2025-04-03","interview_Райффайзен_000"
"q2","Как браузер рисует страницу?","Райффайзен","2025-04-03","interview_Райффайзен_000"
"q3","Опишите архитектуру веб-приложения","Райффайзен","2025-04-03","interview_Райффайзен_000"
"q4","В чем разница между reset и normalize в CSS?","Райффайзен","2025-04-03","interview_Райффайзен_000"
"q5","Что такое React?","Райффайзен","2025-04-03","interview_Райффайзен_000"
"q6","В чем разница между useEffect и useLayoutEffect в React?","Райффайзен","2025-04-03","interview_Райффайзен_000"
"q7","Объясните концепции Redux","Райффайзен","2025-04-03","interview_Райффайзен_000"
"q8","Что такое редьюсер в Redux?","Райффайзен","2025-04-03","interview_Райффайзен_000"
"q9","Что такое action в Redux и как работают асинхронные action?","Райффайзен","2025-04-03","interview_Райффайзен_000"
"q10","Что такое middleware в Redux?","Райффайзен","2025-04-03","interview_Райффайзен_000"
"q11","Объясните разницу и применение useCallback и useMemo в React","Райффайзен","2025-04-03","interview_Райффайзен_000"
"q12","Что такое HOC и memo в React?","Райффайзен","2025-04-03","interview_Райффайзен_000"
"q13","Для чего используется useRef в React?","Райффайзен","2025-04-03","interview_Райффайзен_000"
"q1","Реализовать класс PaginationHelper с методами itemCount, pageCount, pageItemCount и pageIndex и добавить типизацию","Райффайзен","2025-04-03","interview_Райффайзен_000"
"q2","Типизировать интерфейсы User, Admin и тип Person, а также функцию logPerson для массива persons с разными свойствами","Райффайзен","2025-04-03","interview_Райффайзен_000"
"q3","Переписать React-компоненты Clock и ListRender с классовых на функциональные компоненты с использованием хуков","Райффайзен","2025-04-03","interview_Райффайзен_000"
"q4","Написать CSS-селекторы для выбора: id header, все p с классом first, элемент с текстом 'p2', последний h2 в блоке с классом main","Райффайзен","2025-04-03","interview_Райффайзен_000"
"q1","По опыту работы по последнему месту","Райффайзен","2024-10-10","interview_Райффайзен_001"
"q2","Как дедуплицировать повторяющиеся библиотеки в бандле в микрофронтах","Райффайзен","2024-10-10","interview_Райффайзен_001"
"q3","Работал ли с styled components","Райффайзен","2024-10-10","interview_Райффайзен_001"
"q4","Почему не стал бы тащить redux в проект","Райффайзен","2024-10-10","interview_Райффайзен_001"
"q5","event-loop, как взаимодействует с WebApi, как заблочить поток микро/макротасками","Райффайзен","2024-10-10","interview_Райффайзен_001"
"q6","Cookies, как работают, как получить и установить, httpOnly, secure","Райффайзен","2024-10-10","interview_Райффайзен_001"
"q7","Структура http, подробно про шифрование данных, get и post, как get кэшируется","Райффайзен","2024-10-10","interview_Райффайзен_001"
"q8","Как клонировать объект, чем плох json.parse(json.stringify)","Райффайзен","2024-10-10","interview_Райффайзен_001"
"q9","useMemo, useCallback, memo. Подробно про внутренности","Райффайзен","2024-10-10","interview_Райффайзен_001"
"q10","Получение данных в реальном времени: websocket, SSE","Райффайзен","2024-10-10","interview_Райффайзен_001"
"q11","typescript: когда стоит тащить в проект","Райффайзен","2024-10-10","interview_Райффайзен_001"
"q12","Расскажи всё что знаешь про generics в typescript","Райффайзен","2024-10-10","interview_Райффайзен_001"
"q13","Почему нельзя заменить дженерики юнионами в typescript","Райффайзен","2024-10-10","interview_Райффайзен_001"
"q14","Разница между type и interface в typescript","Райффайзен","2024-10-10","interview_Райффайзен_001"
"q1","В своем редакторе кода написать логику банкомата и сделать несложный интерфейс для взаимодействия на React","Райффайзен","2024-05-07","interview_Райффайзен_002"
"q2","Объяснить обработчики событий в JavaScript","Райффайзен","2024-05-07","interview_Райффайзен_002"
"q3","Объяснить контекст выполнения в JavaScript","Райффайзен","2024-05-07","interview_Райффайзен_002"
"q4","Объяснить всплытие и погружение событий в JavaScript","Райффайзен","2024-05-07","interview_Райффайзен_002"
"q5","Объяснить области видимости в JavaScript","Райффайзен","2024-05-07","interview_Райффайзен_002"
"q6","Что такое разные стейт-менеджеры и как они работают","Райффайзен","2024-05-07","interview_Райффайзен_002"
"q7","Объяснить разные подходы к архитектуре приложений (FSD, atomic design, nested components)","Райффайзен","2024-05-07","interview_Райффайзен_002"
"q8","Практиковать написание сложных типов в TypeScript","Райффайзен","2024-05-07","interview_Райффайзен_002"
"q9","Решать алгоритмические задачи на LeetCode","Райффайзен","2024-05-07","interview_Райффайзен_002"
"q10","Собрать проект с нуля, настроить сборку и окружение","Райффайзен","2024-05-07","interview_Райффайзен_002"
"q11","Реализовать функцию terminal, которая принимает сумму и валюту (rub, usd, eur) и возвращает массив строк с номиналами и количеством купюр для выдачи суммы, используя заданные номиналы валют","Райффайзен","2024-05-07","interview_Райффайзен_002"
