"id","question_text","company","date","interview_id"
"q1","Рассказать про опыт","Syntellect","2025-05-29","interview_Syntellect_000"
"q2","Как искать по id в массиве объектов","Syntellect","2025-05-29","interview_Syntellect_000"
"q3","Зачем нужен WeakMap и когда он лучше Map","Syntellect","2025-05-29","interview_Syntellect_000"
"q4","Как связать состояние и URL-параметры","Syntellect","2025-05-29","interview_Syntellect_000"
"q5","Как работают генераторы и где применяются","Syntellect","2025-05-29","interview_Syntellect_000"
"q6","Как типизировать вложенные объекты в TypeScript","Syntellect","2025-05-29","interview_Syntellect_000"
"q7","Сравнить structuredClone и JSON.stringify","Syntellect","2025-05-29","interview_Syntellect_000"
"q8","Как сделать бесконечный скролл","Syntellect","2025-05-29","interview_Syntellect_000"
"q9","Как работать с зависимостями в useEffect, если передаётся массив","Syntellect","2025-05-29","interview_Syntellect_000"
"q10","Как реализовать groupBy вручную (описать идею словами)","Syntellect","2025-05-29","interview_Syntellect_000"
"q11","Где применял WebSocket","Syntellect","2025-05-29","interview_Syntellect_000"
"q12","Как безопасно менять вложенное поле в объекте","Syntellect","2025-05-29","interview_Syntellect_000"
"q13","Объяснить основные git команды: merge, commit, rebase и другие","Syntellect","2025-05-29","interview_Syntellect_000"
"q14","Что такое Docker","Syntellect","2025-05-29","interview_Syntellect_000"
"q15","Разница видов рендеринга в Next.js","Syntellect","2025-05-29","interview_Syntellect_000"
"q16","Объяснить FSD (Feature-Sliced Design) на примерах","Syntellect","2025-05-29","interview_Syntellect_000"
"q17","Отличие Promise.all от Promise.race","Syntellect","2025-05-29","interview_Syntellect_000"
"q18","Все о React хуках","Syntellect","2025-05-29","interview_Syntellect_000"
"q19","Определить результат выполнения функции вычисления числа Фибоначчи с мемоизацией fib(10)","Syntellect","2025-05-29","interview_Syntellect_000"
"q20","Объяснить результат группировки массива пользователей по полю group с помощью reduce","Syntellect","2025-05-29","interview_Syntellect_000"
"q21","Объяснить результат слияния двух массивов объектов по id с помощью map и find","Syntellect","2025-05-29","interview_Syntellect_000"
