"id","question_text","company","date","interview_id"
"q1","Виды переменных в js","Петрович-Тех","2025-04-03","interview_Петрович-Тех_000"
"q2","call, bind, apply","Петрович-Тех","2025-04-03","interview_Петрович-Тех_000"
"q3","event loop","Петрович-Тех","2025-04-03","interview_Петрович-Тех_000"
"q4","Виды функций в js","Петрович-Тех","2025-04-03","interview_Петрович-Тех_000"
"q5","Как работать с асинхронным кодом (Promise)","Петрович-Тех","2025-04-03","interview_Петрович-Тех_000"
"q6","Дженерики","Петрович-Тех","2025-04-03","interview_Петрович-Тех_000"
"q7","local storage, session storage","Петрович-Тех","2025-04-03","interview_Петрович-Тех_000"
"q8","Оптимизация в react","Петрович-Тех","2025-04-03","interview_Петрович-Тех_000"
"q9","Контекст в react","Петрович-Тех","2025-04-03","interview_Петрович-Тех_000"
"q1","Реализовать компонент React UserProfile, который при монтировании загружает данные пользователя с API https://jsonplaceholder.typicode.com/users/1 с помощью axios, отображает состояние загрузки, ошибку и данные пользователя (name, email, address)","Петрович-Тех","2025-04-03","interview_Петрович-Тех_000"
"q1","Чем отличается React 17 от React 18?","Петрович-Тех","2024-10-25","interview_Петрович-Тех_001"
"q2","Как реализовать батчинг в React 18?","Петрович-Тех","2024-10-25","interview_Петрович-Тех_001"
"q3","Как реализовать страницу с фильтрами, которую можно передать ссылкой другому человеку, чтобы у него сохранялись твои фильтры и при перезагрузке они также сохранялись?","Петрович-Тех","2024-10-25","interview_Петрович-Тех_001"
"q4","Как была реализована авторизация на refresh и access token?","Петрович-Тех","2024-10-25","interview_Петрович-Тех_001"
"q5","Как обновляется access token?","Петрович-Тех","2024-10-25","interview_Петрович-Тех_001"
"q6","Что такое Token revocation?","Петрович-Тех","2024-10-25","interview_Петрович-Тех_001"
"q7","Что будет, если отправляются 6 запросов одновременно и в 5 из них устаревает access token? (Вопрос про interceptor)","Петрович-Тех","2024-10-25","interview_Петрович-Тех_001"
"q8","Как обновить контент в соседней открытой вкладке, какими способами это можно сделать, например, есть корзина товаров и нужно, чтобы в первой вкладке пополнить корзину, а во второй вкладке это изменение отобразилось?","Петрович-Тех","2024-10-25","interview_Петрович-Тех_001"
"q9","Как осуществлять верстку pixel perfect?","Петрович-Тех","2024-10-25","interview_Петрович-Тех_001"
"q10","Чем отличаются flex и grid?","Петрович-Тех","2024-10-25","interview_Петрович-Тех_001"
"q11","Как во flex сделать так, чтобы блоки не съезжали на новую строку (nowrap)?","Петрович-Тех","2024-10-25","interview_Петрович-Тех_001"
"q12","Что делает reset в CSS?","Петрович-Тех","2024-10-25","interview_Петрович-Тех_001"
"q13","Что делает normalize в CSS?","Петрович-Тех","2024-10-25","interview_Петрович-Тех_001"
"q14","Что такое will-change?","Петрович-Тех","2024-10-25","interview_Петрович-Тех_001"
"q15","Как сделать подключение к websocket по протоколу ws, без secure (с помощью new WebSocket)?","Петрович-Тех","2024-10-25","interview_Петрович-Тех_001"
