"id","question_text","company","date","interview_id"
"q1","Какие ai решения используешь в работе?","Broad Apps","2025-07-14","interview_Broad_Apps_000"
"q2","У нас есть функционал который нужно выкатить как можно скорее. Как оцениваешь по времени за сколько можно сделать?","Broad Apps","2025-07-14","interview_Broad_Apps_000"
"q3","Почему интересен наш проект?","Broad Apps","2025-07-14","interview_Broad_Apps_000"
"q4","Когда готов если будет оффер?","Broad Apps","2025-07-14","interview_Broad_Apps_000"
"q1","Был ли опыт с Некстом и когда он нужен?","Broad Apps","2025-07-13","interview_Broad_Apps_001"
"q2","Был ли опыт с React 19 и что там использовал?","Broad Apps","2025-07-13","interview_Broad_Apps_001"
"q3","Оптимизация фронтенд приложений","Broad Apps","2025-07-13","interview_Broad_Apps_001"
"q4","Про стейт менеджеры. Что бы выбрал сам?","Broad Apps","2025-07-13","interview_Broad_Apps_001"
"q5","Про react query","Broad Apps","2025-07-13","interview_Broad_Apps_001"
"q6","Был ли опыт тимлидства?","Broad Apps","2025-07-13","interview_Broad_Apps_001"
"q7","Всегда ли попадали в оценку? А если нет?","Broad Apps","2025-07-13","interview_Broad_Apps_001"
"q8","Какие были инициативы от тебя?","Broad Apps","2025-07-13","interview_Broad_Apps_001"
"q1","Что будет в консоли при выполнении цикла for с setTimeout, где в каждом шаге добавляется число 2 в массив и выводится через задержку, равную длине массива умноженной на 1000 миллисекунд, если в каждом выводе ожидается [2,2,2]?","Broad Apps","2025-07-13","interview_Broad_Apps_001"
