"id","question_text","company","date","interview_id"
"q1","Расскажи о себе (опыт и что делал руками)","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q2","Next и SSR что использовал что знаешь?","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q3","Что происходит при нажатии кнопки enter в адресной строке?","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q4","В каком порядке будут загружаться несколько файлов со стилями и почему?","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q5","Что блокирует скрипт?","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q6","Async defer + для чего используются в работе?","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q7","Память в браузере какая бывает, чем отличается, взаимодействие между вкладками через память?","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q8","JS однопоточный?","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q9","JS асинхронный?","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q10","Как достигается асихронность в JS?","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q11","Event loop?","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q12","Какие ограничения у web workera или на каких задачах нельзя использовать?","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q13","Структуры данных в JS?","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q14","Приходит большой список данных грузит 10 сек, как оптимизировать?","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q15","Map Set WeakMap WeakSet + для чего используют?","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q16","Если ограничение по размеру переменной в JS и сколько?","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q17","Переполнение стека была у тебя, с чем связана?","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q18","На сколько глубоко он может провалится?","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q19","String является ли объектом?","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q20","Что под капотом у async await?","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q21","Генераторы?","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q1","Реализовать в React с TypeScript пустой проект с отображением шахматной доски и сверстанными стилями","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q2","Реализовать функцию debounce, которая принимает функцию и задержку, и при многократных вызовах вызывает исходную функцию только один раз с последним аргументом после задержки, например: debounce(fetchUrl, 300) при вызовах fetching(1), fetching(2), fetching(3), fetching(4), fetching(5) должна вызвать fetchUrl только с 5","Поле.рф","2024-09-16","interview_Поле.рф_000"
"q1","critical rendering path","Поле.рф","2024-09-15","interview_Поле.рф_001"
"q2","как выбираешь либы","Поле.рф","2024-09-15","interview_Поле.рф_001"
"q3","есть ли опыт разработки open source либ","Поле.рф","2024-09-15","interview_Поле.рф_001"
"q4","async defer","Поле.рф","2024-09-15","interview_Поле.рф_001"
"q5","где хранить jwt token лучше","Поле.рф","2024-09-15","interview_Поле.рф_001"
"q6","как с помощью localstorage общаться между вкладками","Поле.рф","2024-09-15","interview_Поле.рф_001"
"q7","луп","Поле.рф","2024-09-15","interview_Поле.рф_001"
"q8","web vs service workers","Поле.рф","2024-09-15","interview_Поле.рф_001"
"q9","если внутри промиса вызвать сначала реджект потом ресолв, что будет","Поле.рф","2024-09-15","interview_Поле.рф_001"
"q10","map vs object","Поле.рф","2024-09-15","interview_Поле.рф_001"
"q11","weak set and map","Поле.рф","2024-09-15","interview_Поле.рф_001"
"q12","tdz","Поле.рф","2024-09-15","interview_Поле.рф_001"
"q13","реконсиляция","Поле.рф","2024-09-15","interview_Поле.рф_001"
"q14","fiber для чего","Поле.рф","2024-09-15","interview_Поле.рф_001"
"q15","атрибут key","Поле.рф","2024-09-15","interview_Поле.рф_001"
"q16","сохраняется ли состояние компонента при ремаунте","Поле.рф","2024-09-15","interview_Поле.рф_001"
