"id","question_text","company","date","interview_id"
"q1","Что такое jsx","Корпорация Элар","2024-07-06","interview_Корпорация_Элар_000"
"q2","Какие хуки знаешь и что они делают","Корпорация Элар","2024-07-06","interview_Корпорация_Элар_000"
"q3","Что такое редьюсер в Redux","Корпорация Элар","2024-07-06","interview_Корпорация_Элар_000"
"q4","Есть ли опыт использования SSR","Корпорация Элар","2024-07-06","interview_Корпорация_Элар_000"
"q5","Какие архитектурные подходы знаешь","Корпорация Элар","2024-07-06","interview_Корпорация_Элар_000"
"q6","Что скажешь про FSD","Корпорация Элар","2024-07-06","interview_Корпорация_Элар_000"
"q7","Для валидации форм что используешь","Корпорация Элар","2024-07-06","interview_Корпорация_Элар_000"
"q8","Как делаешь pixel perfect","Корпорация Элар","2024-07-06","interview_Корпорация_Элар_000"
"q9","Знаешь sass/scss","Корпорация Элар","2024-07-06","interview_Корпорация_Элар_000"
"q10","Работал ли с node.js","Корпорация Элар","2024-07-06","interview_Корпорация_Элар_000"
"q11","Работал ли с redis","Корпорация Элар","2024-07-06","interview_Корпорация_Элар_000"
