"id","question_text","company","date","interview_id"
"q1","Расскажи про опыт, причины увольнения","Авиационные Интерьеры","2025-06-05","interview_Авиационные_Интерьеры_000"
"q2","Когда готов выйти на работу?","Авиационные Интерьеры","2025-06-05","interview_Авиационные_Интерьеры_000"
"q3","Вы кто по грейду?","Авиационные Интерьеры","2025-06-05","interview_Авиационные_Интерьеры_000"
"q4","Удобно ли будет взять половину работы, как QA?","Авиационные Интерьеры","2025-06-05","interview_Авиационные_Интерьеры_000"
"q5","Расскажи про самую интересную задачу","Авиационные Интерьеры","2025-06-05","interview_Авиационные_Интерьеры_000"
"q6","Расскажи про sse-eventы","Авиационные Интерьеры","2025-06-05","interview_Авиационные_Интерьеры_000"
"q7","Расскажи про next.js","Авиационные Интерьеры","2025-06-05","interview_Авиационные_Интерьеры_000"
"q8","Расскажи про redux, mobx","Авиационные Интерьеры","2025-06-05","interview_Авиационные_Интерьеры_000"
"q9","Что такое webpack","Авиационные Интерьеры","2025-06-05","interview_Авиационные_Интерьеры_000"
"q10","Расскажи про тесты","Авиационные Интерьеры","2025-06-05","interview_Авиационные_Интерьеры_000"
"q11","Расскажи про ci-cd","Авиационные Интерьеры","2025-06-05","interview_Авиационные_Интерьеры_000"
"q12","Как с linux?","Авиационные Интерьеры","2025-06-05","interview_Авиационные_Интерьеры_000"
"q13","DRY KISS SOLID","Авиационные Интерьеры","2025-06-05","interview_Авиационные_Интерьеры_000"
"q14","Чистая архитектура","Авиационные Интерьеры","2025-06-05","interview_Авиационные_Интерьеры_000"
"q15","Приходилось ли пилить ui-кит?","Авиационные Интерьеры","2025-06-05","interview_Авиационные_Интерьеры_000"
"q16","Какие книжки по программированию читаешь?","Авиационные Интерьеры","2025-06-05","interview_Авиационные_Интерьеры_000"
