"id","question_text","company","date","interview_id"
"q1","Значешь что такое bind? Для чего он нужен, что в себя принимает, первым и вторым третим и т.д. аргументами","Heropayments","2024-11-20","interview_Heropayments_000"
"q2","Можем ли мы использовать bind на стрелочной функции и будет ли он работать? Если будет то какие особенности, как мы можем передать стрелочной функции нужные данные через bind","Heropayments","2024-11-20","interview_Heropayments_000"
"q3","Из чего состоит класс в нативном JS","Heropayments","2024-11-20","interview_Heropayments_000"
"q4","Как объявить переменные в классе","Heropayments","2024-11-20","interview_Heropayments_000"
"q5","Для чего нужен конструктор","Heropayments","2024-11-20","interview_Heropayments_000"
"q6","Можем ли мы использовать асинхронный синтаксис в конструкторе? По типу перед конструктором написать async и внутри this.data = await getData()","Heropayments","2024-11-20","interview_Heropayments_000"
"q7","Назови все случаи перерендера компонента в React","Heropayments","2024-11-20","interview_Heropayments_000"
"q8","Как работает замыкание в JS? И где мы можем его применить на практике","Heropayments","2024-11-20","interview_Heropayments_000"
"q9","Что такое область видимости в JS","Heropayments","2024-11-20","interview_Heropayments_000"
"q10","С помощью чего можно закешировать данные в React? И расскажи различие в каких случаях что использовать","Heropayments","2024-11-20","interview_Heropayments_000"
"q11","Как React понимает что что-то изменилось и это надо перерендерить, как это работает под капотом","Heropayments","2024-11-20","interview_Heropayments_000"
