"id","question_text","company","date","interview_id"
"q1","Как были организованы процессы? От кого получали задачи","Транснефть","2024-09-25","interview_Транснефть_000"
"q2","Задачи в каком трекере велись? Как то документировали?","Транснефть","2024-09-25","interview_Транснефть_000"
"q3","В чем заключались технические улучшения при добавлении Jest и React Testing Library в проект?","Транснефть","2024-09-25","interview_Транснефть_000"
"q4","Для чего использовали reselect?","Транснефть","2024-09-25","interview_Транснефть_000"
"q5","У нас есть стор, в нем user, в user есть id, соответственно мы можем получить user.id, зачем нам нужен reselect?","Транснефть","2024-09-25","interview_Транснефть_000"
"q6","У нас есть тег span, как не меняя его свойства display поменять высоту спана?","Транснефть","2024-09-25","interview_Транснефть_000"
"q7","Расскажи про вес селекторов","Транснефть","2024-09-25","interview_Транснефть_000"
"q8","Что такое замыкание?","Транснефть","2024-09-25","interview_Транснефть_000"
"q9","Как можно скопировать объект?","Транснефть","2024-09-25","interview_Транснефть_000"
"q10","Что такое каррирование?","Транснефть","2024-09-25","interview_Транснефть_000"
"q11","Какие перебирающие методы массивов знаете?","Транснефть","2024-09-25","interview_Транснефть_000"
"q12","Какие методы массивов мутируют исходный массив, а какие нет?","Транснефть","2024-09-25","interview_Транснефть_000"
"q13","Какой метод наподобие sort есть, который не будет мутировать исходный массив?","Транснефть","2024-09-25","interview_Транснефть_000"
"q14","Что мы можем сделать через цикл for, но не можем сделать через forEach?","Транснефть","2024-09-25","interview_Транснефть_000"
"q15","Что будет если сложить 0.1 и 0.2?","Транснефть","2024-09-25","interview_Транснефть_000"
"q16","CSS задача: убрать кружки и отступы у ul и html body, добавить бордер для li, затем растянуть ul на всю высоту экрана","Транснефть","2024-09-25","interview_Транснефть_000"
"q17","TypeScript задача: написать тип FilteredPartial, который делает одно из свойств интерфейса Props необязательным","Транснефть","2024-09-25","interview_Транснефть_000"
"q18","Задача: найти в массиве подмассив с максимальной суммой элементов и вывести эту сумму на экран (например, для [-2,-1,1,2] ответ 3; для [2,-1,2,3,-9] ответ 6; для [-1,-2,-3] ответ 0)","Транснефть","2024-09-25","interview_Транснефть_000"
