"id","question_text","company","date","interview_id"
"q1","Что такое event-loop","Росгосстрах","2024-12-11","interview_Росгосстрах_000"
"q2","Что такое замыкания","Росгосстрах","2024-12-11","interview_Росгосстрах_000"
"q1","Расскажите про опыт работы, в том числе с UI Kit","Росгосстрах","2024-05-24","interview_Росгосстрах_001"
"q2","Что такое микрофронты и как работает Lerna","Росгосстрах","2024-05-24","interview_Росгосстрах_001"
"q3","Объясните понятия хойстинг и замыкания в JavaScript","Росгосстрах","2024-05-24","interview_Росгосстрах_001"
"q4","Что такое JSDoc и как его использовать","Росгосстрах","2024-05-24","interview_Росгосстрах_001"
"q5","Что такое дженерик в TypeScript","Росгосстрах","2024-05-24","interview_Росгосстрах_001"
"q6","Какие бывают варианты авторизации в веб-приложениях","Росгосстрах","2024-05-24","interview_Росгосстрах_001"
"q7","Объясните специфичность CSS-селекторов","Росгосстрах","2024-05-24","interview_Росгосстрах_001"
"q8","Как реализовать обработку аналитики через Redux middleware","Росгосстрах","2024-05-24","interview_Росгосстрах_001"
"q9","В чем отличие git pull от git fetch","Росгосстрах","2024-05-24","interview_Росгосстрах_001"
"q10","Определите значение this в стрелочной функции getSomethisng и в обычной функции getSomethisng2","Росгосстрах","2024-05-24","interview_Росгосстрах_001"
"q11","Определите средний вес всех лимонов (среднее арифметическое по ключу weight) в массиве объектов с фруктами","Росгосстрах","2024-05-24","interview_Росгосстрах_001"
