"id","question_text","company","date","interview_id"
"q1","С какими проблемами сталкивался?","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q2","Расскажи про ваш стек","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q3","Разница RTK-query и tanstack-query","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q4","Что такое Version Skew","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q5","Проблема передачи env-переменных в Nextjs (не генерится ssg)","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q6","Что такое App Router в Nextjs","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q7","Что такое Critical rendering path","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q8","Что такое Code splitting css","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q9","Что такое Composition и relayout","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q10","Что такое async и defer, что это такое","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q11","Что такое event loop","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q12","Что такое механизм recancelation в React","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q13","Что такое react fiber","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q14","Какие этапы рендера в React","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q15","Чем отличаются useEffect и useLayoutEffect","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q16","Что такое useTransition и useSyncExternalStore","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q17","Что такое мемоизация в React и как мы ее используем","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q18","Что такое High-Order Component","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q19","Зачем мы используем TypeScript","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q20","В чем разница типов и интерфейсов в TypeScript","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q21","Можем ли мы использовать типы вместо интерфейсов в TypeScript","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q22","Какие типы данных есть в TypeScript","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q23","Что такое enum и чем он отличается от const enum в TypeScript","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q24","Что такое дженерики и infer в TypeScript","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q25","Что такое перегрузка функций в TypeScript","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q26","Что такое utility types (pick, omit, record) в TypeScript","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q27","Что такое Intersection в TypeScript","Sky Capital","2025-02-20","interview_Sky_Capital_000"
"q28","Реализовать хук useList, который возвращает три реактивных значения: data - данные, полученные асинхронно из функции lib/getList, isLoading - флаг статуса загрузки, isError - флаг статуса ошибки","Sky Capital","2025-02-20","interview_Sky_Capital_000"
