"id","question_text","company","date","interview_id"
"q1","Рассказ о себе. предыдущее место работы","Nexign","2025-06-20","interview_Nexign_000"
"q2","На каких проектах работал, чем приходилось заниматься","Nexign","2025-06-20","interview_Nexign_000"
"q3","С каким стеком работал","Nexign","2025-06-20","interview_Nexign_000"
"q4","Основные типы данных","Nexign","2025-06-20","interview_Nexign_000"
"q5","Что такое стрелочные функции, их особенности","Nexign","2025-06-20","interview_Nexign_000"
"q6","Фазы распространения событий (Погружение, Фаза цели, Всплытие)","Nexign","2025-06-20","interview_Nexign_000"
"q7","В каком порядке выведутся console.log при клике на div2 и div1","Nexign","2025-06-20","interview_Nexign_000"
"q8","Как сделать, чтобы при клике сперва вывелся div1 (использовать {capture: true} для div1)","Nexign","2025-06-20","interview_Nexign_000"
"q9","Как сделать, чтобы при клике выводился только div2 (использовать event.stopPropagation)","Nexign","2025-06-20","interview_Nexign_000"
"q10","Расскажи про замыкание, что это такое, где используется (например, throttle, debounce)","Nexign","2025-06-20","interview_Nexign_000"
"q11","Реализовать функцию sum, чтобы можно было вызвать sum(1)(2) и получить 3","Nexign","2025-06-20","interview_Nexign_000"
"q12","Расскажи что такое промисы, для чего нужны","Nexign","2025-06-20","interview_Nexign_000"
"q13","Реализовать метод delay(ms), который возвращает промис, резолвящийся через ms миллисекунд","Nexign","2025-06-20","interview_Nexign_000"
"q14","Виды дизайнов (Адаптивный, Отзывчивый), в чем разница","Nexign","2025-06-20","interview_Nexign_000"
"q15","Расскажи про flexbox","Nexign","2025-06-20","interview_Nexign_000"
"q16","Как сделать так, чтобы div'ы внутри .top расположились равномерно в родительском блоке горизонтально и были отцентрованы по вертикали с помощью flexbox","Nexign","2025-06-20","interview_Nexign_000"
"q17","Что такое GET/POST запросы, их отличия","Nexign","2025-06-20","interview_Nexign_000"
"q18","Какие данные и в каком объеме можно передавать через GET и POST запросы","Nexign","2025-06-20","interview_Nexign_000"
"q19","Как происходит кэширование, виды кэширования (в браузере, на сервере)","Nexign","2025-06-20","interview_Nexign_000"
"q20","Как управлять кэшем с помощью заголовков Cache-Control","Nexign","2025-06-20","interview_Nexign_000"
"q21","Что такое WebSocket, для чего нужен","Nexign","2025-06-20","interview_Nexign_000"
"q22","Как называются приложения, построенные на WebSocket","Nexign","2025-06-20","interview_Nexign_000"
"q23","Что такое REST, его принципы","Nexign","2025-06-20","interview_Nexign_000"
"q24","Когда будет вызываться useEffect в React без массива зависимостей","Nexign","2025-06-20","interview_Nexign_000"
"q25","Как сделать, чтобы useEffect вызывался только при монтировании компонента (добавить пустой массив зависимостей)","Nexign","2025-06-20","interview_Nexign_000"
"q26","Как сделать, чтобы useEffect обрабатывался при размонтировании компонента (использовать cleanup функцию)","Nexign","2025-06-20","interview_Nexign_000"
"q27","Что такое мемоизация, для чего нужна, примеры использования (React.memo, useMemo, useCallback)","Nexign","2025-06-20","interview_Nexign_000"
"q28","Что такое TypeScript, какие проблемы решает, плюсы и минусы","Nexign","2025-06-20","interview_Nexign_000"
"q29","Что такое дженерики в TypeScript, для чего нужны","Nexign","2025-06-20","interview_Nexign_000"
"q30","Типизировать функцию getLength, которая принимает параметр с полем length и возвращает число","Nexign","2025-06-20","interview_Nexign_000"
"q31","Для чего нужны файлы package.json и package-lock.json","Nexign","2025-06-20","interview_Nexign_000"
"q32","В чем разница между package.json и package-lock.json","Nexign","2025-06-20","interview_Nexign_000"
"q33","Каким пакетным менеджером пользовался","Nexign","2025-06-20","interview_Nexign_000"
