"id","question_text","company","date","interview_id"
"q1","Чем занимались на прошлом проекте и с чем, помимо React, работали?","РСХБ-Интех","2025-05-22","interview_РСХБ-Интех_000"
"q2","Что выведет в консоль при выполнении кода с переменными a, b, c, d, f и операторами == и ===?","РСХБ-Интех","2025-05-22","interview_РСХБ-Интех_000"
"q3","Как передать параметры a и c в функцию с тремя параметрами, чтобы параметр b остался по умолчанию, пропуская предыдущий необязательный параметр?","РСХБ-Интех","2025-05-22","interview_РСХБ-Интех_000"
"q4","Написать функцию sleep, которая возвращает Promise и выполняется через переданное количество миллисекунд","РСХБ-Интех","2025-05-22","interview_РСХБ-Интех_000"
"q5","Что выведет вызов метода sayHi после сериализации и десериализации объекта с помощью JSON.stringify и JSON.parse и почему?","РСХБ-Интех","2025-05-22","interview_РСХБ-Интех_000"
"q6","Что произойдет при выполнении бесконечного синхронного цикла while(1) в браузере?","РСХБ-Интех","2025-05-22","interview_РСХБ-Интех_000"
"q7","Что произойдет при выполнении асинхронной рекурсии через setTimeout?","РСХБ-Интех","2025-05-22","interview_РСХБ-Интех_000"
"q8","Что произойдет при выполнении асинхронной рекурсии через Promise с вызовом функции в then?","РСХБ-Интех","2025-05-22","interview_РСХБ-Интех_000"
"q9","Написать простой счетчик на React с кнопкой, увеличивающей значение счетчика при клике","РСХБ-Интех","2025-05-22","interview_РСХБ-Интех_000"
"q1","О себе","РСХБ-Интех","2025-03-12","interview_РСХБ-Интех_001"
"q2","Что именно сделал на проекте, чуть покопал по техничке","РСХБ-Интех","2025-03-12","interview_РСХБ-Интех_001"
"q3","Что такое HTTP","РСХБ-Интех","2025-03-12","interview_РСХБ-Интех_001"
"q4","Из чего состоит HTTP-запрос (заголовки, тело, методы, домен и т.д.)","РСХБ-Интех","2025-03-12","interview_РСХБ-Интех_001"
"q5","Что такое CORS, для чего он нужен и где он настраивается","РСХБ-Интех","2025-03-12","interview_РСХБ-Интех_001"
"q6","Для чего используются куки, сессии и localStorage, в чем их отличия и какие кейсы использования","РСХБ-Интех","2025-03-12","interview_РСХБ-Интех_001"
"q7","В чем отличия let, const и var","РСХБ-Интех","2025-03-12","interview_РСХБ-Интех_001"
"q8","Что принес нам ES6","РСХБ-Интех","2025-03-12","interview_РСХБ-Интех_001"
"q9","В чем отличие обычных функций от стрелочных функций, как работает this и как определяется в коде","РСХБ-Интех","2025-03-12","interview_РСХБ-Интех_001"
"q10","Что такое замыкание","РСХБ-Интех","2025-03-12","interview_РСХБ-Интех_001"
"q11","В чем отличие оператора || от ??","РСХБ-Интех","2025-03-12","interview_РСХБ-Интех_001"
"q12","Что такое Redux и как он работает","РСХБ-Интех","2025-03-12","interview_РСХБ-Интех_001"
"q13","Что такое useContext()","РСХБ-Интех","2025-03-12","interview_РСХБ-Интех_001"
"q14","Реализуйте функцию, которая проходит по массиву и выводит в консоль индексы элементов с разницей в одну секунду без использования setInterval","РСХБ-Интех","2025-03-12","interview_РСХБ-Интех_001"
"q1","Что происходит при вводе в адресную строку","РСХБ-Интех","2025-03-12","interview_РСХБ-Интех_002"
"q2","Объясните принципы SOLID","РСХБ-Интех","2025-03-12","interview_РСХБ-Интех_002"
"q3","В чем разница между Throttle и Debounce","РСХБ-Интех","2025-03-12","interview_РСХБ-Интех_002"
