"id","question_text","company","date","interview_id"
"q1","Расскажите о себе","Ротек","2024-11-11","interview_Ротек_000"
"q2","Твои слабые и сильные стороны","Ротек","2024-11-11","interview_Ротек_000"
"q3","Как развиваешься","Ротек","2024-11-11","interview_Ротек_000"
"q4","Что последнее изучал","Ротек","2024-11-11","interview_Ротек_000"
"q5","Каких бы задач хотелось избежать","Ротек","2024-11-11","interview_Ротек_000"
"q6","Почему ищешь новое место работы","Ротек","2024-11-11","interview_Ротек_000"
"q7","event-loop","Ротек","2024-11-11","interview_Ротек_000"
"q8","CORS","Ротек","2024-11-11","interview_Ротек_000"
"q9","Http vs Https","Ротек","2024-11-11","interview_Ротек_000"
"q10","var let const","Ротек","2024-11-11","interview_Ротек_000"
"q11","Типы данных в JavaScript","Ротек","2024-11-11","interview_Ротек_000"
"q12","Promise","Ротек","2024-11-11","interview_Ротек_000"
"q13","Promise.race","Ротек","2024-11-11","interview_Ротек_000"
"q14","bind call apply","Ротек","2024-11-11","interview_Ротек_000"
"q15","this","Ротек","2024-11-11","interview_Ротек_000"
"q16","Отличия стрелочной функции и обычной функции","Ротек","2024-11-11","interview_Ротек_000"
"q17","React: в чем смысл","Ротек","2024-11-11","interview_Ротек_000"
"q18","Зачем нужен key в React","Ротек","2024-11-11","interview_Ротек_000"
"q19","Пояснить известные хуки в React","Ротек","2024-11-11","interview_Ротек_000"
"q20","Generic","Ротек","2024-11-11","interview_Ротек_000"
"q21","Utility Types","Ротек","2024-11-11","interview_Ротек_000"
"q22","Реализуйте функцию подсчёта количества вхождений каждого символа в строке","Ротек","2024-11-11","interview_Ротек_000"
