"id","question_text","company","date","interview_id"
"q1","Про опыт и интересные задачи","Учи.ру","2024-08-29","interview_Учи.ру_000"
"q2","Процессы в команде","Учи.ру","2024-08-29","interview_Учи.ру_000"
"q3","Идеальное место работы, ред флаги","Учи.ру","2024-08-29","interview_Учи.ру_000"
"q4","Что происходит после ввода адреса в браузере до момента отрисовки в браузере, максимально подробно","Учи.ру","2024-08-29","interview_Учи.ру_000"
"q5","Объясните разницу между HTTP и HTTPS","Учи.ру","2024-08-29","interview_Учи.ру_000"
"q6","Объясните архитектурные паттерны MVC и MVVM","Учи.ру","2024-08-29","interview_Учи.ру_000"
"q7","На что обращаете внимание при ревью кода, что в вашем понимании хорошо написанный код","Учи.ру","2024-08-29","interview_Учи.ру_000"
"q8","Объясните разницу между CSS Grid и Flexbox","Учи.ру","2024-08-29","interview_Учи.ру_000"
"q1","rebase или merge и почему?","Учи.ру","2024-08-27","interview_Учи.ру_001"
"q2","какой командой отменить запушеный в мастер код?","Учи.ру","2024-08-27","interview_Учи.ру_001"
"q3","как найти кнопку которую невозможно найти?","Учи.ру","2024-08-27","interview_Учи.ру_001"
"q4","какие паттерны проектирования есть?","Учи.ру","2024-08-27","interview_Учи.ру_001"
"q5","зачем нужен Redux? почему бы не юзать Context?","Учи.ру","2024-08-27","interview_Учи.ру_001"
"q6","как оценить сложность алгоритма?","Учи.ру","2024-08-27","interview_Учи.ру_001"
"q7","какие критерии оценки когда мы будем использовать при ревью?","Учи.ру","2024-08-27","interview_Учи.ру_001"
"q8","когда использовать grid а когда flex?","Учи.ру","2024-08-27","interview_Учи.ру_001"
"q9","что произойдет при вводе в строку браузера адреса и нажатия Enter?","Учи.ру","2024-08-27","interview_Учи.ру_001"
"q10","что важно чтобы было в команде и чего небыло?","Учи.ру","2024-08-27","interview_Учи.ру_001"
"q1","Дана таблица, в её ячейки можно вбить формулу суммы или среднего, например =SUM(1,2). При нажатии enter формула вычисляется и в ячейку подставляется результат. Задача: при клике на ячейку, в которой уже посчитался результат, в ней должна появляться прежняя формула вместо результата","Учи.ру","2024-03-31","interview_Учи.ру_002"
