"id","question_text","company","date","interview_id"
"q1","Создать массив, состоящий из уникальных значений исходного массива и вывести его в консоль","Редсофт","2024-12-09","interview_Редсофт_000"
"q2","Написать функцию расширяющую класс Array методом flatten, который приводит массив к одному уровню вложенности","Редсофт","2024-12-09","interview_Редсофт_000"
"q3","Написать функцию memoize, которая принимает функцию и возвращает мемоизированную версию, кеширующую результаты вызовов с одинаковыми аргументами","Редсофт","2024-12-09","interview_Редсофт_000"
"q4","Написать функцию curry, которая принимает функцию и возвращает её карированную версию, позволяющую вызывать функцию с аргументами по частям","Редсофт","2024-12-09","interview_Редсофт_000"
"q5","Написать функцию, определяющую возможность сортировки массива чисел на группы длиной groupSize, каждая из которых состоит из уникальных последовательных элементов, возвращающую true или false","Редсофт","2024-12-09","interview_Редсофт_000"
"q1","Что такое виртуализация","Редсофт","2024-12-09","interview_Редсофт_001"
"q2","Рассказать о PWA","Редсофт","2024-12-09","interview_Редсофт_001"
"q3","Что такое Web Workers","Редсофт","2024-12-09","interview_Редсофт_001"
"q4","Что такое JWT","Редсофт","2024-12-09","interview_Редсофт_001"
"q5","Что такое WebSocket","Редсофт","2024-12-09","interview_Редсофт_001"
"q6","Как распространяются события в JavaScript (очень подробно)","Редсофт","2024-12-09","interview_Редсофт_001"
"q7","Все ли события всплывают","Редсофт","2024-12-09","interview_Редсофт_001"
"q8","С какими коллекциями ты работал в JavaScript","Редсофт","2024-12-09","interview_Редсофт_001"
"q9","Как работает EventLoop","Редсофт","2024-12-09","interview_Редсофт_001"
"q10","В контексте EventLoop где будет отрабатывать requestAnimationFrame()","Редсофт","2024-12-09","interview_Редсофт_001"
"q11","Что такое Debounce","Редсофт","2024-12-09","interview_Редсофт_001"
"q12","С какими utility types в TypeScript ты работал (рассказать про пару из них)","Редсофт","2024-12-09","interview_Редсофт_001"
"q13","В чем разница между any и unknown в TypeScript и как пользоваться unknown","Редсофт","2024-12-09","interview_Редсофт_001"
"q14","В чем разница между interface и type в TypeScript и в каких случаях применять interface или type","Редсофт","2024-12-09","interview_Редсофт_001"
"q15","Отличия событий в React и JavaScript","Редсофт","2024-12-09","interview_Редсофт_001"
"q16","Как работает portal в React и как им пользоваться","Редсофт","2024-12-09","interview_Редсофт_001"
"q17","Будут ли всплывать события в portal и почему","Редсофт","2024-12-09","interview_Редсофт_001"
"q18","Мини задача: есть два состояния count и строка, нужно изменять count при изменении строки, решение — объединить состояния и вынести в отдельный хук","Редсофт","2024-12-09","interview_Редсофт_001"
"q1","Создать массив с уникальными значениями из исходного массива, используя метод filter или объект Set","Редсофт","2024-12-06","interview_Редсофт_002"
"q2","Написать функцию flatten, которая приводит массив к одному уровню вложенности, разворачивая все вложенные массивы","Редсофт","2024-12-06","interview_Редсофт_002"
"q3","Расширить прототип Array методом flatten, который изменяет исходный массив, приводя его к одному уровню вложенности","Редсофт","2024-12-06","interview_Редсофт_002"
"q4","Написать функцию memoize, которая кеширует результаты вызова переданной функции по аргументам","Редсофт","2024-12-06","interview_Редсофт_002"
"q5","Написать функцию curry, которая принимает функцию и возвращает её карированную версию, поддерживающую вызовы вида f(a)(b)(c), f(a, b)(c), f(a)(b, c)","Редсофт","2024-12-06","interview_Редсофт_002"
