"id","question_text","company","date","interview_id"
"q1","Как задача прилетала в бэклог флоу","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q2","this","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q3","call/bind/apply","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q4","Замыкание","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q5","EventLoop","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q6","Что относится к микротаскам","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q7","async/await","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q8","DOM","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q9","Почему не можем использовать HTML вместо DOM (JavaScript работает только через DOM)","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q10","Всплытие и погружение событий подробно","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q11","stopPropagation и preventDefault","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q12","Назовите 3 React-хука, с которыми чаще всего работали","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q13","useRef","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q14","useEffect: как может себя вести при отсутствии зависимостей или при их удалении","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q15","HOC (Higher Order Component)","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q16","useMemo vs useCallback","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q17","Redux","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q18","Middleware в Redux","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q19","HOC (Higher Order Function)","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q20","HTTP vs HTTPS","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q21","Открытый и закрытый ключ","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q22","Как настроить кэширование в браузере","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q23","sessionStorage vs localStorage","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q24","Написать функцию для проверки, является ли строка палиндромом, и предложить способы оптимизации решения","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q25","Написать функцию для проверки правильности совпадения скобок в строке (например, '((()))') и предложить способы оптимизации решения","10 Бсс","2024-10-18","interview_10_Бсс_000"
"q26","Привести строку с дробью к формату без скобок, например преобразовать '(9999/9999)'","10 Бсс","2024-10-18","interview_10_Бсс_000"
