"id","question_text","company","date","interview_id"
"q1","Что будет выведено в консоль при обработке Promise в данном коде?","Яндекс","2025-07-18","interview_Яндекс_000"
"q2","Реализуйте функцию runOnce, которая принимает функцию и возвращает новую функцию, которая может быть вызвана только один раз, последующие вызовы возвращают undefined","Яндекс","2025-07-18","interview_Яндекс_000"
"q3","Реализуйте метод Array.prototype.groupBy, который группирует элементы массива по ключу, вычисляемому переданной функцией","Яндекс","2025-07-18","interview_Яндекс_000"
"q4","Реализуйте функцию get(url, retry), которая делает fetch по URL и при ошибке повторяет запрос заданное количество раз, после чего выбрасывает ошибку","Яндекс","2025-07-18","interview_Яндекс_000"
"q5","Реализуйте класс стека с методами push, pop и max, где max возвращает текущий максимум в стеке за O(1)","Яндекс","2025-07-18","interview_Яндекс_000"
"q1","Напишите функцию, которая асинхронно делает GET запрос по url с помощью fetch и Promise API, повторяя запрос до 5 раз при ошибках, и возвращает данные в формате json или ошибку 'Заданный URL недоступен' если все попытки неудачны","Яндекс","2025-07-17","interview_Яндекс_001"
"q2","Реализуйте функцию compose, которая принимает переменное количество функций и возвращает новую функцию, результат работы каждой функции передается в следующую","Яндекс","2025-07-17","interview_Яндекс_001"
"q3","Реализуйте функцию isMonotonic, которая принимает массив чисел и определяет, является ли он монотонным (не возрастающим или не убывающим)","Яндекс","2025-07-17","interview_Яндекс_001"
"q4","Напишите полифилл для Array.prototype.some, который возвращает true, если функция проверки возвращает truthy значение хотя бы для одного элемента массива, иначе false","Яндекс","2025-07-17","interview_Яндекс_001"
"q1","Про опыт","Яндекс","2025-07-14","interview_Яндекс_002"
"q2","Виды рендеринга в Next.js","Яндекс","2025-07-14","interview_Яндекс_002"
"q3","Зачем нужен next.js","Яндекс","2025-07-14","interview_Яндекс_002"
"q4","SEO, метатеги, настройка его в Next.js","Яндекс","2025-07-14","interview_Яндекс_002"
"q5","Оптимизация некста","Яндекс","2025-07-14","interview_Яндекс_002"
"q6","PWA, service worker и другие виды веб-приложений (SPA, MPA)","Яндекс","2025-07-14","interview_Яндекс_002"
"q7","event-loop","Яндекс","2025-07-14","interview_Яндекс_002"
"q8","Всплытие и погружение","Яндекс","2025-07-14","interview_Яндекс_002"
"q9","Как отменить распространения события","Яндекс","2025-07-14","interview_Яндекс_002"
"q10","Где решаю задачи и как к ним готовлюсь","Яндекс","2025-07-14","interview_Яндекс_002"
"q11","Сложность алгоритма","Яндекс","2025-07-14","interview_Яндекс_002"
"q12","Как юзаю AI в работе","Яндекс","2025-07-14","interview_Яндекс_002"
"q1","Что такое HTTP запросы?","Яндекс","2025-07-13","interview_Яндекс_003"
"q2","Что такое CORS?","Яндекс","2025-07-13","interview_Яндекс_003"
"q3","Как реализовать работу CORS?","Яндекс","2025-07-13","interview_Яндекс_003"
"q4","Задача Event loop: определить порядок вывода в консоль для кода с console.log, setTimeout, requestAnimationFrame и Promise","Яндекс","2025-07-13","interview_Яндекс_003"
"q5","Рефакторинг React-компонента: переписать классовый компонент на функциональный с использованием хуков useState, useEffect и useCallback, сохраняя логику загрузки и сохранения данных в localStorage, а также управление списком задач и их состоянием","Яндекс","2025-07-13","interview_Яндекс_003"
"q1","Найти улучшения и оптимизировать код со скроллом и запросами при скролле","Яндекс","2025-07-11","interview_Яндекс_004"
"q2","Что такое и для чего нужен debounce, реализуйте функцию debounce","Яндекс","2025-07-11","interview_Яндекс_004"
"q3","Что такое и для чего нужен throttle, реализуйте функцию throttle","Яндекс","2025-07-11","interview_Яндекс_004"
"q4","Что такое всплытие событий?","Яндекс","2025-07-11","interview_Яндекс_004"
"q5","Как отменить всплытие событий?","Яндекс","2025-07-11","interview_Яндекс_004"
"q1","Сделайте обертку над функцией, чтобы она вызывалась один раз, а все последующие вызовы возвращали undefined","Яндекс","2025-07-10","interview_Яндекс_005"
"q2","Реализуйте метод groupBy, расширяющий стандартный метод массивов, который возвращает объект, где ключи — результат выполнения переданной функции для каждого элемента массива, а значения — массивы элементов с этим ключом","Яндекс","2025-07-10","interview_Яндекс_005"
"q3","Используя Promise API, реализуйте функцию get, которая выполняет до 5 запросов на сервер по URL с повторными попытками при ошибках и выбрасывает ошибку, если все попытки неудачны","Яндекс","2025-07-10","interview_Яндекс_005"
"q4","Реализуйте структуру данных MaxStack с методами push(value) за O(1), pop() за O(1) с выбросом ошибки при пустом стеке, и max() за O(1), возвращающим максимальное значение или выбрасывающим ошибку при пустом стеке","Яндекс","2025-07-10","interview_Яндекс_005"
"q1","Расскажи про задачи интересные","Яндекс","2025-07-09","interview_Яндекс_006"
"q2","Расскажи про процессы в команде какие были","Яндекс","2025-07-09","interview_Яндекс_006"
"q3","Было ли у вас дежурство","Яндекс","2025-07-09","interview_Яндекс_006"
"q4","Какими инструментами пользовались, когда падал прод","Яндекс","2025-07-09","interview_Яндекс_006"
"q5","Был ли настроен sentry изначально или сам настраивал","Яндекс","2025-07-09","interview_Яндекс_006"
"q6","По мимо задач по разработке новых фич, чем еще занимался?","Яндекс","2025-07-09","interview_Яндекс_006"
"q1","Сделать обертку над функцией, чтобы она вызывалась один раз, все последующие вызовы должны вернуть undefined","Яндекс","2025-07-07","interview_Яндекс_007"
"q2","Написать функцию sleep, которая спит определенное время, а затем возвращает значение","Яндекс","2025-07-07","interview_Яндекс_007"
