"id","question_text","company","date","interview_id"
"q1","Почему можно обратиться к примитивам вот так: 'Какая-то строка'.toUpperCase(); (2).toString(); объясните процесс автобоксинга","СЗ РЦАИ","2025-02-28","interview_СЗ_РЦАИ_000"
"q2","Проанализируйте следующий Promise код и объясните, что и в каком порядке будет выведено в консоль: Promise.resolve(10).then(e => console.log(e)).then(e => Promise.resolve(e)).then(console.log).then(e => { if (!e) { throw 'Error'; } }).catch(e => { console.log(e); return new Error('New error'); }).then(e => { console.log(e.message); }).catch(e => { console.log(e.message); })","СЗ РЦАИ","2025-02-28","interview_СЗ_РЦАИ_000"
"q3","Объясните порядок вывода в консоль для функции с использованием setTimeout и Promise: function test() { setTimeout(() => { console.log('1'); }, 0); setTimeout(() => { console.log('2'); }, 1000); const promise = new Promise((resolve, reject) => { console.log('3'); resolve(4); }); promise.then((result) => { console.log(result); }); console.log('5'); }","СЗ РЦАИ","2025-02-28","interview_СЗ_РЦАИ_000"
"q4","Что нужно сделать, чтобы выражение (2).plus(2).minus(3).plus(5); работало в JavaScript","СЗ РЦАИ","2025-02-28","interview_СЗ_РЦАИ_000"
"q5","Реализуйте привязку контекста для функции function test() { console.log(${ this.x }); } и объекта const obj = { x: 'SZRCAI' }","СЗ РЦАИ","2025-02-28","interview_СЗ_РЦАИ_000"
"q6","Измените объект const obj = { start: 1, end: 10 } так, чтобы при использовании spread-оператора const a = [...obj]; получился массив [1,2,3,4,5,6,7,8,9,10]","СЗ РЦАИ","2025-02-28","interview_СЗ_РЦАИ_000"
"q7","Реализуйте функцию каррирования curry(fn), которая позволяет вызывать функцию с частичным применением аргументов до тех пор, пока не будет передано необходимое количество аргументов","СЗ РЦАИ","2025-02-28","interview_СЗ_РЦАИ_000"
"q8","event-loop","СЗ РЦАИ","2025-02-28","interview_СЗ_РЦАИ_000"
"q1","Спрашивали про опыт, интересные задачи, какая была команда, как были устроены процессы в команде","СЗ РЦАИ","2024-11-26","interview_СЗ_РЦАИ_001"
"q2","Типы данных в js","СЗ РЦАИ","2024-11-26","interview_СЗ_РЦАИ_001"
"q3","Чем отличаются примитивы и ссылочный типы","СЗ РЦАИ","2024-11-26","interview_СЗ_РЦАИ_001"
"q4","Что такое XMLHTTPrequest","СЗ РЦАИ","2024-11-26","interview_СЗ_РЦАИ_001"
"q5","Вопросы про eventloop","СЗ РЦАИ","2024-11-26","interview_СЗ_РЦАИ_001"
"q6","Задача: дан объект const obj = {start:1, end:10}, что сделать чтобы получился массив [1,2,3,4,5,6,7,8,9,10] при выполнении console.log(a), где a = [...obj]","СЗ РЦАИ","2024-11-26","interview_СЗ_РЦАИ_001"
