"id","question_text","company","date","interview_id"
"q1","Подробно рассказать про построение графиков, какими способами, по какой технологии, с помощью какой библиотеки делал","Nedra Digital","2025-05-26","interview_Nedra_Digital_000"
"q2","Что такое канвас и пиксель в контексте веб-графики","Nedra Digital","2025-05-26","interview_Nedra_Digital_000"
"q1","Реализовать эффект взрыва конфеток с гравитацией, чтобы частицы после взрыва падали вниз, а не разлетались в стороны, используя PIXI.js","Nedra Digital","2025-05-26","interview_Nedra_Digital_000"
"q3","В чем отличие GET от POST запроса","Nedra Digital","2025-05-26","interview_Nedra_Digital_000"
"q4","Что делает команда git rebase","Nedra Digital","2025-05-26","interview_Nedra_Digital_000"
"q5","Что такое CORS и что означает эта аббревиатура","Nedra Digital","2025-05-26","interview_Nedra_Digital_000"
"q6","Что такое JWT-токен и зачем он используется","Nedra Digital","2025-05-26","interview_Nedra_Digital_000"
"q7","Как браузер делает рендер страницы","Nedra Digital","2025-05-26","interview_Nedra_Digital_000"
"q8","Написать функцию на JavaScript, которая принимает число, выполняет сложный расчет и возвращает результат, при этом для одного и того же аргумента расчет не повторяется, а возвращается кешированный результат","Nedra Digital","2025-05-26","interview_Nedra_Digital_000"
"q9","Написать функцию, которая принимает массив из 100 URL, опрашивает их все и возвращает массив ответов в том же порядке, при этом при ошибке возвращает результат","Nedra Digital","2025-05-26","interview_Nedra_Digital_000"
"q10","Выбрать между массивом и объектом для хранения большой коллекции данных (например, 100 тысяч контактов) на сервере и объяснить выбор","Nedra Digital","2025-05-26","interview_Nedra_Digital_000"
"q2","Определить порядок вывода в консоль для кода с Promise.resolve().then, setTimeout и console.log","Nedra Digital","2025-05-26","interview_Nedra_Digital_000"
"q3","Определить порядок вывода в консоль для цепочки промисов с reject и catch","Nedra Digital","2025-05-26","interview_Nedra_Digital_000"
"q4","Определить порядок вывода в консоль для async функции с await Promise.resolve и последовательными вызовами console.log","Nedra Digital","2025-05-26","interview_Nedra_Digital_000"
"q5","Определить порядок вывода в консоль для async функции с await промиса, setTimeout и последующим вызовом then","Nedra Digital","2025-05-26","interview_Nedra_Digital_000"
"q11","Как ускорить загрузку и работу большого React-приложения, которое грузится долго и тормозит в браузере","Nedra Digital","2025-05-26","interview_Nedra_Digital_000"
"q12","Что такое утечка памяти в фронтенд-разработке","Nedra Digital","2025-05-26","interview_Nedra_Digital_000"
"q13","Как определить наличие утечки памяти в приложении без использования React-специфичных инструментов","Nedra Digital","2025-05-26","interview_Nedra_Digital_000"
"q14","Что такое принцип инверсии зависимостей в архитектуре приложений (последний паттерн из SOLID)","Nedra Digital","2025-05-26","interview_Nedra_Digital_000"
"q1","event-loop","Nedra Digital","2024-12-11","interview_Nedra_Digital_001"
"q2","Что такое замыкания","Nedra Digital","2024-12-11","interview_Nedra_Digital_001"
"q1","Что такое event-loop","Nedra Digital","2024-11-14","interview_Nedra_Digital_002"
"q1","Способы копирования объекта","Nedra Digital","2024-11-05","interview_Nedra_Digital_003"
"q2","Преимущества и недостатки объектов и массивов при работе с большими данными","Nedra Digital","2024-11-05","interview_Nedra_Digital_003"
"q3","Был ли опыт с canvas и хочешь ли его изучать?","Nedra Digital","2024-11-05","interview_Nedra_Digital_003"
"q4","Какие проблемы и методы их решения есть при лагах на странице?","Nedra Digital","2024-11-05","interview_Nedra_Digital_003"
"q5","Реализуйте кнопку, которая по клику дизейблится на 5 секунд и показывает обратный отсчёт времени","Nedra Digital","2024-11-05","interview_Nedra_Digital_003"
