"id","question_text","company","date","interview_id"
"q1","Отличия HTML5 от HTML предыдущих стандартов","mos.ru","2025-03-12","interview_mos.ru_000"
"q2","Какие атрибуты aria знаешь для поддержки доступности?","mos.ru","2025-03-12","interview_mos.ru_000"
"q3","Определить, какой квадрат будет сверху, по середине и внизу при заданных стилях с position:absolute и z-index для элементов .red, .green, .blue внутри .wrapper","mos.ru","2025-03-12","interview_mos.ru_000"
"q4","Отличия var и let по всплытию, области видимости, повторному объявлению и свойству объекта window в глобальной области","mos.ru","2025-03-12","interview_mos.ru_000"
"q5","Что будет выведено в консоль при последовательном выполнении var a; console.log(a); a = 5; var a = 10; console.log(a); var a; console.log(a);","mos.ru","2025-03-12","interview_mos.ru_000"
"q6","Написать функцию-счетчик с использованием замыкания, которая при каждом вызове увеличивает внутреннее значение на 1 и возвращает его","mos.ru","2025-03-12","interview_mos.ru_000"
"q7","Какие есть фазы у событий в DOM?","mos.ru","2025-03-12","interview_mos.ru_000"
"q8","Можно ли заменить срабатывание события со всплытия на погружение с помощью третьего аргумента в addEventListener?","mos.ru","2025-03-12","interview_mos.ru_000"
"q9","Как перехватить событие отправки формы у родителя, если событие было отменено с помощью event.preventDefault(), учитывая свойство event.defaultPrevented?","mos.ru","2025-03-12","interview_mos.ru_000"
"q10","Как создать объект без прототипа с помощью Object.create()?","mos.ru","2025-03-12","interview_mos.ru_000"
"q11","Что будет выведено в консоль при выбрасывании ошибки внутри setTimeout в блоке try-catch и как исправить обработку ошибки, чтобы она была поймана?","mos.ru","2025-03-12","interview_mos.ru_000"
"q12","Что значит статический анализ кода?","mos.ru","2025-03-12","interview_mos.ru_000"
"q13","Что такое дженерики в программировании?","mos.ru","2025-03-12","interview_mos.ru_000"
"q14","Написать дженерик тип, который возвращает все ключи типа, переданного в него, используя keyof","mos.ru","2025-03-12","interview_mos.ru_000"
"q15","Какой будет вывод и как исправить код с использованием useState и setCounter при инкременте счетчика и выводе в консоль?","mos.ru","2025-03-12","interview_mos.ru_000"
"q16","Как происходит ререндер компонента в React (Component => Snapshot => View)?","mos.ru","2025-03-12","interview_mos.ru_000"
"q17","Как поставить фокус на заголовок после загрузки страницы с использованием useRef и useEffect в React?","mos.ru","2025-03-12","interview_mos.ru_000"
"q1","Расскажи что происходит после того как мы вбили ссылку на страницу и нажали enter (начиная с парсинга DOM)","mos.ru","2024-10-31","interview_mos.ru_001"
"q2","Расскажи подробно все этапы, как происходит обновление данных в Redux","mos.ru","2024-10-31","interview_mos.ru_001"
"q3","Как принудительно обновить React компонент","mos.ru","2024-10-31","interview_mos.ru_001"
"q4","Как работает z-index и какие есть крайние случаи (например, когда дочерний z-index 3, а родительский 1, дочерний все равно унаследует родительский 1)","mos.ru","2024-10-31","interview_mos.ru_001"
"q5","Расскажи главные различия html4 от html5 (семантика и accessibility)","mos.ru","2024-10-31","interview_mos.ru_001"
"q6","Стоит ли оборачивать всё приложение в useMemo и useCallback, и почему","mos.ru","2024-10-31","interview_mos.ru_001"
"q1","Напиши функцию getRanges, которая делит массив чисел на последовательные диапазоны и возвращает строку с диапазонами, например: [1,4,5,2,3,9,8,11,0] => '0-5,8-9,11'; [1,4,3,2] => '1-4'; [1,4] => '1,4'","mos.ru","2024-10-31","interview_mos.ru_001"
