"id","question_text","company","date","interview_id"
"q1","Расскажи про свой опыт 5–7 минут","VegaSoft","2025-07-07","interview_VegaSoft_000"
"q2","Что такое http/https","VegaSoft","2025-07-07","interview_VegaSoft_000"
"q3","Что такое REST API","VegaSoft","2025-07-07","interview_VegaSoft_000"
"q4","Чем отличаются get, post, put, patch, delete","VegaSoft","2025-07-07","interview_VegaSoft_000"
"q5","Какие ещё знаешь протоколы","VegaSoft","2025-07-07","interview_VegaSoft_000"
"q6","Расскажи про WebSocket","VegaSoft","2025-07-07","interview_VegaSoft_000"
"q7","Что такое CORS","VegaSoft","2025-07-07","interview_VegaSoft_000"
"q8","Что такое preflight-запросы, http метод OPTIONS","VegaSoft","2025-07-07","interview_VegaSoft_000"
"q9","Что такое критический путь рендера","VegaSoft","2025-07-07","interview_VegaSoft_000"
"q10","Объясни типы any, unknown, never, void в TypeScript","VegaSoft","2025-07-07","interview_VegaSoft_000"
"q11","Что такое тайпгарды в TypeScript","VegaSoft","2025-07-07","interview_VegaSoft_000"
"q12","Чем отличается тип от интерфейса в TypeScript","VegaSoft","2025-07-07","interview_VegaSoft_000"
"q13","Преимущества и недостатки React","VegaSoft","2025-07-07","interview_VegaSoft_000"
"q14","Объясни React.memo, useMemo, useCallback","VegaSoft","2025-07-07","interview_VegaSoft_000"
"q15","Написать debounce на JavaScript","VegaSoft","2025-07-07","interview_VegaSoft_000"
"q16","Реализовать функцию getTreeValues, которая принимает дерево с вложенными children и возвращает массив всех значений value в глубину","VegaSoft","2025-07-07","interview_VegaSoft_000"
"q17","Сделать так, чтобы при клике по пользователю в списке React подсвечивалась рамка выбранного пользователя, а у других пользователей подсветка пропадала","VegaSoft","2025-07-07","interview_VegaSoft_000"
"q18","Как оптимизировать подсветку выбранной карточки в списке React, если карточек очень много и подсветка занимает много времени","VegaSoft","2025-07-07","interview_VegaSoft_000"
