"id","question_text","company","date","interview_id"
"q1","Виды функций и их отличия","Enot io","2024-10-25","interview_Enot_io_000"
"q2","Ссылочные типы","Enot io","2024-10-25","interview_Enot_io_000"
"q3","Рекурсия","Enot io","2024-10-25","interview_Enot_io_000"
"q4","Асинхронность в js","Enot io","2024-10-25","interview_Enot_io_000"
"q5","Задача на асинхронность с console.log","Enot io","2024-10-25","interview_Enot_io_000"
"q6","Принципы ООП и SOLID","Enot io","2024-10-25","interview_Enot_io_000"
"q7","Сборщик мусора","Enot io","2024-10-25","interview_Enot_io_000"
"q8","Расскажи про React","Enot io","2024-10-25","interview_Enot_io_000"
"q9","Жизненный цикл компонента React","Enot io","2024-10-25","interview_Enot_io_000"
"q10","Хуки React","Enot io","2024-10-25","interview_Enot_io_000"
"q11","useEffect и useLayoutEffect","Enot io","2024-10-25","interview_Enot_io_000"
"q12","Проблема useLayoutEffect","Enot io","2024-10-25","interview_Enot_io_000"
"q13","useCallback и useMemo","Enot io","2024-10-25","interview_Enot_io_000"
"q14","HOC (Higher Order Components)","Enot io","2024-10-25","interview_Enot_io_000"
"q15","Context в React","Enot io","2024-10-25","interview_Enot_io_000"
"q16","Чем лучше state менеджеры в сравнении с context","Enot io","2024-10-25","interview_Enot_io_000"
"q17","База по TypeScript","Enot io","2024-10-25","interview_Enot_io_000"
"q18","Задачка на типизацию в TypeScript","Enot io","2024-10-25","interview_Enot_io_000"
"q1","Определите, могла ли заданная строка s, состоящая из латинских символов нижнего и верхнего регистра, получиться после некоторого количества операций вставки символа, при условии что очередной символ можно вставить только между любыми двумя одинаковыми символами, начиная с изначальной строки, состоящей из одинаковых символов","Enot io","2024-10-25","interview_Enot_io_000"
