"id","question_text","company","date","interview_id"
"q1","Как выводил зп из крипты? (p2p binance заблокировали с начала года, валидный ответ через обменники, либо через ton)","Армо-Системы","2024-10-25","interview_Армо-Системы_000"
"q2","Какой последний блокер был на дейли?","Армо-Системы","2024-10-25","interview_Армо-Системы_000"
"q3","Что делали на грумминге?","Армо-Системы","2024-10-25","interview_Армо-Системы_000"
"q4","Что делали на планирование?","Армо-Системы","2024-10-25","interview_Армо-Системы_000"
"q5","По какому принципу задачи попадали в спринт?","Армо-Системы","2024-10-25","interview_Армо-Системы_000"
"q6","Как происходила оценка задач?","Армо-Системы","2024-10-25","interview_Армо-Системы_000"
"q7","Как команда оценивала сколько задач можно загрузить в один спринт?","Армо-Системы","2024-10-25","interview_Армо-Системы_000"
"q8","Как ты оцениваешь задачу? Как оцениваешь задачу, которую никогда раньше не делал?","Армо-Системы","2024-10-25","interview_Армо-Системы_000"
"q9","Что делал, если возникла сложность по задаче?","Армо-Системы","2024-10-25","interview_Армо-Системы_000"
"q10","Где трекали задачи, где хранили код?","Армо-Системы","2024-10-25","interview_Армо-Системы_000"
"q11","Как принималось решение взять vite вместо webpack?","Армо-Системы","2024-10-25","interview_Армо-Системы_000"
"q12","Были ли конфликты или споры по code review?","Армо-Системы","2024-10-25","interview_Армо-Системы_000"
"q13","Опиши свой обычный рабочий день","Армо-Системы","2024-10-25","interview_Армо-Системы_000"
"q1","Почему лучше стоит использовать Map, например на 1000 объектов","Армо-Системы","2024-10-25","interview_Армо-Системы_001"
"q2","Что такое замыкание? Как оно работает?","Армо-Системы","2024-10-25","interview_Армо-Системы_001"
"q3","Где может использоваться замыкание в React","Армо-Системы","2024-10-25","interview_Армо-Системы_001"
"q4","Какие области видимости бывают в js?","Армо-Системы","2024-10-25","interview_Армо-Системы_001"
"q5","Расскажи про специфичность в css","Армо-Системы","2024-10-25","interview_Армо-Системы_001"
"q6","Почему не стоит использовать !important в css","Армо-Системы","2024-10-25","interview_Армо-Системы_001"
"q7","Какие виды position бывают","Армо-Системы","2024-10-25","interview_Армо-Системы_001"
"q8","Чем отличается flex от grid","Армо-Системы","2024-10-25","interview_Армо-Системы_001"
"q9","Разница между absolute, fixed и sticky","Армо-Системы","2024-10-25","interview_Армо-Системы_001"
"q10","Как позиционируется fixed, относительно чего","Армо-Системы","2024-10-25","interview_Армо-Системы_001"
"q11","Расскажи про жизненный цикл компонента","Армо-Системы","2024-10-25","interview_Армо-Системы_001"
"q12","Что провоцирует ререндер в React","Армо-Системы","2024-10-25","interview_Армо-Системы_001"
"q13","Как можем хранить данные к компоненте","Армо-Системы","2024-10-25","interview_Армо-Системы_001"
"q14","Расскажи про useReducer","Армо-Системы","2024-10-25","interview_Армо-Системы_001"
"q15","Расскажи про useContext","Армо-Системы","2024-10-25","interview_Армо-Системы_001"
"q1","Вывести массив уникальных значений из двух массивов: например, из [1,1,2,4,8,8] и [3,6,6,9]","Армо-Системы","2024-10-25","interview_Армо-Системы_001"
"q2","Объединить пересекающиеся интервалы в массиве интервалов так, чтобы пересекающиеся интервалы были объединены с минимальным и максимальным значениями, а непересекающиеся интервалы остались без изменений. Например, из [[1,3], [2,6], [8,10], [15,18]] получить [[1,6], [8,10], [15,18]]; из [[1,4], [4,5]] получить [[1,5]]","Армо-Системы","2024-10-25","interview_Армо-Системы_001"
