"id","question_text","company","date","interview_id"
"q1","Какие виды display знаешь","Boomerang","2025-05-23","interview_Boomerang_000"
"q2","Что такое display:inline-block","Boomerang","2025-05-23","interview_Boomerang_000"
"q3","Какие position бывают","Boomerang","2025-05-23","interview_Boomerang_000"
"q4","Чем отличается sticky от fixed","Boomerang","2025-05-23","interview_Boomerang_000"
"q5","Чем отличается type от interface","Boomerang","2025-05-23","interview_Boomerang_000"
"q6","Что такое generic","Boomerang","2025-05-23","interview_Boomerang_000"
"q7","Как сделать так, чтобы generic принимал объект, но чтобы у объекта было обязательно поле id (используя extends)","Boomerang","2025-05-23","interview_Boomerang_000"
"q8","Что такое type guard","Boomerang","2025-05-23","interview_Boomerang_000"
"q9","Что такое is","Boomerang","2025-05-23","interview_Boomerang_000"
"q10","Как сделать ключ в интерфейсе необязательным","Boomerang","2025-05-23","interview_Boomerang_000"
"q11","key: string | undefined и key?: string | undefined — это одно и то же","Boomerang","2025-05-23","interview_Boomerang_000"
"q12","Есть компонент с состоянием и вложенные компоненты, как получить в самом вложенном компоненте самый верхний стейт (про контекст и Redux)","Boomerang","2025-05-23","interview_Boomerang_000"
"q13","Для чего нужны useCallback и useMemo","Boomerang","2025-05-23","interview_Boomerang_000"
"q14","Какие есть способы получить HTML элемент (в том числе через ref с передачей колбэка)","Boomerang","2025-05-23","interview_Boomerang_000"
"q15","Какие есть способы перерендерить компонент","Boomerang","2025-05-23","interview_Boomerang_000"
"q16","Как с нуля сделать проект с 5 роутами, какой стек, архитектура и как будешь делать","Boomerang","2025-05-23","interview_Boomerang_000"
