"id","question_text","company","date","interview_id"
"q1","Расскажи о последнем проекте, чем занимался","Ай-Теко","2025-07-10","interview_Ай-Теко_000"
"q2","На чем был написан Бэк","Ай-Теко","2025-07-10","interview_Ай-Теко_000"
"q3","В чем разница между type и interface","Ай-Теко","2025-07-10","interview_Ай-Теко_000"
"q4","Расскажи про TypeGuard","Ай-Теко","2025-07-10","interview_Ай-Теко_000"
"q5","После выхода релиза в проекте и обновляется приложение, расскажи подробно пошагово как ты получаешь код от редактора и как он попадает в репозиторий","Ай-Теко","2025-07-10","interview_Ай-Теко_000"
"q6","Что такое коммит хуки","Ай-Теко","2025-07-10","interview_Ай-Теко_000"
"q7","Кто настраивал линтеры","Ай-Теко","2025-07-10","interview_Ай-Теко_000"
"q8","Как работает Хаски","Ай-Теко","2025-07-10","interview_Ай-Теко_000"
"q9","Расскажи про сборку бандла","Ай-Теко","2025-07-10","interview_Ай-Теко_000"
"q10","Какие бывают уровни оптимизации помимо тришэкинга","Ай-Теко","2025-07-10","interview_Ай-Теко_000"
"q11","Какая структура была в проекте (микрофронты, монорепо и т.п.)","Ай-Теко","2025-07-10","interview_Ай-Теко_000"
"q12","Принципы микрофронтов","Ай-Теко","2025-07-10","interview_Ай-Теко_000"
"q1","Напиши типизацию для функции getUserInfo(firstName, lastName, birthYear, country), которая возвращает строку с информацией о пользователе","Ай-Теко","2025-07-10","interview_Ай-Теко_000"
"q2","Сделай рефакторинг асинхронной функции fetchReq(q), которая делает fetch-запрос и возвращает JSON, а также исправь обработчик события keyup на элементе с id input","Ай-Теко","2025-07-10","interview_Ай-Теко_000"
"q3","Сделай рефакторинг интерфейсов Vanya, Masha и Volodya с разными типами для номера телефона и вложенной структурой","Ай-Теко","2025-07-10","interview_Ай-Теко_000"
"q1","вендорные префиксы","Ай-Теко","2025-04-07","interview_Ай-Теко_001"
"q2","satisfies в TypeScript","Ай-Теко","2025-04-07","interview_Ай-Теко_001"
"q3","Proxy и Reflect","Ай-Теко","2025-04-07","interview_Ай-Теко_001"
"q4","Event loop","Ай-Теко","2025-04-07","interview_Ай-Теко_001"
"q5","тег picture","Ай-Теко","2025-04-07","interview_Ай-Теко_001"
"q6","can i use","Ай-Теко","2025-04-07","interview_Ай-Теко_001"
"q7","web vitals (подробно)","Ай-Теко","2025-04-07","interview_Ай-Теко_001"
"q8","intersection observer","Ай-Теко","2025-04-07","interview_Ай-Теко_001"
"q9","Как оптимизировали приложения (gzip, React.lazy, code chunks, кэширование, useMemo, useCallback)","Ай-Теко","2025-04-07","interview_Ай-Теко_001"
"q10","useEffect и useLayoutEffect","Ай-Теко","2025-04-07","interview_Ай-Теко_001"
"q11","rem и em","Ай-Теко","2025-04-07","interview_Ай-Теко_001"
"q12","Уязвимости","Ай-Теко","2025-04-07","interview_Ай-Теко_001"
"q13","Разница между type и interface в TypeScript","Ай-Теко","2025-04-07","interview_Ай-Теко_001"
"q14","Реализовать метод scramble: написать полную реализацию функции scramble с параметрами внутри функции","Ай-Теко","2025-04-07","interview_Ай-Теко_001"
"q1","В чем сложность задачи по созданию тудулиста с добавлением и удалением элементов","Ай-Теко","2024-12-05","interview_Ай-Теко_002"
"q2","Какие способы оптимизации ты используешь","Ай-Теко","2024-12-05","interview_Ай-Теко_002"
"q3","Что такое Props в React","Ай-Теко","2024-12-05","interview_Ай-Теко_002"
"q4","Что такое Context в React","Ай-Теко","2024-12-05","interview_Ай-Теко_002"
"q5","Объясни событийный цикл (event-loop)","Ай-Теко","2024-12-05","interview_Ай-Теко_002"
"q6","Реализовать тудулист с возможностью добавления и удаления элементов","Ай-Теко","2024-12-05","interview_Ай-Теко_002"
"q7","Расскажи о своих сильных и слабых сторонах","Ай-Теко","2024-12-05","interview_Ай-Теко_002"
"q8","Опиши свой опыт работы и с чем хотел бы работать","Ай-Теко","2024-12-05","interview_Ай-Теко_002"
"q1","event-loop","Ай-Теко","2024-10-15","interview_Ай-Теко_003"
