"id","question_text","company","date","interview_id"
"q1","Готовы перейти на другой JS фреймворк?","Automated Communication Solutions","2025-06-03","interview_Automated_Communication_Solutions_000"
"q2","Какие задачи были за последний год и чем они отличались от задач других разработчиков?","Automated Communication Solutions","2025-06-03","interview_Automated_Communication_Solutions_000"
"q3","На сколько большой проект был на фронте: сколько было репозиторий на фронте?","Automated Communication Solutions","2025-06-03","interview_Automated_Communication_Solutions_000"
"q4","Какого рода были связи между репозиториями?","Automated Communication Solutions","2025-06-03","interview_Automated_Communication_Solutions_000"
"q5","Использовались ли какие-нибудь общие компоненты?","Automated Communication Solutions","2025-06-03","interview_Automated_Communication_Solutions_000"
"q6","На базе чего писали вёрстку?","Automated Communication Solutions","2025-06-03","interview_Automated_Communication_Solutions_000"
"q7","Почему на проекте использовали RTK а не другие решения, как thunk?","Automated Communication Solutions","2025-06-03","interview_Automated_Communication_Solutions_000"
"q8","Рассказать про сокет в проекте.","Automated Communication Solutions","2025-06-03","interview_Automated_Communication_Solutions_000"
"q9","Какие методы использовались чтобы не было утечек памяти?","Automated Communication Solutions","2025-06-03","interview_Automated_Communication_Solutions_000"
"q10","Какие приёмы оптимизации использовались на проекте?","Automated Communication Solutions","2025-06-03","interview_Automated_Communication_Solutions_000"
"q11","Сколько весил проект под конец билда?","Automated Communication Solutions","2025-06-03","interview_Automated_Communication_Solutions_000"
"q12","Были ли компоненты, которые использовали ленивую загрузку?","Automated Communication Solutions","2025-06-03","interview_Automated_Communication_Solutions_000"
"q13","С кем больше приходилось взаимодействовать в команде, помимо фронтендеров?","Automated Communication Solutions","2025-06-03","interview_Automated_Communication_Solutions_000"
"q14","Какие таски больше всего нравились, а какие меньше всего?","Automated Communication Solutions","2025-06-03","interview_Automated_Communication_Solutions_000"
"q15","Что означает i18n?","Automated Communication Solutions","2025-06-03","interview_Automated_Communication_Solutions_000"
"q16","Как у вас происходит ход мыслей, если стоит задача сделать визуально 5 сервисов одинаково, а вы представляете одну из 5 команд и у вас у всех визуально разный фронт?","Automated Communication Solutions","2025-06-03","interview_Automated_Communication_Solutions_000"
