"id","question_text","company","date","interview_id"
"q1","Какими задачами гордишься?","Альфа-Банк","2025-07-16","interview_Альфа-Банк_000"
"q2","Что не нравится в работе?","Альфа-Банк","2025-07-16","interview_Альфа-Банк_000"
"q3","Примитивные и ссылочные типы данных","Альфа-Банк","2025-07-16","interview_Альфа-Банк_000"
"q4","Сборщик мусора","Альфа-Банк","2025-07-16","interview_Альфа-Банк_000"
"q5","Мутирующие и не мутирующие методы массивов. Что лучше?","Альфа-Банк","2025-07-16","interview_Альфа-Банк_000"
"q6","this, стрелочные функции, классические функции","Альфа-Банк","2025-07-16","interview_Альфа-Банк_000"
"q7","Промисы","Альфа-Банк","2025-07-16","interview_Альфа-Банк_000"
"q8","EventLoop","Альфа-Банк","2025-07-16","interview_Альфа-Банк_000"
"q9","WebWorker","Альфа-Банк","2025-07-16","interview_Альфа-Банк_000"
"q10","Виртуализация списков","Альфа-Банк","2025-07-16","interview_Альфа-Банк_000"
"q11","Про React. Преимущества и недостатки","Альфа-Банк","2025-07-16","interview_Альфа-Банк_000"
"q12","JWT авторизация","Альфа-Банк","2025-07-16","interview_Альфа-Банк_000"
"q13","Про CORS","Альфа-Банк","2025-07-16","interview_Альфа-Банк_000"
"q14","Про куки","Альфа-Банк","2025-07-16","interview_Альфа-Банк_000"
"q15","Про Redux. Зачем весь этот бойлерплейт экшены/редюсеры, почему бы не сделать как в MobX? Мутировать поля напрямую, написав для этого нужную логику","Альфа-Банк","2025-07-16","interview_Альфа-Банк_000"
"q16","Как подходить к написанию UIkit?","Альфа-Банк","2025-07-16","interview_Альфа-Банк_000"
"q1","Реализовать типобезопасное множество Set<number>, в которое нельзя добавить значение типа string, чтобы при попытке добавления '42' как строки возникала ошибка компиляции","Альфа-Банк","2025-07-16","interview_Альфа-Банк_000"
"q2","Реализовать универсальную функцию toArray<T>, которая принимает значение типа T и возвращает массив из этого значения","Альфа-Банк","2025-07-16","interview_Альфа-Банк_000"
"q3","Определить типы Item и Props, где Item содержит id (string или number), name (string), date (string или Date), а Props содержит onClick функцию и массив данных Item, и создать объект с примером данных","Альфа-Банк","2025-07-16","interview_Альфа-Банк_000"
"q4","Реализовать React-хук useFirstRender, который возвращает true при первом рендере компонента и false при последующих","Альфа-Банк","2025-07-16","interview_Альфа-Банк_000"
"q5","Объяснить на псевдокоде реализацию фильтрации таблицы с фильтрами: селект для выбора города, инпут для имени, диапазон для зарплаты, а также реализацию пагинации, при этом все параметры подставляются в query и при изменении фильтров происходит сброс на первую страницу","Альфа-Банк","2025-07-16","interview_Альфа-Банк_000"
"q1","Мой опыт и интересные таски?","Альфа-Банк","2025-07-16","interview_Альфа-Банк_001"
"q2","Процессы на текущем месте?","Альфа-Банк","2025-07-16","interview_Альфа-Банк_001"
"q3","CI/CD, был ли опыт, настраивала ли самостоятельно? если нет, то кто занимался?","Альфа-Банк","2025-07-16","interview_Альфа-Банк_001"
"q4","Как и кто заводил таски в JIRA?","Альфа-Банк","2025-07-16","interview_Альфа-Банк_001"
"q5","Взаимодействие с командой?","Альфа-Банк","2025-07-16","interview_Альфа-Банк_001"
"q6","Немножко задали вопросов по моему проекту на текущей работе?","Альфа-Банк","2025-07-16","interview_Альфа-Банк_001"
"q7","Были ли конфликты, как решала?","Альфа-Банк","2025-07-16","interview_Альфа-Банк_001"
"q8","Предлагала ли свои какие-то решения? Допустим что-то внедрить на проект","Альфа-Банк","2025-07-16","interview_Альфа-Банк_001"
"q9","Был ли опыт с микрофронтами?","Альфа-Банк","2025-07-16","interview_Альфа-Банк_001"
"q10","Как вообще развиваюсь и развиваюсь ли? Что последнее я читала и изучала?","Альфа-Банк","2025-07-16","interview_Альфа-Банк_001"
"q11","Было ли такое, что были какие-то срочные таски, на которые надо переключиться было?","Альфа-Банк","2025-07-16","interview_Альфа-Банк_001"
"q12","Хобби и интересы?","Альфа-Банк","2025-07-16","interview_Альфа-Банк_001"
"q1","Причины перерисовки в React","Альфа-Банк","2025-07-14","interview_Альфа-Банк_002"
"q2","Когда нужно менять стейт через предыдущее состояние (например: setState(prev => prev + 1)), а когда можно сделать просто setState(state + 1)?","Альфа-Банк","2025-07-14","interview_Альфа-Банк_002"
"q3","Что такое батчинг в React?","Альфа-Банк","2025-07-14","interview_Альфа-Банк_002"
"q4","Что будет, если вызвать setState(state + 1) несколько раз подряд в одной функции? Опишите поведение батчинга","Альфа-Банк","2025-07-14","interview_Альфа-Банк_002"
"q5","В чем разница между контролируемыми и неконтролируемыми значениями у input в React?","Альфа-Банк","2025-07-14","interview_Альфа-Банк_002"
"q6","Опишите фазы событий в JavaScript: погружение, таргет фаза, всплытие","Альфа-Банк","2025-07-14","interview_Альфа-Банк_002"
"q7","Для чего нужны методы e.preventDefault(), e.stopPropagation(), e.stopImmediatePropagation() в обработчиках событий?","Альфа-Банк","2025-07-14","interview_Альфа-Банк_002"
"q8","Что такое кастомные хуки в React? Чем они отличаются от обычных функций и когда их нужно использовать?","Альфа-Банк","2025-07-14","interview_Альфа-Банк_002"
"q9","Что такое мемоизация и кеширование? Когда их нужно использовать, а когда нет?","Альфа-Банк","2025-07-14","interview_Альфа-Банк_002"
"q10","В каких случаях нужно использовать хук useCallback в React?","Альфа-Банк","2025-07-14","interview_Альфа-Банк_002"
"q11","Когда нужно использовать <React.Fragment></React.Fragment>, а когда достаточно фрагмента в виде <></> в React?","Альфа-Банк","2025-07-14","interview_Альфа-Банк_002"
"q12","Зачем нужны ключи (key) в React?","Альфа-Банк","2025-07-14","interview_Альфа-Банк_002"
"q13","Сколько аргументов принимает метод .map() в JavaScript и какие они?","Альфа-Банк","2025-07-14","interview_Альфа-Банк_002"
"q14","Как реализована мемоизация в React 19?","Альфа-Банк","2025-07-14","interview_Альфа-Банк_002"
"q15","Как реализована мемоизация в классовых компонентах React? (PureComponent)","Альфа-Банк","2025-07-14","interview_Альфа-Банк_002"
"q16","Можно ли назвать компонент в React с маленькой буквы? Что произойдет, если так сделать?","Альфа-Банк","2025-07-14","interview_Альфа-Банк_002"
"q17","Каково стандартное поведение формы при сабмите и как его отключить?","Альфа-Банк","2025-07-14","interview_Альфа-Банк_002"
"q1","Объяснить почему не работает счетчик в React-компоненте с переменной count и исправить код, используя useState и setState с функцией обновления","Альфа-Банк","2025-07-14","interview_Альфа-Банк_002"
"q2","Реализовать вывод значений контролируемого и неконтролируемого input в консоль при клике на форму, используя useState для контролируемого и useRef для неконтролируемого input","Альфа-Банк","2025-07-14","interview_Альфа-Банк_002"
"q3","Реализовать хук useFirstRender, который возвращает true при первом рендере компонента и false при последующих","Альфа-Банк","2025-07-14","interview_Альфа-Банк_002"
"q1","Чем отличается useDebounce от trottle","Альфа-Банк","2025-07-07","interview_Альфа-Банк_003"
"q2","Чем отличается flex от grid","Альфа-Банк","2025-07-07","interview_Альфа-Банк_003"
"q3","Если указали максимальный z-index, но он не отработал, почему?","Альфа-Банк","2025-07-07","interview_Альфа-Банк_003"
"q4","Способы оптимизации в вебе","Альфа-Банк","2025-07-07","interview_Альфа-Банк_003"
"q5","Как можно добиться того, чтобы не ждать загрузки шрифта (font-display: swap)","Альфа-Банк","2025-07-07","interview_Альфа-Банк_003"
"q6","Рассказать про critical render path","Альфа-Банк","2025-07-07","interview_Альфа-Банк_003"
"q7","Где мы можем подключить скрипт","Альфа-Банк","2025-07-07","interview_Альфа-Банк_003"
"q8","Как можно оптимизировать загрузку CSS","Альфа-Банк","2025-07-07","interview_Альфа-Банк_003"
"q9","Если у нас есть скрипт, который внутри себя еще подключает скрипты, куда и где его подключать","Альфа-Банк","2025-07-07","interview_Альфа-Банк_003"
"q10","Специфичность селекторов","Альфа-Банк","2025-07-07","interview_Альфа-Банк_003"
"q11","Какая специфичность у селектора *","Альфа-Банк","2025-07-07","interview_Альфа-Банк_003"
"q12","Разница между блочными и строчными элементами","Альфа-Банк","2025-07-07","interview_Альфа-Банк_003"
"q13","Как сделать так, чтобы элемент выводился слева или справа, а остальные элементы обтекали его (про свойство float)","Альфа-Банк","2025-07-07","interview_Альфа-Банк_003"
"q14","Разница между type и interface в TypeScript","Альфа-Банк","2025-07-07","interview_Альфа-Банк_003"
"q15","Что такое перегрузка функции","Альфа-Банк","2025-07-07","interview_Альфа-Банк_003"
"q16","Какие utility types знаешь","Альфа-Банк","2025-07-07","interview_Альфа-Банк_003"
"q1","Типизировать объект S с ключами строкового типа и значениями с ролью пользователя, а также написать функцию, которая возвращает объект, где ключами являются роли, а значениями — массивы ключей исходного объекта, сгруппированные по ролям","Альфа-Банк","2025-07-07","interview_Альфа-Банк_003"
"q2","Написать полифил для метода Array.prototype.reduce, реализующий его логику с поддержкой начального значения","Альфа-Банк","2025-07-07","interview_Альфа-Банк_003"
"q1","Как оптимизировали таблицы?","Альфа-Банк","2025-07-04","interview_Альфа-Банк_004"
"q2","Где хранили данные?","Альфа-Банк","2025-07-04","interview_Альфа-Банк_004"
"q3","Как работали с SSE и Websocket?","Альфа-Банк","2025-07-04","interview_Альфа-Банк_004"
"q4","В чем отличия SSE и Websocket?","Альфа-Банк","2025-07-04","interview_Альфа-Банк_004"
"q5","Как избежать ререндеров в React?","Альфа-Банк","2025-07-04","interview_Альфа-Банк_004"
"q6","Как оптимизировать ререндеры в React?","Альфа-Банк","2025-07-04","interview_Альфа-Банк_004"
