"id","question_text","company","date","interview_id"
"q1","Виды хранилищ и их отличия (localStorage, sessionStorage, cookie, IndexedDB)","Facct","2025-03-16","interview_Facct_000"
"q2","Как удалить cookie?","Facct","2025-03-16","interview_Facct_000"
"q3","Как не блокировать рендер при тяжелых операциях?","Facct","2025-03-16","interview_Facct_000"
"q4","Виды веб-воркеров и их отличия, ограничения, недостатки","Facct","2025-03-16","interview_Facct_000"
"q5","Почему у веб-воркеров нет доступа к DOM?","Facct","2025-03-16","interview_Facct_000"
"q6","Как веб-воркеры общаются с приложением? Какие есть ограничения на передачу данных?","Facct","2025-03-16","interview_Facct_000"
"q7","Как общаться между двумя приложениями на одной странице без сети?","Facct","2025-03-16","interview_Facct_000"
"q8","Как отслеживать изменения в обновляющемся списке DOM?","Facct","2025-03-16","interview_Facct_000"
"q9","Расскажи как работает и что возвращают MutationObserver и setInterval","Facct","2025-03-16","interview_Facct_000"
"q10","Есть ли гарантия, что setInterval выполнится ровно через delay?","Facct","2025-03-16","interview_Facct_000"
"q11","Как часто выполняется requestAnimationFrame? Сравнение requestAnimationFrame и setInterval","Facct","2025-03-16","interview_Facct_000"
"q12","Расскажи про requestIdleCallback. Будет ли вызываться requestIdleCallback, если браузер не будет простаивать?","Facct","2025-03-16","interview_Facct_000"
"q13","Статические поля класса и чем отличаются от обычных, привести примеры","Facct","2025-03-16","interview_Facct_000"
"q14","Как запретить изменения объекта в JS и TS?","Facct","2025-03-16","interview_Facct_000"
"q15","Как работает Object.freeze под капотом? Как без использования Object.freeze можно запретить изменения объекта в JS?","Facct","2025-03-16","interview_Facct_000"
"q16","Какие бывают дескрипторы?","Facct","2025-03-16","interview_Facct_000"
"q17","Что такое Proxy?","Facct","2025-03-16","interview_Facct_000"
"q18","Как и кем выполняется JS в браузере?","Facct","2025-03-16","interview_Facct_000"
"q19","Как работает сборщик мусора?","Facct","2025-03-16","interview_Facct_000"
"q20","У нас есть рекурсивная функция, будет ли она удалена сборщиком мусора, если внутри этой функции она вызывает саму себя?","Facct","2025-03-16","interview_Facct_000"
"q21","Какую проблему решают стейт менеджеры? Зачем нам стейт-менеджеры если мы можем использовать контекст в React?","Facct","2025-03-16","interview_Facct_000"
"q22","Для чего отделять логику от UI?","Facct","2025-03-16","interview_Facct_000"
"q23","Почему нам удобнее тестировать компонент, когда мы отделили логику от UI?","Facct","2025-03-16","interview_Facct_000"
"q24","Как реализовано кеширование в RTK Query?","Facct","2025-03-16","interview_Facct_000"
"q25","Как мы можем сами реализовать кеширование без использования RTK Query?","Facct","2025-03-16","interview_Facct_000"
"q26","Чем плох подход, когда мы храним результаты выполнения функции в кеше по ключам? Приведи пример с инвалидированием кеша и проблемами при этом.","Facct","2025-03-16","interview_Facct_000"
"q27","Реализуйте класс Dispatcher с типизацией TypeScript, который поддерживает методы on(event: EventType, callback: EventCallback), trigger(event: EventType) и off(event: EventType, callback: EventCallback) для управления событиями с типами EventType = 'event_one' | 'event_two' и EventCallback = () => void","Facct","2025-03-16","interview_Facct_000"
