"id","question_text","company","date","interview_id"
"q1","Расскажи интересную задачу","Гиксорс","2025-05-29","interview_Гиксорс_000"
"q2","Как выстроены процессы?","Гиксорс","2025-05-29","interview_Гиксорс_000"
"q3","Твой факап","Гиксорс","2025-05-29","interview_Гиксорс_000"
"q4","Как реализовывал фильтрацию и виртуализацию в таблице?","Гиксорс","2025-05-29","interview_Гиксорс_000"
"q5","Как оценивали задачи?","Гиксорс","2025-05-29","interview_Гиксорс_000"
"q6","Используешь ИИ в работе?","Гиксорс","2025-05-29","interview_Гиксорс_000"
"q7","Сможешь быть Техлидом?","Гиксорс","2025-05-29","interview_Гиксорс_000"
"q1","Объясните типы данных в JavaScript","Гиксорс","2025-05-23","interview_Гиксорс_001"
"q2","Что такое замыкание в JavaScript","Гиксорс","2025-05-23","interview_Гиксорс_001"
"q3","Объясните контекст выполнения (this) в JavaScript","Гиксорс","2025-05-23","interview_Гиксорс_001"
"q4","Что такое всплытие и погружение событий в DOM","Гиксорс","2025-05-23","interview_Гиксорс_001"
"q5","Объясните особенности стрелочных функций в JavaScript","Гиксорс","2025-05-23","interview_Гиксорс_001"
"q6","Чем отличаются var, let и const","Гиксорс","2025-05-23","interview_Гиксорс_001"
"q7","Объясните разницу между props, context и state manager в React","Гиксорс","2025-05-23","interview_Гиксорс_001"
"q8","Как оптимизировать React-приложение","Гиксорс","2025-05-23","interview_Гиксорс_001"
"q9","Что такое генераторы в JavaScript и как их использовать","Гиксорс","2025-05-23","interview_Гиксорс_001"
"q10","Чем лучше пользоваться в React: state или context","Гиксорс","2025-05-23","interview_Гиксорс_001"
"q11","Объясните основные принципы ООП и другие парадигмы программирования","Гиксорс","2025-05-23","interview_Гиксорс_001"
"q12","Что выведет код: var a1 = 4; var a2 = new Number(4); console.log(a1 == a2); console.log(a1 === a2);","Гиксорс","2025-05-23","interview_Гиксорс_001"
"q13","Что выведет код: var s1 = ''; var s2 = ''; var s3 = new String(''); var s4 = new String(''); console.log(s1 == s2); console.log(s1 === s2); console.log(s1 == s3); console.log(s1 === s3); console.log(s3 == s4); console.log(s3 === s4);","Гиксорс","2025-05-23","interview_Гиксорс_001"
"q14","Что выведет следующий код и почему: var a = { b: function() { console.log(this); } }; a.b(); var b = a.b; b();","Гиксорс","2025-05-23","interview_Гиксорс_001"
"q15","Напишите функцию sum, которая поддерживает вызов вида sum(1)(2)(3)() и возвращает сумму всех переданных чисел","Гиксорс","2025-05-23","interview_Гиксорс_001"
"q16","Что выведет следующий код и как исправить проблему с замыканием в цикле: for (var i = 0; i < 5; i++) { (function(num){ setTimeout(function() { console.log(num); }, 0); })(i); }","Гиксорс","2025-05-23","interview_Гиксорс_001"
"q17","Напишите функцию addClickListener, которая добавляет обработчик клика на ссылку с id 'mlink', выводит alert и предотвращает переход по ссылке с помощью event.preventDefault()","Гиксорс","2025-05-23","interview_Гиксорс_001"
