"id","question_text","company","date","interview_id"
"q1","В чем разница между обычными функциями и стрелочными функциями в JavaScript?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q2","Что выведет следующий код и как решить проблему с this в методе next объекта counter: const counter = { value: 0, next() { this.value++; console.log(this.value); } }","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q3","Объясните работу методов bind, call и apply в JavaScript","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q4","Почему рекурсивная функция foo(n) { return n > 3 ? foo(n-1) + foo(n-4) : 1; } при вызове foo(10) работает нормально, а при foo(1000) зависает, и как это исправить?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q5","В чем разница между методами preventDefault и stopPropagation в обработчиках событий?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q6","Есть список с элементами, у каждого элемента есть кнопка 'Ещё', при нажатии на кнопку появляется меню. У списка и у кнопки есть обработчики клика, при этом у кнопки стоит stopPropagation. Нужно отправлять аналитику о кликах по списку, но кнопка 'Ещё' не отправляет событие клика. Как решить эту задачу?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q7","Как удалить элемент из массива по индексу и как удалить элемент по значению?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q8","Как быстро вставить элемент в отсортированный массив чисел?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q9","Как отловить JavaScript ошибки на странице без использования try-catch и error boundary?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q10","В чем разница между throw 'message' и throw new Error('message') в JavaScript?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q11","Что делать, если при открытии своего продукта в офисе разработчика появляется белый экран?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q12","Если на белом экране видны значения a undefined и b undefined, что это может означать и как действовать?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q13","Произошла проблема в продакшене: пользователи видели белый экран в течение 30 минут. Кто виноват и что делать по итогам такой проблемы?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q14","В чем проблема следующего кода и как ее исправить? window.addEventListener('scroll', () => { const el = document.querySelector('#navbar'); const {top} = el.getBoundingClientRect(); el.style.top = top <= 0 ? '0px' : 'auto'; el.style.position = top <= 0 ? 'fixed' : 'static'; });","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q15","Какие инструменты по отладке использовать при возникновении странного бага с непонятным происхождением?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q16","Для чего используется ServiceWorker?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q17","Какие виды синхронного кода существуют в JavaScript, включая промисы и await?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q18","Как отменить выполнение fetch запроса?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q19","Почему в третьем промисе мы видим 'Third Error' и как объяснить поведение промисов в данном коде с ошибками?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q20","Что использовать для получения информации в реальном времени: LongPolling, MiddlePolling или ShortPolling?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q21","Как отцентровать div на странице?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q22","Что должно быть в описании задачи, чтобы считать её готовой к тому, чтобы взять в работу?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q23","Если задача кажется готовой, но в процессе работы выясняется, что компонент не подходит по дизайну и сроки не укладываются, что делать?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q24","Что такое Virtual DOM?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q25","Если изменить opacity элементу, что будет происходить со страницей?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q26","В чем разница между библиотекой и фреймворком, как выбирать что использовать, и почему React считается библиотекой?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q27","Что такое стейт менеджер?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q28","Что такое props drilling, useContext и state manager, в чем проблема useContext и что лучше использовать?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q29","Как происходит перехват ошибок в React?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q30","Какие инструменты профилирования ошибок используются в React?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q31","Как определить, что проект запущен в iframe, и что сделать, чтобы запретить запуск в iframe или выйти из него?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q32","Как вставить произвольную строку в HTML, не боясь XSS-уязвимостей?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q33","Что делать, если в своем проекте обнаружил XSS-уязвимость?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q34","Тебе доверили написать библиотеку компонентов для проекта с несколькими участниками. Что нужно сделать для организации совместной работы и какие практики и инструменты использовать?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
"q35","Какие тесты ты бы добавил в библиотеку компонентов?","Vk Workspace","2025-04-30","interview_Vk_Workspace_000"
