"id","question_text","company","date","interview_id"
"q1","Расскажи за опыт","Sl Soft","2024-10-31","interview_Sl_Soft_000"
"q2","Расскажи про интересные задачи которые приходилось делать","Sl Soft","2024-10-31","interview_Sl_Soft_000"
"q3","Почему меняешь место работы","Sl Soft","2024-10-31","interview_Sl_Soft_000"
"q4","ES6: какие штуки привнес, про spread и rest","Sl Soft","2024-10-31","interview_Sl_Soft_000"
"q5","Что такое DOM","Sl Soft","2024-10-31","interview_Sl_Soft_000"
"q6","Для чего нужен Redux","Sl Soft","2024-10-31","interview_Sl_Soft_000"
"q7","Опиши флоу Redux","Sl Soft","2024-10-31","interview_Sl_Soft_000"
"q8","Какие хуки из Redux используешь","Sl Soft","2024-10-31","interview_Sl_Soft_000"
"q9","Как реализована асинхронность в JS (колбэки, промисы, event loop)","Sl Soft","2024-10-31","interview_Sl_Soft_000"
"q10","Что такое Promise.all и как он работает","Sl Soft","2024-10-31","interview_Sl_Soft_000"
"q11","Какие хранилища есть в браузере","Sl Soft","2024-10-31","interview_Sl_Soft_000"
"q12","Как React взаимодействует с DOM","Sl Soft","2024-10-31","interview_Sl_Soft_000"
"q13","useEffect: зачем нужен, рассказывай все что знаешь","Sl Soft","2024-10-31","interview_Sl_Soft_000"
"q14","useState: зачем нужен, что можем передать в качестве аргумента","Sl Soft","2024-10-31","interview_Sl_Soft_000"
"q15","Как реализована авторизация на проекте","Sl Soft","2024-10-31","interview_Sl_Soft_000"
"q16","Был ли опыт настройки проекта (линтеры, сборщики, выбор архитектуры и т.д.)","Sl Soft","2024-10-31","interview_Sl_Soft_000"
