"id","question_text","company","date","interview_id"
"q1","Реализуйте функцию runOnce, которая принимает функцию и возвращает новую функцию, которая при первом вызове вызывает исходную функцию, а при последующих вызовах возвращает undefined","Smart","2025-05-12","interview_Smart_000"
"q2","Что выйдет в консоль при выполнении данного кода (см. прикрепленные картинки)","Smart","2025-05-12","interview_Smart_000"
"q3","Реализуйте метод Array.prototype.groupBy, который группирует элементы массива по ключу, вычисляемому переданной функцией, и возвращает объект с массивами сгруппированных элементов","Smart","2025-05-12","interview_Smart_000"
"q1","Написать компонент счетчика","Smart","2025-02-23","interview_Smart_001"
"q2","Расширить функцию memoizeOne так, чтобы она корректно мемоизировала вызовы функции sum с разными аргументами и не вызывала исходную функцию повторно при одинаковых аргументах","Smart","2025-02-23","interview_Smart_001"
"q1","20 минутный разговор об опыте и чем занимался (devops, технологии, стейты, кибербезопасность, как было устроено тестирование, нужно ли оно и т.д.)","Smart","2025-02-05","interview_Smart_002"
"q2","Задача на создание обычного Counter компонента с двумя кнопками (+ и -) с нуля, избавиться от лишних рендеров, объяснить почему в strictMode происходит 2 рендера","Smart","2025-02-05","interview_Smart_002"
"q3","Что будет если мы сделаем в стейте prev++","Smart","2025-02-05","interview_Smart_002"
"q4","Что такое мемоизация, как она работает","Smart","2025-02-05","interview_Smart_002"
"q5","В чем разница между кэшем и мемоизацией","Smart","2025-02-05","interview_Smart_002"
"q6","Задача на мемоизацию: реализовать функцию memoizeOne, которая кэширует результат вызова функции по аргументам, при этом оптимизировать хранение кэша, чтобы не хранить избыточные значения","Smart","2025-02-05","interview_Smart_002"
"q1","Расскажи еще раз о себе кратко","Smart","2025-01-30","interview_Smart_003"
"q2","Чем увлекаешься помимо работы","Smart","2025-01-30","interview_Smart_003"
"q3","Лыжи или сноуборд","Smart","2025-01-30","interview_Smart_003"
"q4","Какие плюсы и минусы работы в команде и в одиночку","Smart","2025-01-30","interview_Smart_003"
"q5","Кем видишь себя через год","Smart","2025-01-30","interview_Smart_003"
