"id","question_text","company","date","interview_id"
"q1","Что такое redux, отличие от context, плюсы и минусы","X-Keeper","2024-06-04","interview_X-Keeper_000"
"q2","Что такое react, в чем плюсы","X-Keeper","2024-06-04","interview_X-Keeper_000"
"q3","Какая архитектура программирования тебе известна","X-Keeper","2024-06-04","interview_X-Keeper_000"
"q4","Если у пользователя проблемы с отображением страницы (долго грузит и т.д.), что бы делал и как искал проблему","X-Keeper","2024-06-04","interview_X-Keeper_000"
"q5","Объясни event loop, микро- и макротаски. Где макротаски ждут своего выполнения","X-Keeper","2024-06-04","interview_X-Keeper_000"
"q6","Что происходит, когда вводишь в адресную строку браузера адрес и нажимаешь enter","X-Keeper","2024-06-04","interview_X-Keeper_000"
"q7","Какое тестирование применяли на проектах","X-Keeper","2024-06-04","interview_X-Keeper_000"
"q8","Умеешь ли работать с докером и аналогами, можешь ли самостоятельно настроить","X-Keeper","2024-06-04","interview_X-Keeper_000"
"q9","Для чего нужна мемоизация? Нужно ли все оборачивать в мемо? Какие варианты оптимизации знаешь","X-Keeper","2024-06-04","interview_X-Keeper_000"
"q10","У нас есть загрузка большого объема данных, и когда пытаемся его загрузить, все ломается, что будешь делать","X-Keeper","2024-06-04","interview_X-Keeper_000"
"q11","Знаешь ли алгоритмическую сложность","X-Keeper","2024-06-04","interview_X-Keeper_000"
"q12","Настраивал ли CI/CD","X-Keeper","2024-06-04","interview_X-Keeper_000"
