"id","question_text","company","date","interview_id"
"q1","Как сделать синхронную операцию в js","Darinsoft","2024-11-06","interview_Darinsoft_000"
"q2","Отличия promiseAll, promiseAllSettled, promiseAny","Darinsoft","2024-11-06","interview_Darinsoft_000"
"q3","Отличия TypeScript от JavaScript (плюсы и минусы)","Darinsoft","2024-11-06","interview_Darinsoft_000"
"q4","Что такое хуки в React","Darinsoft","2024-11-06","interview_Darinsoft_000"
"q5","Отличия useEffect от useLayoutEffect","Darinsoft","2024-11-06","interview_Darinsoft_000"
"q6","Приведи кейс, где применял useLayoutEffect","Darinsoft","2024-11-06","interview_Darinsoft_000"
"q7","Опиши жизненный цикл компонента в React","Darinsoft","2024-11-06","interview_Darinsoft_000"
"q8","Что такое Virtual DOM","Darinsoft","2024-11-06","interview_Darinsoft_000"
"q9","Что такое Reconciliation в React","Darinsoft","2024-11-06","interview_Darinsoft_000"
"q10","Что такое Fiber в React","Darinsoft","2024-11-06","interview_Darinsoft_000"
"q11","Как оптимизировать input в React","Darinsoft","2024-11-06","interview_Darinsoft_000"
"q12","Что такое react.memo и как его использовать","Darinsoft","2024-11-06","interview_Darinsoft_000"
"q13","Расскажи про архитектуру FCD","Darinsoft","2024-11-06","interview_Darinsoft_000"
"q14","Есть код, написанный джуном, в котором лагает приложение; опиши, как ты будешь оптимизировать этот код и какие шаги предпримешь","Darinsoft","2024-11-06","interview_Darinsoft_000"
