"id","question_text","company","date","interview_id"
"q1","Какие правила у REST?","Дарвин","2024-10-18","interview_Дарвин_000"
"q2","Какие обновления вышли в TypeScript, если знаешь?","Дарвин","2024-10-18","interview_Дарвин_000"
"q3","Плюсы и минусы TypeScript","Дарвин","2024-10-18","interview_Дарвин_000"
"q4","Сравнение Vite и Webpack","Дарвин","2024-10-18","interview_Дарвин_000"
"q5","Подробно про FSD: из чего состоит, какое разделение помимо слоев","Дарвин","2024-10-18","interview_Дарвин_000"
"q6","Что такое БЭМ?","Дарвин","2024-10-18","interview_Дарвин_000"
"q7","Что такое Public API и зачем он нужен?","Дарвин","2024-10-18","interview_Дарвин_000"
"q8","Как избежать коллизий имен в CSS?","Дарвин","2024-10-18","interview_Дарвин_000"
"q9","Что такое CSS in JS?","Дарвин","2024-10-18","interview_Дарвин_000"
"q10","Что такое Virtual DOM?","Дарвин","2024-10-18","interview_Дарвин_000"
"q11","Что такое Fiber?","Дарвин","2024-10-18","interview_Дарвин_000"
"q12","Что такое Reconciliation?","Дарвин","2024-10-18","interview_Дарвин_000"
"q13","Что такое useEffect, какие варианты поведения у него, если не укажем или укажем массив зависимостей?","Дарвин","2024-10-18","interview_Дарвин_000"
"q14","Чем отличается useEffect от useLayoutEffect?","Дарвин","2024-10-18","interview_Дарвин_000"
"q15","Что такое иммутабельность и с чем работает React?","Дарвин","2024-10-18","interview_Дарвин_000"
"q16","Что такое useRef?","Дарвин","2024-10-18","interview_Дарвин_000"
"q17","Для чего в RTK Query используется invalidatesTags?","Дарвин","2024-10-18","interview_Дарвин_000"
"q18","Какие минусы у Context?","Дарвин","2024-10-18","interview_Дарвин_000"
"q19","Что такое useSyncExternalStore?","Дарвин","2024-10-18","interview_Дарвин_000"
