"id","question_text","company","date","interview_id"
"q1","Объясните, что делает данный код и что бы вы в нём поправили","MinervaSOFT","2025-04-21","interview_MinervaSOFT_000"
"q1","Что такое event-loop","MinervaSOFT","2025-04-07","interview_MinervaSOFT_001"
"q2","Что такое замыкания","MinervaSOFT","2025-04-07","interview_MinervaSOFT_001"
"q3","Реализуйте функцию debounce с настраиваемой задержкой","MinervaSOFT","2025-04-07","interview_MinervaSOFT_001"
"q4","Promise задача: определить что выводится в консоль при обработке асинхронного кода","MinervaSOFT","2025-04-07","interview_MinervaSOFT_001"
"q5","Задача на замыкание: написать функцию runOnce которая выполняется только один раз","MinervaSOFT","2025-04-07","interview_MinervaSOFT_001"
"q1","Рассказать про опыт","MinervaSOFT","2024-11-24","interview_MinervaSOFT_002"
"q2","Какой результат у выражения 2 == '2' и 2 === '2'?","MinervaSOFT","2024-11-24","interview_MinervaSOFT_002"
"q3","Какая разница между display: none и visibility: hidden?","MinervaSOFT","2024-11-24","interview_MinervaSOFT_002"
"q4","Чем отличается useEffect без указания массива зависимостей от useEffect с пустым массивом зависимостей?","MinervaSOFT","2024-11-24","interview_MinervaSOFT_002"
"q1","Какой твой продукт мечты, над каким бы хотел работать","MinervaSOFT","2024-10-22","interview_MinervaSOFT_003"
"q2","С чем точно не хочется работать?","MinervaSOFT","2024-10-22","interview_MinervaSOFT_003"
"q3","Как ты попал во фронтенд и почему это тебя заинтересовало?","MinervaSOFT","2024-10-22","interview_MinervaSOFT_003"
"q4","Какие ценности в компании для тебя важны?","MinervaSOFT","2024-10-22","interview_MinervaSOFT_003"
"q5","Как ты оцениваешь время выполнения задач?","MinervaSOFT","2024-10-22","interview_MinervaSOFT_003"
"q6","Что ты сделаешь, если есть беспокойство, что не успеешь до конца спринта в пятницу допилить фичу: сообщишь в четверг на дейлики или только в пятницу?","MinervaSOFT","2024-10-22","interview_MinervaSOFT_003"
"q7","По какому принципу вы планируете задачи в спринт?","MinervaSOFT","2024-10-22","interview_MinervaSOFT_003"
"q8","Когда оканчивается твоя зона ответственности над задачей?","MinervaSOFT","2024-10-22","interview_MinervaSOFT_003"
"q9","Что ты делаешь, когда отправил задачу на тестирование: берешь сразу новую или ждешь тестирования старой?","MinervaSOFT","2024-10-22","interview_MinervaSOFT_003"
"q10","Если берешь новую задачу, а старую возвращают на доработку, переключаешься на старую?","MinervaSOFT","2024-10-22","interview_MinervaSOFT_003"
"q11","В компании много задач, над которыми работают одновременно несколько человек?","MinervaSOFT","2024-10-22","interview_MinervaSOFT_003"
"q1","Вопрос про ссылочные типы","MinervaSOFT","2024-10-20","interview_MinervaSOFT_004"
"q2","Как отцентровать блок в css","MinervaSOFT","2024-10-20","interview_MinervaSOFT_004"
"q3","Чем отличаются стрелочные функции от function declaration","MinervaSOFT","2024-10-20","interview_MinervaSOFT_004"
"q4","Порталы в React","MinervaSOFT","2024-10-20","interview_MinervaSOFT_004"
"q5","Рассказать про архитектуру flux (redux)","MinervaSOFT","2024-10-20","interview_MinervaSOFT_004"
"q1","event-loop","MinervaSOFT","2024-10-01","interview_MinervaSOFT_005"
