"id","question_text","company","date","interview_id"
"q1","Что будет выведено в консоль при выполнении функции hoist и последующих console.log(a) и console.log(b)?","RTSoft","2025-06-06","interview_RTSoft_000"
"q2","Определите порядок вывода чисел в консоли при выполнении кода с setTimeout, Promise, queueMicrotask и console.log","RTSoft","2025-06-06","interview_RTSoft_000"
"q3","Объясните вывод консоли при цепочке Promise.resolve(1).then(...).then(...).catch(...).then(...).catch(...).then(...)","RTSoft","2025-06-06","interview_RTSoft_000"
"q4","В чем разница между методами Promise.all и Promise.allSettled?","RTSoft","2025-06-06","interview_RTSoft_000"
"q5","Что происходит после введения URL в адресную строку браузера?","RTSoft","2025-06-06","interview_RTSoft_000"
"q6","Перечислите все способы оптимизации веб-приложения","RTSoft","2025-06-06","interview_RTSoft_000"
"q7","Какие существуют ограничения у WebWorkers?","RTSoft","2025-06-06","interview_RTSoft_000"
"q8","Расскажите про объект Proxy в JavaScript","RTSoft","2025-06-06","interview_RTSoft_000"
"q9","В чем разница между циклами for...in и for...of?","RTSoft","2025-06-06","interview_RTSoft_000"
"q10","В чем отличие interface от type в TypeScript?","RTSoft","2025-06-06","interview_RTSoft_000"
"q11","В чем разница между Utility types Pick, Omit и Exclude в TypeScript?","RTSoft","2025-06-06","interview_RTSoft_000"
"q12","Перечислите все типы TypeGuards в TypeScript","RTSoft","2025-06-06","interview_RTSoft_000"
"q13","Как извлечь тип, который возвращает функция, используя ReturnType в TypeScript?","RTSoft","2025-06-06","interview_RTSoft_000"
"q14","Рефакторинг React-кода с использованием хуков useEffect, useState, useMemo и типизацией через интерфейсы Product, Shop, TimerProps, ShopsItemsProps","RTSoft","2025-06-06","interview_RTSoft_000"
