"id","question_text","company","date","interview_id"
"q1","О себе","Иннотех","2025-03-14","interview_Иннотех_000"
"q2","Бизнес блок и команда разработки - сколько человек было","Иннотех","2025-03-14","interview_Иннотех_000"
"q3","Как ставились задачи","Иннотех","2025-03-14","interview_Иннотех_000"
"q4","Как осуществлялось долговременное планирование","Иннотех","2025-03-14","interview_Иннотех_000"
"q5","Планирование задач","Иннотех","2025-03-14","interview_Иннотех_000"
"q6","Как велась документация","Иннотех","2025-03-14","interview_Иннотех_000"
"q7","Причина поиска работы","Иннотех","2025-03-14","interview_Иннотех_000"
"q1","Расскажи о своем опыте?","Иннотех","2025-02-17","interview_Иннотех_001"
"q2","Какие хуки React знаешь?","Иннотех","2025-02-17","interview_Иннотех_001"
"q3","Что такое Module Federation?","Иннотех","2025-02-17","interview_Иннотех_001"
"q4","Реализуй функцию createCounter(start, type, step), которая создаёт счетчик и возвращает функцию для последовательного изменения значения. Параметры: start (целое число, по умолчанию 0) — начальное значение счетчика; type (строка, по умолчанию '+') — математическая операция ('+', '-', '*', '/'); step (целое число, по умолчанию 1) — величина изменения счетчика. Функция должна возвращать новую функцию, которая при каждом вызове изменяет start в соответствии с заданной операцией type и значением step, поддерживать операции сложения, вычитания, умножения и деления, и генерировать ошибку при передаче некорректного оператора.","Иннотех","2025-02-17","interview_Иннотех_001"
"q5","Напиши функцию getPaths(items), которая принимает древовидный список объектов с полями value (строка) и children (массив дочерних узлов или null) и возвращает массив всех возможных путей от корневых узлов до листьев, где каждый путь представлен строкой с узлами, соединёнными символом ' -> '","Иннотех","2025-02-17","interview_Иннотех_001"
"q1","Какие хуки реакта знаешь?","Иннотех","2025-02-11","interview_Иннотех_002"
"q2","Какие утилитарные типы в TypeScript ты знаешь и что они делают?","Иннотех","2025-02-11","interview_Иннотех_002"
"q3","С какими сборщиками работал? Webpack или Vite?","Иннотех","2025-02-11","interview_Иннотех_002"
"q4","Какую проблему решают сборщики?","Иннотех","2025-02-11","interview_Иннотех_002"
"q5","Module Federation это встроенный в Webpack функционал?","Иннотех","2025-02-11","interview_Иннотех_002"
"q1","Создать кастомный компонент Tree на React, который отображает данные из различных объектов с соблюдением иерархии, полностью типизировать компонент с использованием generic типов в TypeScript","Иннотех","2025-02-11","interview_Иннотех_002"
"q2","Найти варианты сброса состояния компонента при нажатии на кнопку Next player в React, реализовать переключение между двумя счетчиками с сохранением и сбросом состояния","Иннотех","2025-02-11","interview_Иннотех_002"
"q3","Типизировать функцию fn в TypeScript так, чтобы на вход она принимала объект data и функцию getValue, а возвращаемый тип был ограничен ключами объекта data","Иннотех","2025-02-11","interview_Иннотех_002"
"q4","Рассмотреть архитектурное решение задачи реализации кнопки для выгрузки отчета (excel, pdf) в интерфейсе, учитывая, что время формирования отчета и его размер неизвестны, предложить варианты решения с использованием webworkers, LongPolling или WebSockets","Иннотех","2025-02-11","interview_Иннотех_002"
"q1","Расскажите про свой опыт, какие проекты, какой флоу","Иннотех","2025-01-22","interview_Иннотех_003"
"q2","Потренируйтесь решать задачи на кастомные хуки, учитывая что на проекте много самописных хуков","Иннотех","2025-01-22","interview_Иннотех_003"
"q3","Реализуйте функцию debounce, которая принимает функцию и задержку, и возвращает новую функцию с дебаунсом вызова исходной функции","Иннотех","2025-01-22","interview_Иннотех_003"
"q4","Реализуйте кастомный React-хук usePrevValue, который хранит и возвращает предыдущее значение переданного параметра","Иннотех","2025-01-22","interview_Иннотех_003"
"q5","Реализуйте компонент React с состоянием счетчика, который использует usePrevValue для отображения предыдущего значения и логирует текущее значение с дебаунсом 300 мс","Иннотех","2025-01-22","interview_Иннотех_003"
"q1","Что выведется в консоль при монтировании и повторном ререндере компонентов Component1, Component2 и Component3 с использованием useEffect и useLayoutEffect в React?","Иннотех","2025-01-18","interview_Иннотех_004"
"q2","В каком порядке будет исполнен код в функции main, которая вызывает func3, func2 и func1 с использованием Promise, setTimeout и тяжелой синхронной функции slowFunc?","Иннотех","2025-01-18","interview_Иннотех_004"
"q3","Объяснить последние 2 принципа SOLID","Иннотех","2025-01-18","interview_Иннотех_004"
"q4","Как работает event loop в JavaScript?","Иннотех","2025-01-18","interview_Иннотех_004"
"q5","Что такое портал в React и как происходит взаимодействие с виртуальным DOM?","Иннотех","2025-01-18","interview_Иннотех_004"
"q1","Что такое event-loop","Иннотех","2024-12-20","interview_Иннотех_005"
"q2","Что такое замыкания","Иннотех","2024-12-20","interview_Иннотех_005"
"q1","Расскажите про методы промисов","Иннотех","2024-11-28","interview_Иннотех_006"
"q2","Объясните, как работают функции-генераторы","Иннотех","2024-11-28","interview_Иннотех_006"
"q3","Как избежать утечек памяти в JavaScript","Иннотех","2024-11-28","interview_Иннотех_006"
"q4","Напишите тип для функции с одним дженериком: если дженерик является строкой, тип представляет функцию с любым количеством параметров, возвращающую эту строку; для любого другого типа дженерика — функцию с одним числовым параметром, которая возвращает число","Иннотех","2024-11-28","interview_Иннотех_006"
"q5","Объясните, как работает условный тип inferArrayVal, который извлекает тип элементов массива","Иннотех","2024-11-28","interview_Иннотех_006"
