"id","question_text","company","date","interview_id"
"q1","Рассказать про задачи какие делал","Altenar","2025-07-11","interview_Altenar_000"
"q2","Какие стейтменеджеры использовал?","Altenar","2025-07-11","interview_Altenar_000"
"q3","Что такое Context в React?","Altenar","2025-07-11","interview_Altenar_000"
"q4","Есть два стора в Redux как их объединить?","Altenar","2025-07-11","interview_Altenar_000"
"q5","Зачем нужен тип never? В чем отличие от void?","Altenar","2025-07-11","interview_Altenar_000"
"q6","Что такое оптимистический ответ на фронте?","Altenar","2025-07-11","interview_Altenar_000"
"q1","Где сейчас проживаете?","Altenar","2025-07-08","interview_Altenar_001"
"q2","Какие хобби?","Altenar","2025-07-08","interview_Altenar_001"
"q3","Как будете выбирать оффер из нескольких?","Altenar","2025-07-08","interview_Altenar_001"
"q4","Представьте что условия в оффере одинаковые, компании одинаковые, собес прошёл везде отлично. Как будете выбирать?","Altenar","2025-07-08","interview_Altenar_001"
"q5","Собираетесь ли переезжать?","Altenar","2025-07-08","interview_Altenar_001"
"q6","Как относитесь к посещению офиса 2 раза в неделю?","Altenar","2025-07-08","interview_Altenar_001"
"q7","Как вы оцените свой уровень как разработчика? Почему не сеньор?","Altenar","2025-07-08","interview_Altenar_001"
"q8","Как развиваетесь в свободное время?","Altenar","2025-07-08","interview_Altenar_001"
"q1","Как для тебя выглядит налаженный процесс постановки задачи?","Altenar","2025-07-08","interview_Altenar_002"
"q2","Как была построена работа с аналитиками и дизайнерами?","Altenar","2025-07-08","interview_Altenar_002"
"q3","Бывало такое что что-то шло не так в коммуникации, что-то не учли где-то?","Altenar","2025-07-08","interview_Altenar_002"
"q4","Работал с zustand или valtio?","Altenar","2025-07-08","interview_Altenar_002"
"q5","Почему именно эти библиотеки были выбраны при решении задачи?","Altenar","2025-07-08","interview_Altenar_002"
"q6","Расскажи как у вас был построен процесс внедрения новых библиотек, кто принимал решение за их внедрение?","Altenar","2025-07-08","interview_Altenar_002"
"q7","Расскажи про свой самый большой факап на работе?","Altenar","2025-07-08","interview_Altenar_002"
"q8","Что в свободное время делаешь?","Altenar","2025-07-08","interview_Altenar_002"
"q9","Как относишься к мату?","Altenar","2025-07-08","interview_Altenar_002"
"q10","Какой лучший мем по твоему мнению на данный момент?","Altenar","2025-07-08","interview_Altenar_002"
"q1","Как распределялись задачи на спринт?","Altenar","2025-06-28","interview_Altenar_003"
"q2","Как внутри команды договаривались о внедрении новой технологии или библиотеки?","Altenar","2025-06-28","interview_Altenar_003"
"q3","Были ли моменты, когда твоё решение или решение команды по внедрению технологий не нравилось, и как это решали?","Altenar","2025-06-28","interview_Altenar_003"
"q4","Какой у тебя был уровень в команде?","Altenar","2025-06-28","interview_Altenar_003"
"q5","Какие есть подходы управления состоянием в React и в каких случаях лучше использовать каждый из них?","Altenar","2025-06-28","interview_Altenar_003"
"q6","Чем отличается концепция Redux и MobX?","Altenar","2025-06-28","interview_Altenar_003"
"q7","Как бы ты организовывал работу с большим стором в React с использованием слайсов?","Altenar","2025-06-28","interview_Altenar_003"
"q8","Как работают слайсы в Redux и могут ли они общаться друг с другом?","Altenar","2025-06-28","interview_Altenar_003"
"q9","Можем ли мы как-то передать информацию между слайсами в Redux?","Altenar","2025-06-28","interview_Altenar_003"
"q10","Как создать несколько инстансов одного Redux стора, чтобы изолировать их, например, засунуть в контекст?","Altenar","2025-06-28","interview_Altenar_003"
"q11","Рефакторинг React-приложения с использованием TypeScript","Altenar","2025-06-28","interview_Altenar_003"
