"id","question_text","company","date","interview_id"
"q1","Что такое event loop","Рунити","2025-02-27","interview_Рунити_000"
"q2","Всплытие/Погружение, stopPropagation, stopImmidiatePropagation","Рунити","2025-02-27","interview_Рунити_000"
"q3","Map, WerMap, Set, WeakSet","Рунити","2025-02-27","interview_Рунити_000"
"q4","Promise.all, Promise.allSettled","Рунити","2025-02-27","interview_Рунити_000"
"q5","Что происходит после ввода адреса в поисковик","Рунити","2025-02-27","interview_Рунити_000"
"q6","Для чего нужны async и defer у скриптов","Рунити","2025-02-27","interview_Рунити_000"
"q7","Мемоизация в React","Рунити","2025-02-27","interview_Рунити_000"
"q8","Классовые компоненты в React: жизненный цикл и методы","Рунити","2025-02-27","interview_Рунити_000"
"q9","useLayoutEffect, useEffect, forwardRef в React","Рунити","2025-02-27","interview_Рунити_000"
"q10","Рассказать про reconciliation в React","Рунити","2025-02-27","interview_Рунити_000"
"q11","В каком порядке отработают console.log при нажатии на кнопку в React-компоненте с useState и useEffect, и какой будет state в console.log","Рунити","2025-02-27","interview_Рунити_000"
"q12","Что выведет в консоль следующий код с объектом и методами getFullname, вызовами через call и bind","Рунити","2025-02-27","interview_Рунити_000"
"q13","В каком порядке отработают console.log в следующем коде с setTimeout, Promise и console.log","Рунити","2025-02-27","interview_Рунити_000"
"q1","Реализовать React-компонент TaskList, который отображает список задач с возможностью фильтрации по статусу (Все, Выполненные, Не выполненные) и поиском по названию, для выполненных задач задавать класс 'completed'","Рунити","2025-02-27","interview_Рунити_000"
"q2","Реализовать функцию getAllPrimitives, которая принимает вложенный объект и возвращает массив всех примитивных значений из всех уровней вложенности","Рунити","2025-02-27","interview_Рунити_000"
