"id","question_text","company","date","interview_id"
"q1","Расскажи про свой опыт и проекты","Сравни","2025-07-16","interview_Сравни_000"
"q2","Как работает EventLoop?","Сравни","2025-07-16","interview_Сравни_000"
"q3","Что такое промис, для чего нужен, также расскажи про async/await?","Сравни","2025-07-16","interview_Сравни_000"
"q4","Что такое контекст, когда он теряется?","Сравни","2025-07-16","interview_Сравни_000"
"q5","В чем отличие function declaration от стрелочных функций?","Сравни","2025-07-16","interview_Сравни_000"
"q6","Тайпскрипт, расскажи про ютилити тайпы какие знаешь?","Сравни","2025-07-16","interview_Сравни_000"
"q7","Что нам дает Реакт?","Сравни","2025-07-16","interview_Сравни_000"
"q8","Почему Реакт это библиотека, а Ангуляр и Вью фреймворки?","Сравни","2025-07-16","interview_Сравни_000"
"q9","Что такое Virtual DOM, для чего нужен?","Сравни","2025-07-16","interview_Сравни_000"
"q10","Что такое хуки, какие у них правила есть?","Сравни","2025-07-16","interview_Сравни_000"
"q11","Чем useEffect отличается от useLayoutEffect?","Сравни","2025-07-16","interview_Сравни_000"
"q12","Какими хуками пользовался?","Сравни","2025-07-16","interview_Сравни_000"
"q13","Какие кастомные хуки писал?","Сравни","2025-07-16","interview_Сравни_000"
"q14","Какими UI библиотеками пользовался?","Сравни","2025-07-16","interview_Сравни_000"
"q15","С какими стейт-менеджарми работал?","Сравни","2025-07-16","interview_Сравни_000"
"q16","Знаком ли с Ангуляром?","Сравни","2025-07-16","interview_Сравни_000"
"q17","Что такое RxJs и что он нам позволяет делать?","Сравни","2025-07-16","interview_Сравни_000"
"q18","Сравни RxJs с промисами","Сравни","2025-07-16","interview_Сравни_000"
"q1","git pull vs git push","Сравни","2024-07-16","interview_Сравни_001"
"q2","git merge vs git rebase","Сравни","2024-07-16","interview_Сравни_001"
"q3","FSD","Сравни","2024-07-16","interview_Сравни_001"
"q4","Какие ограничения есть у get-запроса?","Сравни","2024-07-16","interview_Сравни_001"
"q5","Generic в Typescript","Сравни","2024-07-16","interview_Сравни_001"
"q6","Какие utility-types знаешь?","Сравни","2024-07-16","interview_Сравни_001"
"q7","Как проверить переменную на NaN?","Сравни","2024-07-16","interview_Сравни_001"
"q8","Как из строки \\1.1a\\"" достать число?""","Сравни","2024-07-16","interview_Сравни_001"
"q9","Зачем нужен useEffect?","Сравни","2024-07-16","interview_Сравни_001"
"q1","Что такое event-loop","Сравни","2024-05-27","interview_Сравни_002"
"q2","Что такое замыкания","Сравни","2024-05-27","interview_Сравни_002"
"q3","Реализуйте функцию debounce с настраиваемой задержкой","Сравни","2024-05-27","interview_Сравни_002"
"q4","Реализуйте функцию getRoute, которая принимает массив путей и возвращает конечный маршрут","Сравни","2024-05-27","interview_Сравни_002"
"q5","Реализуйте функцию parallelLimit, которая выполняет несколько асинхронных задач с ограничением по количеству параллельных вызовов","Сравни","2024-05-27","interview_Сравни_002"
"q6","Promise задача: определить что выводится в консоль при обработке асинхронного кода","Сравни","2024-05-27","interview_Сравни_002"
