"id","question_text","company","date","interview_id"
"q1","Расскажи о своем опыте? Какой стек используешь?","Тензор","2025-04-15","interview_Тензор_000"
"q2","Почему уходишь с работы?","Тензор","2025-04-15","interview_Тензор_000"
"q3","Есть задача: есть скролл, пользователь скроллит - как сделать так, чтобы при перезагрузке страницы пользователь оказался на том же месте?","Тензор","2025-04-15","interview_Тензор_000"
"q4","Если бэкенд будет отправлять данные чанками, в каком виде будешь согласовывать данные чанка с бэкенд-разработчиком и как будешь решать задачу сохранения позиции скролла при перезагрузке?","Тензор","2025-04-15","interview_Тензор_000"
"q5","Есть список данных - как сделать так, что при изменении списка одним пользователем измененные данные отображались для всех других пользователей?","Тензор","2025-04-15","interview_Тензор_000"
"q6","Как сделать так, чтобы дополнительные данные для статистики подгружались только один раз при условии, что у пользователя открыто несколько вкладок, а список данных обновляется через websocket?","Тензор","2025-04-15","interview_Тензор_000"
"q7","Какие принципы ООП?","Тензор","2025-04-15","interview_Тензор_000"
"q8","На примере двух классов раскрой каждый принцип ООП","Тензор","2025-04-15","interview_Тензор_000"
"q9","Какие есть модификаторы в классах? Почему они нужны и какие принципы ООП они реализуют?","Тензор","2025-04-15","interview_Тензор_000"
"q10","Что в целом является Interface в парадигме ООП?","Тензор","2025-04-15","interview_Тензор_000"
"q11","Какие конкретно примеры применения interface в TypeScript можешь рассказать? Почему именно он введен в TS и что он дает относительно ООП?","Тензор","2025-04-15","interview_Тензор_000"
"q12","В чем отличие interface и type в TypeScript? Почему ввели interface, если можно всё делать с type?","Тензор","2025-04-15","interview_Тензор_000"
