"id","question_text","company","date","interview_id"
"q1","Что конкретно ты сделал на проекте?","Рокет-Тех","2024-06-11","interview_Рокет-Тех_000"
"q2","Как работал с тех-долгом?","Рокет-Тех","2024-06-11","interview_Рокет-Тех_000"
"q3","По какой системе версий работал?","Рокет-Тех","2024-06-11","interview_Рокет-Тех_000"
"q4","Делал кастомные компоненты? Какие?","Рокет-Тех","2024-06-11","interview_Рокет-Тех_000"
"q5","Какие стейт менеджеры знаешь?","Рокет-Тех","2024-06-11","interview_Рокет-Тех_000"
"q6","Расскажи про FSD архитектуру","Рокет-Тех","2024-06-11","interview_Рокет-Тех_000"
"q7","Вопрос про подгружение/всплытие/таргет","Рокет-Тех","2024-06-11","interview_Рокет-Тех_000"
"q8","Динамическая/статическая типизация","Рокет-Тех","2024-06-11","interview_Рокет-Тех_000"
"q9","Что такое VDOM?","Рокет-Тех","2024-06-11","interview_Рокет-Тех_000"
"q10","Какие хуки знаешь?","Рокет-Тех","2024-06-11","interview_Рокет-Тех_000"
"q11","Что знаешь про классовые компоненты?","Рокет-Тех","2024-06-11","interview_Рокет-Тех_000"
"q12","Как оптимизировать приложения, как понять что ты оптимизировал, какие метрики использовал?","Рокет-Тех","2024-06-11","interview_Рокет-Тех_000"
"q13","Методы защиты от XSS","Рокет-Тех","2024-06-11","interview_Рокет-Тех_000"
"q14","Плюсы SSR","Рокет-Тех","2024-06-11","interview_Рокет-Тех_000"
"q15","Что такое CI/CD","Рокет-Тех","2024-06-11","interview_Рокет-Тех_000"
