"id","question_text","company","date","interview_id"
"q1","event-loop","Бюро 1440","2025-06-18","interview_Бюро_1440_000"
"q2","Что такое замыкания","Бюро 1440","2025-06-18","interview_Бюро_1440_000"
"q1","Реализуйте функцию toObject, которая преобразует строку с точками, например 'value1.value2.value3.value4.value5', в вложенный объект вида {value1: {value2: {value3: {value4: {value5: {}}}}}}","Бюро 1440","2025-06-11","interview_Бюро_1440_001"
"q2","Реализуйте функцию shortenArr, которая принимает массив точек для графика с полями time и value и возвращает массив, содержащий только первую и последнюю точки каждой серии с одинаковым значением value, чтобы уменьшить количество точек для отрисовки","Бюро 1440","2025-06-11","interview_Бюро_1440_001"
"q3","Проанализируйте React-компонент CommentEditor и укажите проблемные места в коде, объясните почему они являются проблемными","Бюро 1440","2025-06-11","interview_Бюро_1440_001"
"q4","Проанализируйте React-компонент Comments и укажите проблемные места в коде, объясните почему они являются проблемными","Бюро 1440","2025-06-11","interview_Бюро_1440_001"
"q1","Как организовать отображение большой таблицы с учетом пагинации, бесконечного скролла, виртуализации и кеширования, какие подходы и библиотеки можно использовать?","Бюро 1440","2025-06-06","interview_Бюро_1440_002"
"q1","Что выведется в консоль при выполнении функции push, которая добавляет элементы в массив и выводит результат метода push и сам массив","Бюро 1440","2025-03-13","interview_Бюро_1440_003"
"q2","Что выведется в консоль при объединении объектов obj1 и obj2 с помощью spread-оператора","Бюро 1440","2025-03-13","interview_Бюро_1440_003"
"q3","Что выведется в консоль при деструктуризации объекта person с вложенным объектом adress и попытке вывести name, city и adress","Бюро 1440","2025-03-13","interview_Бюро_1440_003"
"q4","Какой будет итоговый стейт после последовательных вызовов setCount(count + 1) три раза подряд в React useState","Бюро 1440","2025-03-13","interview_Бюро_1440_003"
"q5","Что вызывает ререндер компонента в React","Бюро 1440","2025-03-13","interview_Бюро_1440_003"
"q6","Как работает useMemo() в React и какую задачу он решает","Бюро 1440","2025-03-13","interview_Бюро_1440_003"
"q7","Сделать интерфейс для кнопки по макету из Figma","Бюро 1440","2025-03-13","interview_Бюро_1440_003"
"q8","Какие утилитарные типы TypeScript вы знаете (например, Partial, Required)","Бюро 1440","2025-03-13","interview_Бюро_1440_003"
"q9","Что выведется в консоль при выполнении цикла for с var и setTimeout, выводящем значение i через 1 секунду","Бюро 1440","2025-03-13","interview_Бюро_1440_003"
"q10","Что выведется в консоль при выполнении цикла for с let и setTimeout, выводящем значение i через 1 секунду","Бюро 1440","2025-03-13","interview_Бюро_1440_003"
"q11","В чем разница между setTimeout() и window.setTimeout()","Бюро 1440","2025-03-13","interview_Бюро_1440_003"
"q12","Чем forEach отличается от for","Бюро 1440","2025-03-13","interview_Бюро_1440_003"
"q13","Что такое useLayoutEffect в React и каковы его минусы","Бюро 1440","2025-03-13","interview_Бюро_1440_003"
"q14","Как работает обновление стейта в React, если несколько раз вызвать setState(3)","Бюро 1440","2025-03-13","interview_Бюро_1440_003"
"q15","Как работает обновление стейта в React, если несколько раз вызвать setState({c: 3})","Бюро 1440","2025-03-13","interview_Бюро_1440_003"
"q16","Как работает следующий код с useRef и useEffect, где по клику на кнопку увеличивается count.current и выводится в консоль","Бюро 1440","2025-03-13","interview_Бюро_1440_003"
"q17","Написать функцию adjustForAntimeridian, которая корректирует координаты линии, чтобы правильно отрисовать линию через 180-й меридиан, учитывая разницу долгот соседних точек","Бюро 1440","2025-03-13","interview_Бюро_1440_003"
"q1","Чем занимался?","Бюро 1440","2025-03-12","interview_Бюро_1440_004"
"q2","Расскажи почему в поиске новой работы?","Бюро 1440","2025-03-12","interview_Бюро_1440_004"
"q3","Какую ролевую модель у себя использовали?","Бюро 1440","2025-03-12","interview_Бюро_1440_004"
"q4","Отличия Rudux от Mobx","Бюро 1440","2025-03-12","interview_Бюро_1440_004"
"q5","Как ты работал с таблицами (пагинация)?","Бюро 1440","2025-03-12","interview_Бюро_1440_004"
"q6","React-dnd, что это такое и как ты это использовал?","Бюро 1440","2025-03-12","interview_Бюро_1440_004"
"q7","Как ты работал с графиками?","Бюро 1440","2025-03-12","interview_Бюро_1440_004"
"q8","Как отрисовать график (svg, canvas)?","Бюро 1440","2025-03-12","interview_Бюро_1440_004"
"q9","Как лучше работать с графиком (svg, canvas)?","Бюро 1440","2025-03-12","interview_Бюро_1440_004"
"q1","Что выведет консоль в задаче с debounce?","Бюро 1440","2024-11-25","interview_Бюро_1440_005"
"q2","Реализуйте замену значений ключей в объекте и объясните, что выведет консоль","Бюро 1440","2024-11-25","interview_Бюро_1440_005"
"q3","В React-счетчике реализуйте запоминание предыдущего значения","Бюро 1440","2024-11-25","interview_Бюро_1440_005"
"q4","Как передать значение от дочернего компонента к родительскому в React?","Бюро 1440","2024-11-25","interview_Бюро_1440_005"
"q5","Типизируйте кнопки по макету из Figma, напишите интерфейс и задайте значения по умолчанию","Бюро 1440","2024-11-25","interview_Бюро_1440_005"
"q6","Задача на цикл for с setTimeout и различиями между var и let","Бюро 1440","2024-11-25","interview_Бюро_1440_005"
"q7","Объясните, что выведет счетчик с условиями и почему","Бюро 1440","2024-11-25","interview_Бюро_1440_005"
"q8","Объясните поведение React-счетчика с объектом в состоянии, когда происходит ререндер, но значение не изменяется","Бюро 1440","2024-11-25","interview_Бюро_1440_005"
"q9","Реализуйте React-компоненты Parent и Child, где Parent принимает value, обновляет состояние currentValue при изменении value, и Child отправляет данные родителю через callback","Бюро 1440","2024-11-25","interview_Бюро_1440_005"
