"id","question_text","company","date","interview_id"
"q1","что для меня значит 'хороший руоводитель'?","Jsa-Group","2024-12-11","interview_Jsa-Group_000"
"q2","критично ли для меня сейчас выполнять именно функции лида?","Jsa-Group","2024-12-11","interview_Jsa-Group_000"
"q3","я хочу сейчас долгий или краткосрочный проект?","Jsa-Group","2024-12-11","interview_Jsa-Group_000"
"q4","как занимаюсь самообразованием?","Jsa-Group","2024-12-11","interview_Jsa-Group_000"
"q5","сколько работал лидом, какие функции выполнял?","Jsa-Group","2024-12-11","interview_Jsa-Group_000"
"q6","работал ли по скраму?","Jsa-Group","2024-12-11","interview_Jsa-Group_000"
"q7","примеры, где я проявлял инициативу","Jsa-Group","2024-12-11","interview_Jsa-Group_000"
"q8","Какие хуки есть в React и для чего они нужны?","Jsa-Group","2024-12-11","interview_Jsa-Group_000"
"q9","Зачем нужны стейт менеджеры, если есть контекст?","Jsa-Group","2024-12-11","interview_Jsa-Group_000"
"q10","Как работает React, что такое reconcillation, зачем нужны ключи?","Jsa-Group","2024-12-11","interview_Jsa-Group_000"
"q11","Что будет, если поменяется key в React?","Jsa-Group","2024-12-11","interview_Jsa-Group_000"
"q12","Какими инструментами отладки пользуюсь?","Jsa-Group","2024-12-11","interview_Jsa-Group_000"
"q13","Как имитировать медленную работу интернета в инструментах разработчика?","Jsa-Group","2024-12-11","interview_Jsa-Group_000"
"q14","Как использовать брейкпойнты в DOM дереве?","Jsa-Group","2024-12-11","interview_Jsa-Group_000"
"q15","Как отслеживать утечки памяти?","Jsa-Group","2024-12-11","interview_Jsa-Group_000"
"q16","Как работают замыкания и к чему они могут привести в функциональных компонентах?","Jsa-Group","2024-12-11","interview_Jsa-Group_000"
"q17","Что такое промисы, что такое async/await и как они работают?","Jsa-Group","2024-12-11","interview_Jsa-Group_000"
"q18","Рассказать про event loop","Jsa-Group","2024-12-11","interview_Jsa-Group_000"
"q19","Перечислить как можно больше способов создания асинхронного кода","Jsa-Group","2024-12-11","interview_Jsa-Group_000"
"q20","Как создать отдельный поток?","Jsa-Group","2024-12-11","interview_Jsa-Group_000"
"q21","Что такое мемоизация?","Jsa-Group","2024-12-11","interview_Jsa-Group_000"
"q1","Чемпионат по шагам: определить userIds участников, которые прошли наибольшее количество шагов за все дни, не пропустив ни одного дня соревнований, и вернуть объект с userIds и суммарным количеством шагов","Jsa-Group","2024-12-11","interview_Jsa-Group_000"
