"id","question_text","company","date","interview_id"
"q1","Про опыт","Evercode Lab","2025-07-11","interview_Evercode_Lab_000"
"q2","Расскажите про интересную задачу, с которой вы сталкивались","Evercode Lab","2025-07-11","interview_Evercode_Lab_000"
"q3","Расскажите про факап и какие выводы вы из него сделали","Evercode Lab","2025-07-11","interview_Evercode_Lab_000"
"q4","Каких задач вы ждёте и что для вас развитие","Evercode Lab","2025-07-11","interview_Evercode_Lab_000"
"q5","Какие могут быть проблемы с вебсокетом? Когда вебсокет нужен, а когда не очень?","Evercode Lab","2025-07-11","interview_Evercode_Lab_000"
"q6","Как вы решаете конфликтные ситуации?","Evercode Lab","2025-07-11","interview_Evercode_Lab_000"
"q7","Если тимлид не прав, а вы правы, как вы продвинете своё решение, чтобы прод не упал в итоге?","Evercode Lab","2025-07-11","interview_Evercode_Lab_000"
"q8","Если в спринте несколько задач одинакового приоритета, в каком порядке вы будете их делать и почему?","Evercode Lab","2025-07-11","interview_Evercode_Lab_000"
"q9","Клиент зарегистрировался, попал на главную, перешёл в личный кабинет, который грузится 30 секунд. Что с этим делать?","Evercode Lab","2025-07-11","interview_Evercode_Lab_000"
"q10","На какой грейд себя оцениваете?","Evercode Lab","2025-07-11","interview_Evercode_Lab_000"
"q11","Какой оффер выберете, если получите два с одинаковыми условиями, учитывая, что у одной компании только офис и они сильно переживают по этому поводу?","Evercode Lab","2025-07-11","interview_Evercode_Lab_000"
