"id","question_text","company","date","interview_id"
"q1","Какие типы данных есть в JS","Bitronics Lab","2025-02-26","interview_Bitronics_Lab_000"
"q2","Чем отличается number от bigInt в JavaScript","Bitronics Lab","2025-02-26","interview_Bitronics_Lab_000"
"q3","Приведи пример использования замыкания","Bitronics Lab","2025-02-26","interview_Bitronics_Lab_000"
"q4","Объясни механизм сравнения VDOM с DOM и какая сложность алгоритма","Bitronics Lab","2025-02-26","interview_Bitronics_Lab_000"
"q5","Что такое Promise и какие у него методы","Bitronics Lab","2025-02-26","interview_Bitronics_Lab_000"
"q6","Что такое Event Loop","Bitronics Lab","2025-02-26","interview_Bitronics_Lab_000"
"q7","Задача на Event Loop: определить порядок вывода символов 'А', 'F', 'D', 'E', 'B', 'C' с учетом синхронного кода, Promise microtask, queueMicrotask, setTimeout и ответа от axios.get","Bitronics Lab","2025-02-26","interview_Bitronics_Lab_000"
"q8","Какие коды ошибок знаешь и как с ними борешься","Bitronics Lab","2025-02-26","interview_Bitronics_Lab_000"
"q9","Где хранили JWT","Bitronics Lab","2025-02-26","interview_Bitronics_Lab_000"
"q10","В чем разница между аутентификацией и авторизацией","Bitronics Lab","2025-02-26","interview_Bitronics_Lab_000"
"q11","Что такое OAuth","Bitronics Lab","2025-02-26","interview_Bitronics_Lab_000"
"q12","Что такое перегрузка функции в TypeScript","Bitronics Lab","2025-02-26","interview_Bitronics_Lab_000"
"q13","Что делает оператор keyof в TypeScript","Bitronics Lab","2025-02-26","interview_Bitronics_Lab_000"
"q14","В чем разница между Redux и Redux Toolkit","Bitronics Lab","2025-02-26","interview_Bitronics_Lab_000"
"q1","Реализовать счетчик с кнопками стоп, старт и рестарт","Bitronics Lab","2025-02-26","interview_Bitronics_Lab_000"
"q1","Как пообщался, было комфортно или нет","Bitronics Lab","2025-02-25","interview_Bitronics_Lab_001"
"q2","Какие у тебя планы и чем хочешь заниматься","Bitronics Lab","2025-02-25","interview_Bitronics_Lab_001"
