id,date,text,from_id,from_username,reply_to_msg_id,topic_id
156064,2025-07-08T15:00:35+00:00,"Компания: Спортс (Sports.ru) 
Ссылка на ваку: сам написал hr
Вилка: хз (назвал 250-300, сказали в вилке все норм)

1. вопросы по опыту
2. грейд разработчиков в команде?
3. как код ревью проходит?
4. если уйдешь с проекта как думаешь что станет работать хуже?
5. представь что есть три открытые вкладки (потом вкладка на пк и тф) перечисли способы общения между ними?
6. как разделяли зону ответственности на проектах?
7. как по загруженности на проектах?
8. с чем бы не хотел работать?
9. что хотел бы поднатоскать/изучить?
10. мы пишем на Vue тебе норм, как к такому относишься?

Задачи как здесь - https://t.me/c/2071074234/489/138602",698642054,theibd56,489,489
155637,2025-07-08T12:04:47+00:00,"Zero Agency(только офис пока, но потом мб будет гибрид или удаленка)
Вначале он рассказывает о своих проектах, потом ты о своих
Потом решение задачи:
```
function getCurrentSeatLimit(currentHour) {
// Настройки акции
const startHour = 12; // Акция начинается в 12:00
const endHour = 20; // Акция заканчивается в 20:00
const totalSeats = 100; // Общее количество мест
// Акция еще не началась
if (currentHour < startHour) {
return totalSeats;
}
// Акция уже закончилась
if (currentHour >= endHour) {
return 0;
}

// Прогресс акции от 0 (начало) до 1 (конец)
const currentPromotionProgress = (currentHour - startHour) / (endHour
- startHour);
return Math.floor(totalSeats * (1 - Math.pow(currentPromotionProgress,
2)));```
Только надо учесть, что в отвече ты получишь число проданных , тебе еще надо будет от всего вычесть это число
Потом будут вопросы:
1. Чем увлекаешься
2. Комфорт зп
3. как свободное время проводишь
4. Сможешь ли ты перехать и когда готов",1744576554,daniilFront,489,489
155634,2025-07-08T11:57:26+00:00,"- Лига Цифровой Экономики (на проекта Сбера)
- HR написала
- до 180к на руки

HR: 
- Поверхностно про опыт
- Причины увольнения
- Ожидания по ЗП (вилка до 175к-180к)

2 недели назначали собес. Собес душный

Техсобес:
- Webpack Module Federation:
1. Для чего нужен
2. Какой подход реализовывает
3. Название файла 🙊
4. Чем полезен
5. Почему именно федерации
6. Как подключаются
- WebSocket:
1. Что такое
2. Для чего
3. Какой тип данных передается
4. Какой будет быстрее и оптимизированнее
- React:
Сразу перешли к задачам
Во время решения задач прервались на 10 минут и говорили про паттерны проектирования приложения (FSD, MVC, MVP и тд) и по каждому требовалось подробное пояснение

1. Отрефакторить код
2. Написать метод сжатия
```// rle
// Дана строка, состоящая из букв A-Z:
// AAAABBBCCXYZDDDDEEEFFFAAAAAABBBBBBBBBBBBBBBBBBBBBBBBBBBB Нужно написать
// функцию RLE, которая на выходе даст строку вида: A4B3C2XYZD4E3F3A6B28

function rle (str) {
    let result = '';
    let count = 1;
    
    for(let i = 0; i < str.length; i++) {
        const currentChar = str[i];
        const nextChar = str[i + 1]
        
        if (currentChar === nextChar) {
            count++
        } else {
            result += `${currentChar}${count === 1 ? '' : count}`
            count = 1
        }
    }
    
    return result
}

const test = 'AAAABBBCCXYZDDDDEEEFFFAAAAAABBBBBBBBBBBBBBBBBBBBBBBBBBBB';
console.log('rle: ', rle(test) === 'A4B3C2XYZD4E3F3A6B28'); //A4B3C2XYZD4E3F3A6B28```",513569605,urihlanz,489,489
155625,2025-07-08T11:49:16+00:00,"Altenar финал
ЗП: от 240

Где сейчас проживаете?
Какие хобби?
Как будете выбирать оффер из нескольких?
Представьте что условия в оффере одинаковые, компании одинаковые, собес прошёл везде отлично. Как будете выбирать?
Собираетесь ли переезжать?
Как относитесь к посещению офиса 2 раза в неделю?
Как вы оцените свой уровень как разработчика? Почему не сеньор?
Как развиваетесь в свободное время?",475948074,crystalik2,489,489
155559,2025-07-08T11:15:20+00:00,"Altenar встреча с лидом
ЗП: от 230

Вопросы
Как для тебя выглядит налаженный процесс постановки задачи?
Как была построена работа с аналитиками и дизайнерами?
Бывало такое что что-то шло не так в коммуникации, что-то не учли где-то?
Работал с zustand или valtio?
Спрашивал про конкретные библиотеки из резюме, почему именно их выбрал при решении задачи
Расскажи как у вас был построен процесс внедрения новых библиотек, кто принимал решение за их внедрение?
Расскажи про свой самый болшой факап на работе?
Что в свободное время делаешь?
Как относишься к мату?
Какой лучший мем по твоему мнению на данный момент?",475948074,crystalik2,489,489
155549,2025-07-08T11:13:10+00:00,"Название компании: БКХ Еком 08.07
ЗП: +-250

Задач и стандартной теории не было вообще. Собеседование состояло из холивара на разные темы во фронте и около него.

1. Рассказ про текущее место работы и интересные задачи.
2. Какие были сложности?
3. Какие направления в разработке интересны?
4. Про SSR, SSG, ISR
5. Как оптимизировать кеширование в ISR если на одном сервере запущено много инстансов одного приложения.
6. Можешь ли справляться с задачами самостоятельно? 
7. Какую роль в команде занимал?
8. Нетипичные задачи, где пришлось что-то специфичное писать.
9. Vite vs Webpack vs Turbopack
10. node vs deno vs bun
11. eslint/prettier vs biome",1613126179,budkakdomaputnic,489,489
155523,2025-07-08T11:06:04+00:00,"Стилсофт
ЗП: 200

Вопросы

Отличия any unknown в TS?
Какие знаешь утилити типы?
Что такое дженерики?
Назови причины ререндеров в реакте? Как можем принудительно вызвать ререндер?
Что такое key?
Что такое useEffect? Какие ещё методы вызывать эффект знаешь?(useInsertionEffect)
Что такое useRef?
Почему нужно обращаться к DOM элементу через ref, а не через querySelector?
Знаешь что такое callback ref?
Intersection Obserever?
Почему мы не можем хранить структуры данных типа Map, Date в Redux сторе?
Что такое reselect?
Расскажи про Critical Render Path. Отличия async/defer?

Задачи

```// Исходные данные
// 1. Необходимо описать данную конструкцию (TypeScript)


type TGroup = {
    id: number,
    name: 'route' | 'session' | 'mission'
}

interface Tlist = {
    id: string,
    revNo: number,
    group: 1 | 2 | 3
}

const group: TGroup[] = [
    { id: 1, name: ""route"" },
    { id: 2, name: ""session"" },
    { id: 3, name: ""mission"" },
];

const list: TList[] = [
    {
        id: ""R1311"",
        revNo: 16815,
        group: 1,
    },
    {
        id: ""R1312"",
        revNo: 16816,
        group: 2,
    },
    {
        id: ""R1313"",
        revNo: 16817,
        group: 3,
    },
    {
        id: ""R1314"",
        revNo: 16817,
        group: 1,
    },
    {
        id: ""R1315"",
        revNo: 16818,
        group: 2,
    },
];

type newGroup = Record<number, 'route' | 'session' | 'mission'> 


// Должно получиться
// 2. У каждого элемент спика заменить поле group с ID => NAME (groupStatus)

const newList: TResult = list.map(item =>{
    const groupName = group.find(groupItem => groupItem.id === item.group)?.name
    if (groupName) {
        return {...item, group: groupName}
    };
    return;
})

interface TResult extends Tlist = {
    group: 'route' | 'session' | 'mission'
}

const result: TResult[] = [
    {
        id: ""R1311"",
        revNo: 16815,
        group: ""route"",
    },
    {
        id: ""R1312"",
        revNo: 16816,
        group: ""session"",
    },
    {
        id: ""R1313"",
        revNo: 16817,
        group: ""mission"",
    },
    {
        id: ""R1314"",
        revNo: 16817,
        group: ""route"",
    },
    {
        id: ""R1315"",
        revNo: 16818,
        group: ""session"",
    },
];```",475948074,crystalik2,489,489
155125,2025-07-08T08:41:25+00:00,"Компания: Т-Банк
Задачки:
1. Написать функцию deepCopy

Решение:
```
function deepCopy(value) {
  // Проверяем, является ли значение примитивом или null/undefined
  if (value === null || typeof value !== ""object"") {
    return value; // Примитивы и null/undefined возвращаем как есть
  }

  // Проверяем, является ли значение массивом
  if (Array.isArray(value)) {
    // Создаем новый массив и рекурсивно копируем каждый элемент
    return value.map(item => deepCopy(item));
  }

  // Если значение — объект, создаем новый пустой объект
  const result = {};

  // Проходим по всем свойствам исходного объекта
  for (const key in value) {
    if (value.hasOwnProperty(key)) {
      // Рекурсивно копируем каждое свойство
      result[key] = deepCopy(value[key]);
    }
  }

  return result;
}
```

2. Написать функцию memo

Решение:

```
const memo = (fn) => {
  const cache = new Map();

  return function (...args) {
    const stringArgs = JSON.stringify(args);

    if (cache.has(stringArgs)) {
      console.log(""from cache"");
      return cache.get(stringArgs);
    }

    const result = fn(...args);
    cache.set(stringArgs, result);
    return result;
  };
};

const count = (a, b) => {
  return a + b;
};
const memoCount = memo(count);
```

4. Задачка на перерендер компонентов(есть выше)
4. Задачки на рика и морти(есть выше тоже)",1217910220,kirichelli,489,489
155030,2025-07-08T07:20:28+00:00,"Авиационные интерьеры 
Финал
1. Расскажи о себе 
2. Был ли опыт лидом, чем занимался и какие впечатления
3. Какие самые сложные задачки были
4. Где работал с легаси кодом
5. Зачем делали самописный UI и использовали как либу
6. Как это повлияло на работу
7. Есть ли офферы уже какие
8. Почему не соглашаешься на текуущие офферы
9. Какие у тебя впечатления о прошлых командах
10. Почему ушел с крайнего места и первого
11. Где сейчас живешь
12. Готов ли ты к переезду
13. Как скоро сможешь переехать
14. Когда и сколько проживал в Москве
15. Как пришел в it
16. Как учился
17. Ты готов писать тесты?
18. Считаешь ли ты что это должен делать тестировщик
Дальше свои вопросы задаешь",1744576554,daniilFront,489,489
155019,2025-07-07T19:01:39+00:00,"Компания: VegaSoft
ЗП: от 170 000 до 220 000 р. на руки
hr: @Olga_team_for_IT
Формат: удалёнка

Общие вопросы:
- расскажи про свой опыт 5–7 минут
- что такое http/https
- REST API
- Чем отличаются get, post, put, patch, delete
- Какие ещё знаешь протоколы
- Расскажи про WebSocket
- CORS
- Что такое preflight-запросы, http метод OPTIONS
- Критический путь рендера

TS: 
- any, unknown, never, void
- тайпгарды
- тип и интерфейс

React: 
- Преимущества и недостатки React
- React.memo, useMemo, useCallback

Задачи:
1. Написать debounce на js

2.

```const tree = {
  value: 1,
  children: [
    {
      value: 2,
      children: [{ value: 3 }]
    },
    {
      value: 4,
      children: [{ value: 5 }, { value: 6 }]
    }
  ]
};

function getTreeValues(tree) {
  // закончи функцию
  const result = []

  function recurse(item) {
    result.push(item.value)

    if (item.children) {
      for (let key of item.children) {
        recurse(key)
      }
    }
  }

  recurse(tree)

  return result
}

console.log(getTreeValues(tree)); // => [1, 2, 3, 4, 5, 6];```
3.

```const UserItem = ({ user, isSelected, onClick }) => {
  return (
    <div onClick={onClick}>
      <h3>{user.name}</h3>
      {isSelected && <p>Текущий пользователь</p>}
    </div>
  )
}

const UsersList = ({ users }) => {
  const [selectedUser, setSelectedUser] = useState(null)

  const toggleSelectedUser = (user) => {
    // Логика выбора пользователя
  }

  return (
    <div>
      {users.map((user) => (
        <UserItem
          user={user}
          isSelected={selectedUser?.id === user.id}
          onClick={() => toggleSelectedUser(user)}
        />
      ))}
    </div>
  )
}```
Сделать так, чтобы при клику по юзеру рамка подсвечивалась, но у других юзеров пропадала

Что делать, если карточек очень много и подсветка карточки занимает много времени — как оптимизировать?",976781941,timazloy,489,489
