"id","question_text","company","date","interview_id"
"q1","Где работаешь, расскажи про компанию?","Калина Софт","2025-06-19","interview_Калина_Софт_000"
"q2","Какие процессы? По какой методологии работаешь?","Калина Софт","2025-06-19","interview_Калина_Софт_000"
"q3","Какой Git Flow?","Калина Софт","2025-06-19","interview_Калина_Софт_000"
"q4","Сколько человек в команде?","Калина Софт","2025-06-19","interview_Калина_Софт_000"
"q5","Что такое event-loop?","Калина Софт","2025-06-19","interview_Калина_Софт_000"
"q6","Какие типы бывают в JavaScript?","Калина Софт","2025-06-19","interview_Калина_Софт_000"
"q7","Какие типы существуют в TypeScript?","Калина Софт","2025-06-19","interview_Калина_Софт_000"
"q8","Есть ли разница между типами в TypeScript? Распределяются ли они по подкатегориям?","Калина Софт","2025-06-19","interview_Калина_Софт_000"
"q9","Что такое UtilityTypes в TypeScript?","Калина Софт","2025-06-19","interview_Калина_Софт_000"
"q10","Что такое PropsDrilling в React?","Калина Софт","2025-06-19","interview_Калина_Софт_000"
"q11","В чем разница между useEffect и useLayoutEffect?","Калина Софт","2025-06-19","interview_Калина_Софт_000"
"q12","Что такое HOC (Higher Order Component) в React?","Калина Софт","2025-06-19","interview_Калина_Софт_000"
"q13","Что такое ErrorBoundary в React?","Калина Софт","2025-06-19","interview_Калина_Софт_000"
"q14","Для чего нужна мемоизация в React?","Калина Софт","2025-06-19","interview_Калина_Софт_000"
"q15","Как оптимизировать загрузку большого списка в React с помощью throttle, debounce и виртуализации?","Калина Софт","2025-06-19","interview_Калина_Софт_000"
"q16","Что такое Suspense в React?","Калина Софт","2025-06-19","interview_Калина_Софт_000"
"q1","Написать функцию, которая из массива значений оставит только уникальные числа, расположив их по возрастанию, при этом числа, записанные в виде строк, тоже должны попадать в финальную выборку","Калина Софт","2025-06-19","interview_Калина_Софт_000"
"q2","Написать функцию, которая проверяет входящий массив значений: если в массиве присутствуют не числа, возвращает строку 'входящие данные не удовлетворяют требованиям', если входные параметры корректны, то необходимо получить разность суммы чисел, кратных 7, и максимального значения из входного массива","Калина Софт","2025-06-19","interview_Калина_Софт_000"
"q3","Написать функцию, которая на вход принимает число и возвращает максимально возможное число, которое можно составить из цифр первоначального числа","Калина Софт","2025-06-19","interview_Калина_Софт_000"
