"id","question_text","company","date","interview_id"
"q1","Какие библиотеки использовал для работы с react?","Unybrands","2024-07-13","interview_Unybrands_000"
"q2","Пользовался ли SSR?","Unybrands","2024-07-13","interview_Unybrands_000"
"q3","Отличия hook от hoc","Unybrands","2024-07-13","interview_Unybrands_000"
"q4","Может ли кастомный хук возвращать значение?","Unybrands","2024-07-13","interview_Unybrands_000"
"q5","Написать hoc для получения данных и вывода списка элементов, которые можно выделять по клику и снимать выделение по клику","Unybrands","2024-07-13","interview_Unybrands_000"
"q1","Что происходит после ввода адреса в строку браузера","Unybrands","2024-07-11","interview_Unybrands_001"
"q2","Как в JavaScript сравнивать дробные числа с учетом проблем хранения чисел с плавающей запятой","Unybrands","2024-07-11","interview_Unybrands_001"
"q3","Твоя идеальная команда","Unybrands","2024-07-11","interview_Unybrands_001"
"q4","Почему меняешь работу","Unybrands","2024-07-11","interview_Unybrands_001"
"q5","Какие интересные задачи делал","Unybrands","2024-07-11","interview_Unybrands_001"
"q1","Реализовать функцию поиска индекса максимального элемента в массиве","Unybrands","2024-07-11","interview_Unybrands_001"
"q2","Реализовать функцию упорядочивания элементов массива объектов по полю key в порядке, заданном массивом order","Unybrands","2024-07-11","interview_Unybrands_001"
"q3","Реализовать функцию разбивки заданной суммы на 4 части с равным распределением и распределением остатка по первым частям","Unybrands","2024-07-11","interview_Unybrands_001"
