"id","question_text","company","date","interview_id"
"q1","Какой опыт работы с ui-kit был","Гарда","2024-09-01","interview_Гарда_000"
"q2","CSS vs CSS-in-JS","Гарда","2024-09-01","interview_Гарда_000"
"q3","TypeScript vs JavaScript","Гарда","2024-09-01","interview_Гарда_000"
"q4","Про дженерики в TypeScript, приходилось ли писать","Гарда","2024-09-01","interview_Гарда_000"
"q5","Перегрузка в TypeScript","Гарда","2024-09-01","interview_Гарда_000"
"q6","Чем можно заменить enum в TypeScript","Гарда","2024-09-01","interview_Гарда_000"
"q7","Рекурсия, какие проблемы могут возникать","Гарда","2024-09-01","interview_Гарда_000"
"q8","Что важнее: читаемость или производительность кода и почему","Гарда","2024-09-01","interview_Гарда_000"
"q9","Какие React хуки использовал и для чего","Гарда","2024-09-01","interview_Гарда_000"
"q10","Какие кастомные React хуки писал","Гарда","2024-09-01","interview_Гарда_000"
"q11","Как подписаться на глобальное событие (например, window или document) в React и какие проблемы могут возникнуть при подписке, включая необходимость отписки при размонтировании компонента","Гарда","2024-09-01","interview_Гарда_000"
"q12","Нужно ли всегда использовать хуки useMemo и useCallback и почему","Гарда","2024-09-01","interview_Гарда_000"
"q13","Что такое reconciliation в React","Гарда","2024-09-01","interview_Гарда_000"
"q14","Принципы SOLID в React","Гарда","2024-09-01","interview_Гарда_000"
"q15","Специфичность в CSS","Гарда","2024-09-01","interview_Гарда_000"
"q16","Grid vs Flexbox","Гарда","2024-09-01","interview_Гарда_000"
"q17","Какие тесты писал","Гарда","2024-09-01","interview_Гарда_000"
"q18","Работал ли с AST (Abstract Syntax Tree)","Гарда","2024-09-01","interview_Гарда_000"
