"id","question_text","company","date","interview_id"
"q1","Спрашивал про опыт","Kedoo","2025-07-04","interview_Kedoo_000"
"q2","Работал с формами, графиками?","Kedoo","2025-07-04","interview_Kedoo_000"
"q3","Настраивал вебпак, разбираешься в конфиге?","Kedoo","2025-07-04","interview_Kedoo_000"
"q4","UI Kit использовали на проекте?","Kedoo","2025-07-04","interview_Kedoo_000"
"q5","Изучаешь спецификацию js, что нового выходит за последнее время?","Kedoo","2025-07-04","interview_Kedoo_000"
"q6","Как можем понять, что можем использовать ту или иную новую функцию?(поддержка в браузерах)","Kedoo","2025-07-04","interview_Kedoo_000"
"q7","Что делать если мы хотим использовать новый синтаксис js, но чтобы он поддерживался в старых браузерах?(полифил)","Kedoo","2025-07-04","interview_Kedoo_000"
"q8","Как оптимизировать загрузку тяжелого js файла","Kedoo","2025-07-04","interview_Kedoo_000"
"q9","Какие функции выполняет babel?","Kedoo","2025-07-04","interview_Kedoo_000"
"q10","Что такое вендорные префиксы?","Kedoo","2025-07-04","interview_Kedoo_000"
"q11","Что такое замыкание?","Kedoo","2025-07-04","interview_Kedoo_000"
"q1","Реализовать функцию для группировки массива продуктов на три ценовые категории: cheap (до 150 включительно), medium (от 151 до 500), expensive (от 501 и выше) с использованием reduce и нового метода Object.groupBy","Kedoo","2025-07-04","interview_Kedoo_000"
"q2","Из полученных групп дешевых товаров оставить только товары в наличии (instock), отсортировать их по цене по убыванию, взять топ-2 самых дорогих и вернуть массив из их названий","Kedoo","2025-07-04","interview_Kedoo_000"
"q3","Реализовать функцию once, которая принимает функцию fn и возвращает новую функцию, которая при первом вызове вызывает fn и возвращает результат, а при последующих вызовах возвращает undefined","Kedoo","2025-07-04","interview_Kedoo_000"
"q1","Использовал ли в своих проектах React-hook-form","Kedoo","2025-05-23","interview_Kedoo_001"
"q2","Работал ли с CI/CD","Kedoo","2025-05-23","interview_Kedoo_001"
"q3","Практики создания общих компонентов","Kedoo","2025-05-23","interview_Kedoo_001"
"q4","Занимался ли обновлением пакетов внутри проекта","Kedoo","2025-05-23","interview_Kedoo_001"
"q5","Стоит ли сразу использовать новые фичи и функции из каждого нового ECMAScript","Kedoo","2025-05-23","interview_Kedoo_001"
"q6","Что происходит в браузере, когда пользователь вводит URL","Kedoo","2025-05-23","interview_Kedoo_001"
"q7","Для чего нужны useEffect и useLayoutEffect и в чем их отличия","Kedoo","2025-05-23","interview_Kedoo_001"
"q8","В чем отличие event.target от event.currentTarget","Kedoo","2025-05-23","interview_Kedoo_001"
"q9","Расскажи про события и их фазы","Kedoo","2025-05-23","interview_Kedoo_001"
"q10","Зачем нужен метод stopPropagation","Kedoo","2025-05-23","interview_Kedoo_001"
"q1","Оставить только товары, которые есть в наличии (inStock = true), отсортировать их по цене по убыванию, взять топ-3 самых дорогих и вернуть массив из их названий","Kedoo","2025-05-23","interview_Kedoo_001"
"q2","Реализовать функцию once, которая принимает функцию fn и возвращает новую функцию, вызывающую fn не более одного раза: при первом вызове возвращает результат fn, при последующих — undefined","Kedoo","2025-05-23","interview_Kedoo_001"
"q3","Реализовать функцию asyncLimit, которая принимает асинхронную функцию cb и время t в миллисекундах, и возвращает новую функцию с ограничением по времени: если cb завершается в пределах t, возвращается результат, иначе отклоняется с ошибкой «Превышен лимит времени»","Kedoo","2025-05-23","interview_Kedoo_001"
