"id","question_text","company","date","interview_id"
"q1","Какая интересная задача была в работе? Сейчас что делаешь и разрабатываешь? Как именно это сделано сейчас?","Ittrain","2025-04-15","interview_Ittrain_000"
"q2","С чем работал, кроме React? С Angular, Vue работал? В чем отличие, если работал?","Ittrain","2025-04-15","interview_Ittrain_000"
"q3","Какие стэйт-менеджеры знаешь? В чем их отличие? Что бы взял, если проект с нуля?","Ittrain","2025-04-15","interview_Ittrain_000"
"q4","Какие у тебя есть красные флаги при код-ревью?","Ittrain","2025-04-15","interview_Ittrain_000"
"q5","Какие у тебя есть сильные и слабые стороны?","Ittrain","2025-04-15","interview_Ittrain_000"
"q6","Как работает EventLoop?","Ittrain","2025-04-15","interview_Ittrain_000"
"q7","Если понимаешь, что EventLoop это механизм среды выполнения кода JS, можешь другие среды описать? Как работает EventLoop в Node.js?","Ittrain","2025-04-15","interview_Ittrain_000"
"q8","Зачем вообще требуется разделение на макрозадачи и микрозадачи? Для чего это так устроено?","Ittrain","2025-04-15","interview_Ittrain_000"
"q9","А зачем вообще в целом асинхронность нужна в JS?","Ittrain","2025-04-15","interview_Ittrain_000"
"q10","Чем отличается type от interface?","Ittrain","2025-04-15","interview_Ittrain_000"
"q11","Что такое type guards? Можешь конкретный пример рассказать использования его на своей практике?","Ittrain","2025-04-15","interview_Ittrain_000"
"q12","Объясни, как работает данный код с функцией arraySorted, что такое замыкание, куда попадают аргументы функции как локальные переменные, и чем отличается поведение стрелочной функции от обычной функции в данном примере","Ittrain","2025-04-15","interview_Ittrain_000"
"q13","Создать асинхронную функцию fetchAllData, которая параллельно запускает функции fetchData1, fetchData2, fetchData3, возвращает массив данных, если все вызовы успешны, либо выводит в консоль сообщение об ошибке и возвращает частичные данные при неуспешном вызове, обеспечивая корректное завершение программы и правильную обработку данных","Ittrain","2025-04-15","interview_Ittrain_000"
"q14","В каком порядке будут выполняться результаты функций fetchData1, fetchData2, fetchData3?","Ittrain","2025-04-15","interview_Ittrain_000"
"q15","Нужно ли использовать finally при вызове fetchAllData().then(data => console.log('Partial Data', data))?","Ittrain","2025-04-15","interview_Ittrain_000"
"q16","Реши задачу разными вариантами: 1) использовать объекты, где first — объект с полем count, second — функция обращения к полю count объекта first через this; 2) задействовать обе функции через каррирование, используя обе переменные как функции","Ittrain","2025-04-15","interview_Ittrain_000"
"q1","Создать асинхронную функцию fetchAllData, которая параллельно запускает функции fetchData1, fetchData2 и fetchData3, возвращает массив данных, если все вызовы успешны, либо выводит в консоль сообщение об ошибке и возвращает частичные данные, если два из трех вызовов успешны, обеспечивая корректное завершение и обработку данных","Ittrain","2025-03-14","interview_Ittrain_001"
"q2","Написать две функции, используя только две константы first и second, без создания других в глобальном контексте, чтобы вызовы second() возвращали последовательно 0, 1, 2 и так далее","Ittrain","2025-03-14","interview_Ittrain_001"
"q3","Исправить ошибку в функции arraySorted, которая пытается отсортировать массив arrUnSort и вывести отсортированный массив arrSort в консоль","Ittrain","2025-03-14","interview_Ittrain_001"
"q4","Расскажи о себе","Ittrain","2025-03-14","interview_Ittrain_001"
"q5","Подробнее про сокеты: как обрабатывали, как работали с ними и какие библиотеки использовали","Ittrain","2025-03-14","interview_Ittrain_001"
"q6","С чем работал кроме React?","Ittrain","2025-03-14","interview_Ittrain_001"
"q7","С чем успел поработать внутри React? С какими стейт менеджерами?","Ittrain","2025-03-14","interview_Ittrain_001"
"q8","Какую самую сложную или большую задачу решали?","Ittrain","2025-03-14","interview_Ittrain_001"
"q9","Какая самая большая ошибка была и как ее решил?","Ittrain","2025-03-14","interview_Ittrain_001"
"q10","Проводили ли ретроспективы и почему так получилось?","Ittrain","2025-03-14","interview_Ittrain_001"
"q11","Как процессы внутри команды: как задача доходила до продакшена с самого начала постановки задачи?","Ittrain","2025-03-14","interview_Ittrain_001"
"q12","Писали ли тесты? По какому процессу? (TDD)","Ittrain","2025-03-14","interview_Ittrain_001"
"q13","Работал ли с TypeScript, чем пользовался?","Ittrain","2025-03-14","interview_Ittrain_001"
"q14","Использовал ли какие-то кастомные библиотеки для типизации?","Ittrain","2025-03-14","interview_Ittrain_001"
"q15","Расскажи про красные флаги на код ревью","Ittrain","2025-03-14","interview_Ittrain_001"
"q16","О своих сильных и слабых сторонах по 3 штуки","Ittrain","2025-03-14","interview_Ittrain_001"
"q17","event-loop","Ittrain","2025-03-14","interview_Ittrain_001"
"q18","Про микро и макро задачи: зачем такое разделение и в чем основное отличие?","Ittrain","2025-03-14","interview_Ittrain_001"
"q19","Зачем нужна асинхронность в JS? Почему нельзя выполнять все в одном потоке?","Ittrain","2025-03-14","interview_Ittrain_001"
"q20","Расскажи все что знаешь о промисах","Ittrain","2025-03-14","interview_Ittrain_001"
"q21","Отличие type от interface","Ittrain","2025-03-14","interview_Ittrain_001"
"q22","Расскажи про дженерики в TypeScript и Utility types","Ittrain","2025-03-14","interview_Ittrain_001"
"q23","Расскажи про type guards: что такое и зачем","Ittrain","2025-03-14","interview_Ittrain_001"
"q24","Как понимаешь работу стейт менеджера в React (любой): что есть, чего нет, как под капотом работают?","Ittrain","2025-03-14","interview_Ittrain_001"
"q25","Чем отличается мутация от эффектов?","Ittrain","2025-03-14","interview_Ittrain_001"
