"id","question_text","company","date","interview_id"
"q1","Расскажи про свой опыт и какие крутые задачи реализовал? (Спрашивают по резюме)","Ростелеком Ит","2025-07-18","interview_Ростелеком_Ит_000"
"q2","Доводилось ли оптимизировать приложение и как оптимизировал?","Ростелеком Ит","2025-07-18","interview_Ростелеком_Ит_000"
"q3","Что можно посмотреть во вкладках Chrome Dev Tools и React Dev Tools? Нужно привести пример успешного использования для поиска проблем.","Ростелеком Ит","2025-07-18","interview_Ростелеком_Ит_000"
"q4","К тебе пришел менеджер и говорит: 'Страница на сайте лагает!'. Что будешь делать?","Ростелеком Ит","2025-07-18","interview_Ростелеком_Ит_000"
"q5","Какие, кроме WebSocket’а, есть варианты взаимодействия с сервером? Расскажи подробно о каждом. Почему на проекте использовали именно WebSocket?","Ростелеком Ит","2025-07-18","interview_Ростелеком_Ит_000"
"q6","Когда надо использовать useMemo и useCallback?","Ростелеком Ит","2025-07-18","interview_Ростелеком_Ит_000"
"q7","Какие недостатки есть у React Context и может ли он полностью заменить Redux?","Ростелеком Ит","2025-07-18","interview_Ростелеком_Ит_000"
"q8","Что можешь сказать про аналоги Redux? В чем их проблемы?","Ростелеком Ит","2025-07-18","interview_Ростелеком_Ит_000"
"q9","Какая архитектура приложения использовалась у вас на проекте?","Ростелеком Ит","2025-07-18","interview_Ростелеком_Ит_000"
"q10","Какие минусы есть у FSD?","Ростелеком Ит","2025-07-18","interview_Ростелеком_Ит_000"
"q11","Какие паттерны проектирования знаешь? Назови виды.","Ростелеком Ит","2025-07-18","interview_Ростелеком_Ит_000"
"q12","Расскажи про SOLID и как он применяется в React.","Ростелеком Ит","2025-07-18","interview_Ростелеком_Ит_000"
"q13","Нужно реализовать undo/redo механизм — как будешь делать? (Использовать паттерн 'Команда')","Ростелеком Ит","2025-07-18","interview_Ростелеком_Ит_000"
"q14","Какие есть паттерны, специфические для React?","Ростелеком Ит","2025-07-18","interview_Ростелеком_Ит_000"
"q15","Есть два компонента: аватарка пользователя и комментарий. Нужно разместить аватарку внутри комментария. Как это сделать без использования компонента-обертки? (Использовать паттерн 'slot')","Ростелеком Ит","2025-07-18","interview_Ростелеком_Ит_000"
"q1","Какие есть способы взаимодействия с сервером помимо веб сокетов? Преимущества и недостатки каждого способа? В каких ситуациях лучше всего применять каждый способ?","Ростелеком Ит","2025-06-13","interview_Ростелеком_Ит_001"
"q2","Что происходит при вводе адреса сайта и нажатии Enter?","Ростелеком Ит","2025-06-13","interview_Ростелеком_Ит_001"
"q3","Как браузер понимает JSX и TSX?","Ростелеком Ит","2025-06-13","interview_Ростелеком_Ит_001"
"q4","Как найти причины лагов страницы с помощью Performance и React Profiler?","Ростелеком Ит","2025-06-13","interview_Ростелеком_Ит_001"
"q5","Подробно объяснить, как работает вкладка Performance и Profiler в браузере","Ростелеком Ит","2025-06-13","interview_Ростелеком_Ит_001"
"q6","Что такое виртуализация?","Ростелеком Ит","2025-06-13","interview_Ростелеком_Ит_001"
"q7","С какими проблемами можно столкнуться при работе с Intersection Observer? Объяснить влияние размера элементов","Ростелеком Ит","2025-06-13","interview_Ростелеком_Ит_001"
